title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
DENKMALGESCHÜTZTES STADTHAUS IN EINER DER ZENTRALSTEN LAGEN,115.000 €,"Donaustr. 3A,
89415 Lauingen (Donau), Dillingen an der Donau (Kreis)",8,180 m²,107 m²,639 €/m²,nil,20 m²,nil,3,1,1 Garage,"3,57% inkl. der gesetzlichen MwSt. von 19 %",{}
"Perfekte, unverbaute Orstrandlage: Charmantes Familienhaus in ruhiger und gehobener Wohnlage.",799.000 €,"86899 Landsberg am Lech, Landsberg am Lech (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,128 m²,553 m²,6.242 €/m²,Doppelhaushälfte,nil,kurzfristig möglich,4,1,1 Garage,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ein schmuckes Familienhaus in Scheuering,550.000 €,"94469 Deggendorf, Deggendorf (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",129 m²,445 m²,4.264 €/m²,Einfamilienhaus (freistehend),194 m²,nil,2,2,1 Garage,"1,785","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}"
BESTE VILLENLAGE - PERFEKTES LANDHAUS GRÖBENZELL NORD,1.265.000 €,"82194 Gröbenzell, Fürstenfeldbruck (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,171 m²,600 m²,7.398 €/m²,Einfamilienhaus (freistehend),85 m²,sofort,3,2,1 Garage,"2,38 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Charmantes Reihenhaus in idyllischer Lage,159.000 €,"93437 Furth im Wald, Cham (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100 m²,430 m²,1.590 €/m²,Reihenmittelhaus,nil,nach Absprache,2,2,1 Garage,"3,57% inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Ihre Oase - Wunderschöne Doppelhaushälfte in Icking,2.590.000 €,"82057 Icking, Bad Tölz-Wolfratshausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,300 m²,780 m²,8.633 €/m²,Doppelhaushälfte,110 m²,nil,6,2,2 Garagen,"1,785% Käuferprovision","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
**Einladende Eleganz: Ihr neues Zuhause erwartet Sie!**,409.000 €,"84100 Niederaichbach, Landshut (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,116 m²,468 m²,3.526 €/m²,nil,nil,01.08.2024,nil,1,2 Außenstellplätze,3.57%,{'is24qa-gaeste-wc-label': ''}
Traumhaftes Wohnen im Naherholungsgebiet Stauden: Haus zum Verkauf in Waldberg bei Bobingen,560.000 €,"Neue Theile 4,
86399 Bobingen, Augsburg (Kreis)",5,"134,85 m²",394 m²,4.153 €/m²,Einfamilienhaus (freistehend),"9,5 m²",23.4.2024,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gepflegtes Haus mit fünf Zimmern in Augsburg,497.000 €,"Kriegshaber, 86156 Augsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,122 m²,202 m²,4.074 €/m²,Reihenmittelhaus,nil,Ab sofort bezugsfrei,nil,1,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Doppelhaushälfte 173 m² Wfl. Bj. 1980,399.000 €,"87640 Biessenhofen, Ostallgäu (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,173 m²,325 m²,2.306 €/m²,Doppelhaushälfte,nil,nil,nil,1,1 Garage,nil,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Träumen Sie noch oder wohnen Sie schon? Sehr gepflegtes Einfamilienhaus in Grafenwöhr,439.000 €,"92655 Grafenwöhr, Neustadt an der Waldnaab (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,194 m²,544 m²,2.263 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,nil,nil,2 Stellplätze,"3,57 % inkl. MwSt",{}
"""Charmantes EFH am Schliersee mit Bergblick""",825.000 €,"83727 Schliersee, Miesbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,113 m²,544 m²,7.301 €/m²,Einfamilienhaus (freistehend),80 m²,01.07.2024,3,1,1 Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Provisonsfreies Reiheneckhaus direkt vom Eigentümer,719.000 €,"86830 Schwabmünchen, Augsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,138 m²,272 m²,5.210 €/m²,Reiheneckhaus,nil,01.05.2024,nil,2,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Geräumiges EFH mit ELW mit eingewachsenem Garten, offenem Kamin und Carport für Wohnwagen/Wohnmobil",775.000 €,"85302 Gerolsbach, Pfaffenhofen an der Ilm (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","8,5",226 m²,745 m²,3.429 €/m²,Einfamilienhaus (freistehend),nil,31.1.2025,5,3,4 Stellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Exklusives 5-Zimmer-Haus in Oberstdorf,790.000 €,"87561 Oberstdorf, Oberallgäu (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,160 m²,350 m²,4.938 €/m²,Doppelhaushälfte,nil,5.10.2023,4,2,2 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
⭐️Provisions Freies ⭐️verlockendes freistehendes Familienhaus⭐️,465.000 €,"Juraweg 24,
89426 Wittislingen, Dillingen an der Donau (Kreis)",7,238 m²,718 m²,1.954 €/m²,Mehrfamilienhaus,180 m²,nil,4,3,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Willkommen im Familienparadies: Großzügiges Einfamilienhaus mit traumhaftem Garten in Dingolfing,535.000 €,"84130 Dingolfing, Dingolfing-Landau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"213,15 m²",765 m²,2.510 €/m²,Einfamilienhaus (freistehend),nil,nil,4,1,2 Garagen,"2,38 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
*Mauern* Viel Platz in Haus und Garten,647.000 €,"85419 Mauern, Freising (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,"194,28 m²",746 m²,3.330 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,2,1 Garage,"2,975 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schaffen Sie Raum für Ihre Ideen!,636.500 €,"63791 Karlstein am Main, Aschaffenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,131 m²,470 m²,4.859 €/m²,Einfamilienhaus (freistehend),nil,nil,4,1,2 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Südwestseite – REH mit Satteldach, großem Garten und viel Platz",699.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,133 m²,240 m²,5.256 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
"Klein, kompakt und gut aufgeteilt - ein RMH zum Verlieben!",599.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",113 m²,130 m²,5.301 €/m²,Reihenmittelhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Mittendrin! Sonniges REH im modernen Baustil,646.500 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",113 m²,191 m²,5.721 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Das RMH als optimales Raumwunder mit kleinem Garten,599.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",113 m²,137 m²,5.301 €/m²,Reihenmittelhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Doppelhaushälfte mit Platz und Komfort Nähe Biotop,784.700 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,131 m²,268 m²,5.990 €/m²,Doppelhaushälfte,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Sonnige Doppelhaushälfte mit großem Garten,789.800 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,131 m²,209 m²,6.029 €/m²,Doppelhaushälfte,nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Reiheneckhaus mit Südwest-Ausrichtung,759.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,131 m²,153 m²,5.794 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Kleines Reihenmittelhaus für Anleger - zur Vermietung bestens geeignet,654.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",114 m²,86 m²,5.737 €/m²,Reihenmittelhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Niedrigenergie-Reiheneckhaus mit umlaufendem Garten und idealer Ausrichtung,684.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",112 m²,143 m²,6.107 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Kompaktes Reihenmittelhaus mit Möglichkeit zum Dachausbau,644.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",112 m²,86 m²,5.750 €/m²,Reihenmittelhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Helles Reiheneckhaus im modernen Baustil mit Flachdach und Dachterrasse,729.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,131 m²,156 m²,5.565 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Top ausgestattetes Reiheneckhaus mit großem Garten,759.900 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,128 m²,156 m²,5.937 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Ein modernes Reiheneckhaus mit Satteldach am Waldrand,689.800 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",112 m²,113 m²,6.159 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Dreispänner Eckhaus in der Nähe am Wörtersbach,684.000 €,"82380 Peißenberg, Weilheim-Schongau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",112 m²,108 m²,6.107 €/m²,Reiheneckhaus,nil,nil,nil,nil,1 Carport,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Hier werden Ihre Wohnträume wahr!,623.500 €,"63791 Karlstein am Main, Aschaffenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,113 m²,495 m²,5.518 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,2 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Lassen Sie sich begeistern!,589.500 €,"63791 Karlstein am Main, Aschaffenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,108 m²,361 m²,5.458 €/m²,Doppelhaushälfte,nil,nil,3,1,2 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
