title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Stadtvilla mit viel Raum für die ganze Familie,788.500 €,"14547 Beelitz, Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,161 m²,1.367 m²,4.898 €/m²,Villa,161 m²,nil,4,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Tolle Wohnlage für Ihre Zukunft,679.500 €,"14552 Michendorf, Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100 m²,1.280 m²,6.795 €/m²,nil,100 m²,nil,2,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Exklusives Einfamilienhaus in der Nähe des Stolzenhagener Sees,749.000 €,"16348 Wandlitz, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,183 m²,1.156 m²,4.093 €/m²,Einfamilienhaus (freistehend),nil,nach Rücksprache,nil,nil,1 Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
BEZUGSFREIES großzügiges und familienfreundliches Reihenmittelhaus,470.000 €,"16567 Mühlenbecker Land, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130 m²,150 m²,3.615 €/m²,Reihenmittelhaus,200 m²,01.10.2023,4,1,1 Außenstellplatz,"3,57 % vom Angebotspreis, inkl. gesetzl. Mehrwertsteuer","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
IDEALES HANDWERKEROBJEKT - HAUS MIT GARAGE UND VOLLKELLER AUF SONNENGRUNDSTÜCK IN SÜD-WEST LAGE,579.000 €,"14532 Stahnsdorf, Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100 m²,1.020 m²,5.790 €/m²,Einfamilienhaus (freistehend),90 m²,nil,nil,1,Garage,"Für den Käufer: 3,57% des Kaufpreises inkl. MwSt.",{'is24qa-keller-label': ''}
"Chalet für zukünftige Naturliebhaber mit großem Grundstück, mitten in Brandenburg-Havelland!",500.000 €,"14728 Gollenberg, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"225,91 m²",4.028 m²,2.213 €/m²,Besondere Immobilie,nil,nil,2,1,3 Garagen,"3,57 % vom notariell beurkundeten Kaufpreis inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Ein Juwel mit Potential: Einfamilienhaus mit großem Garten in Königs Wusterhausen!,325.916 €,"15711 Königs Wusterhausen, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"63,12 m²",1.049 m²,5.163 €/m²,Einfamilienhaus (freistehend),"34,73 m²",Sofort,2,1,3 Garagen,"3,57% (inkl. MwSt.) vom Kaufpreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Idyllisches Zuhause umgeben von Natur: Einzigartiges Einfamilienhaus auf großem Grundstück,469.000 €,"16348 Wandlitz, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,127 m²,1.251 m²,3.693 €/m²,Einfamilienhaus (freistehend),nil,nil,3,2,nil,"3,57 % des tatsächlichen Kaufpreises (inkl. MwSt.)",{'is24qa-gaeste-wc-label': ''}
Idyllisches Grundstück am Wasser mit Niedrigenergie-Bungalow und Potenzial in Werneuchen,374.000 €,"16356 Werneuchen, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,82 m²,647 m²,4.561 €/m²,Bungalow,nil,nil,nil,1,2 Stellplätze,"3,57 %",{'is24qa-vermietet-label': ''}
Großes EFH mit Wohnkeller in ruhiger Lage bei Großräschen!,349.000 €,"01983 Großräschen, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,160 m²,3.226 m²,2.181 €/m²,Einfamilienhaus (freistehend),250 m²,nil,nil,3,1 Carport,"3,57% Käufer",{'is24qa-keller-label': ''}
