title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Attraktives gr. Haus in zentraler Lage unweit des Klinikums-Mitte!,589.000 €,"Hulsberg, 28205 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,220 m²,452 m²,2.677 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,nil,3,nil,"5,95% inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
Attraktive Immobilie in zentraler Lage unweit des Klinikums-Mitte!,589.000 €,"Hulsberg, 28205 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,220 m²,452 m²,2.677 €/m²,Reiheneckhaus,nil,nach Vereinbarung,nil,3,nil,"5,95% inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
Sehr gepflegtes Reihenhaus für Familien mit viel Potenzial und Garage in Bremen Walle,385.000 €,"Walle (Ortsteil), 28219 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"134,6 m²",156 m²,2.860 €/m²,Reihenmittelhaus,"103,8 m²",13.5.2024,2,1,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Großzügiges 7-Zimmer-Reihenhaus mit Renovierungsbedarf in Bremen-Walle,269.000 €,"Walle (Ortsteil), 28219 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"137,4 m²",120 m²,1.958 €/m²,Reihenmittelhaus,"53,1 m²",12.5.2024,1,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vegesack | Rohjuwel in grüner Umgebung wartet auf seine neuen Eigentümer!,319.000 €,"Vegesack (Ortsteil), 28757 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"146,43 m²",504 m²,2.179 €/m²,Einfamilienhaus (freistehend),nil,nil,4,2,nil,"3,57 % inkl. MwSt.",{}
G 36 LESUM -Mehrgenerationshaus- zwei Häuser auf einem großen Grundstück in ruhiger Lage,403.400 €,"Lesum, 28717 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,210 m²,917 m²,1.921 €/m²,Wohnimmobilie (sonstige),50 m²,nach Absprache,4,3,Garage,"3,57 % Courtage inkl. Mehrwertsteuer","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
EFH mit großem Potenzial direkt am Speckenbütteler Park!,249.000 €,"Lehe, 27580 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,138 m²,824 m²,1.804 €/m²,Einfamilienhaus (freistehend),nil,nil,4,nil,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-gaeste-wc-label': ''}
Solides RMH mit Vollkeller in grüner Lage von Horn-Lehe (Lehesterdeich),375.000 €,"Lehesterdeich, 28357 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,141 m²,274 m²,2.660 €/m²,Reihenmittelhaus,nil,nil,nil,nil,1 Garage,"3,57 % inkl. ges. MwSt.",{'is24qa-vermietet-label': ''}
** Charmantes Zweifamilienhaus in sehr guter Lage in der Bremer-Neustadt **,449.000 €,"Südervorstadt, 28201 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,183 m²,126 m²,2.454 €/m²,Reihenmittelhaus,14 m²,nil,5,2,nil,"1,50 % vom Kaufpreis (zzgl. MwSt.)",{'is24qa-keller-label': ''}
RESERVIERT: Sehr gepflegter Winkelbungalow in ruhiger Lage,295.000 €,"Geestemünde, 27574 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,119 m²,900 m²,2.479 €/m²,Bungalow,nil,nil,3,1,1 Garage,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
R 07 RÖNNEBECK -Renditeobjekt- saniertes freistehendes Mehrfamilienhaus mit 3 Wohneinheiten-,359.000 €,"Rönnebeck, 28777 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,187 m²,560 m²,1.920 €/m²,Mehrfamilienhaus,nil,nil,5,3,nil,"7,14 % Maklercourtage inkl. Mehrwertsteuer","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Doppelhaushälfte mit Anbau und schönem, abgeschlossenem Garten",489.000 €,"Lehesterdeich, 28357 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,147 m²,555 m²,3.327 €/m²,Doppelhaushälfte,nil,31.1.2025,3,1,2 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
PURNHAGEN-IMMOBILIEN - Charmantes 1-Fam.-Haus in zentraler und ruhiger Wohnlage von Bremen-Aumund,259.000 €,"Vegesack (Ortsteil), 28755 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,139 m²,740 m²,1.863 €/m²,Einfamilienhaus (freistehend),46 m²,nach Vereinbarung,2,2,1 Garage,"Je 3,57 % vom notariellen Kaufpreis inkl. ges. MwSt. durch Käufer u. Verkäufer zu zahlen.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Stilvolles Landhaus mit großem Grundstück in Bremen-Obervieland,890.000 €,"Kattenturm, 28277 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,278 m²,1.418 m²,3.201 €/m²,Besondere Immobilie,nil,nach Abrache,nil,2,3 Stellplätze,"2,975","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
