title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Sehr gepflegtes Einfamilienhaus mit 4 Schlafzimmern in ruhiger Top-Lage am Kleinen Tannenwald,1.095.000 €,"61348 Bad Homburg vor der Höhe, Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"155,18 m²",323 m²,7.056 €/m²,Doppelhaushälfte,"85,01 m²",kurzfristig,4,2,1 Garage,"3,57% inkl. MwSt auf den Kaufpreis vom Käufer zu tragen","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Ruhig gelegen, freistehendes Einfamilienhaus mit großem eingewachsenem Garten",449.000 €,"Am Runden Garten X,
61169 Friedberg (Hessen), Wetteraukreis",4,127 m²,584 m²,3.535 €/m²,Einfamilienhaus (freistehend),80 m²,nil,3,2,2 Garagen,"2,98% inkl. gesetzlicher MwSt.",{'is24qa-keller-label': ''}
Braunshardt...Wohnen auf einer Ebene im Bungalow-Style...,520.000 €,"64331 Weiterstadt, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130 m²,400 m²,4.000 €/m²,Einfamilienhaus (freistehend),140 m²,kurzfristig verfügbar,3,1,1 Garage,"2,5% vom Kaufpreis inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
ESCHERSHEIM: Kleine Villa mit großem Garten!,2.500.000 €,"Eschersheim, 60431 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"247,44 m²",800 m²,10.103 €/m²,Mehrfamilienhaus,40 m²,nil,4,3,nil,"EUR 89250,-","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Braunshardt. Tipp-Topp gepflegtes Einfamilienhaus mit Balkon und großer Garage - ohne Garten -,465.000 €,"64331 Weiterstadt, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,182 m²,250 m²,2.555 €/m²,Einfamilienhaus (freistehend),15 m²,Sommer 2024,5,2,1 Garage,"2,5% vom Kaufpreis inkl. MwSt.",{}
charmantes Reihenhaus mit EBK in einer ruhigen und guten Lage in Frankfurt Sossenheim,525.000 €,"Sossenheim, 65936 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"80,6 m²",119 m²,6.514 €/m²,Reihenmittelhaus,nil,nil,3,1,1 Außenstellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"2 Häuser sowie eine Scheune auf einem großen Grundstück in zentraler Lage, sehr vielseitig nutzbar",590.000 €,"68519 Viernheim, Bergstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,256 m²,588 m²,2.305 €/m²,Mehrfamilienhaus,150 m²,nil,nil,nil,6 Außenstellplätze,"4,76 % inkl. der gesetzl. MwSt.",{'is24qa-keller-label': ''}
"Reifferscheid - Metzendorfvilla in oberster, bester Hanglage, weiteres Baugrundstück separat möglich",1.490.000 €,"64665 Alsbach-Hähnlein, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5","184,43 m²",1.401 m²,8.079 €/m²,Villa,"53,94 m²",nil,4,3,5 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Modern, massiv und bezahlbar: Geräumiges Einfamilienhaus mit Garten und Garagengebäude",195.000 €,"37297 Berkatal, Werra-Meißner-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,155 m²,871 m²,1.258 €/m²,Einfamilienhaus (freistehend),nil,ab sofort,6,3,nil,"Käuferprovision: 3,57 % inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Modernes Energie-Effizienzhaus mit Fernblick in Top Lage,1.180.000 €,"64342 Seeheim-Jugenheim, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,196 m²,1.264 m²,6.020 €/m²,Einfamilienhaus (freistehend),20 m²,Nach Vereinbarung,nil,3,Garage,"Die Käuferprovision beträgt 3,57 % des Kaufpreises inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
ZWEIGENERATIONENHAUS zzgl. Einliegerwohnung,920.000 €,"Talstraße 58,
61381 Friedrichsdorf, Hochtaunuskreis",8,195 m²,737 m²,4.718 €/m²,nil,32 m²,n.V.,6,3,2 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Einfamilienhaus mit separatem Appartement in Kassel-Kirchditmold,545.000 €,"Kirchditmold, 34130 Kassel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,187 m²,638 m²,2.914 €/m²,Einfamilienhaus (freistehend),nil,31.12.2024,nil,nil,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-einliegerwohnung-label': ''}
Moderner Bungalow in Kirchditmold mit sonniger Terrasse,398.000 €,"Kirchditmold, 34130 Kassel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,108 m²,480 m²,3.685 €/m²,Bungalow,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
Gepflegtes Einfamilienhaus mit großer Terrasse in ruhiger Lage,320.000 €,"35638 Leun, Lahn-Dill-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,190 m²,750 m²,1.684 €/m²,Einfamilienhaus (freistehend),76 m²,01.05.2024,4,2,2 Außenstellplätze,"Die Käuferprovision beträgt 3,57% (inkl. MwSt.) des beurkundeten Kaufpreises.",{}
Kapitalanlage oder Eigennutzung / Wohn-Geschäftshaus in Bottenhorn - teils vermietet,239.000 €,"35080 Bad Endbach, Marburg-Biedenkopf (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",17,450 m²,392 m²,531 €/m²,Mehrfamilienhaus,nil,nil,9,7,5 Stellplätze,5 % des Kaufpreises zzgl. der gesetzlichen MwSt.,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
*Reserviert*Solides Einfamilienhaus mit großem Grundstück in Rasdorf OT Grüsselbach zu verkaufen,129.000 €,"36169 Rasdorf, Fulda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,93 m²,1.099 m²,1.387 €/m²,Wohnimmobilie (sonstige),nil,sofort,3,2,8 Garagen,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Liebevoll saniertes Fachwerkhaus mit großer Gewerbefläche u. weiteren möglichen Wohneinheiten,929.000 €,"65719 Hofheim am Taunus, Main-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,309 m²,2.430 m²,3.006 €/m²,nil,630 m²,nach Absprache,nil,nil,12 Stellplätze,"3,57 % inkl. MwSt.",{'is24qa-vermietet-label': ''}
