title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Mehrfamilienhaus mit 6 Wohneinheiten Vollvermietung im Güstrower Zentrum Nahe Rosengarten,485.000 €,"Rostocker Straße 52,
18273 Güstrow, Rostock (Kreis)",15,450 m²,872 m²,1.078 €/m²,Mehrfamilienhaus,500 m²,sofort,6,6,Außenstellplatz,"7,14 % vom Kaufpreis inkl 19 % MwSt. verdient und fällig bei Kaufvertragsabschluss","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Neubau-7-Zimmer-Haus (Bungalow), 280qm, 2672qm Grundstück in Groß Plasten, Groß Plasten",1.400.000 €,"Parkallee 34b,
17192 Groß Plasten, Mecklenburgische Seenplatte (Kreis)",7,280 m²,2.672 m²,5.000 €/m²,Einfamilienhaus (freistehend),280 m²,24.3.2024,2,3,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Umzugswagen bestellen, einziehen und sich wohlfühlen!",319.000 €,"23948 Damshagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,115 m²,485 m²,2.774 €/m²,Einfamilienhaus (freistehend),nil,01.11.2024,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
"Familien-Idyll mit Platz für Hund, Katze und Pferd",798.000 €,"18211 Admannshagen-Bargeshagen, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,205 m²,3.723 m²,3.893 €/m²,Bauernhaus,240 m²,nil,7,3,nil,18000 EUR,"{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
Liebevolles Nest für die Familie!,490.000 €,"18239 Satow, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125 m²,1.186 m²,3.920 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Idyllische Ruhe und Entspannung mitten in der Natur,425.680 €,"18209 Bartenshagen-Parkentin, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100 m²,1.179 m²,4.257 €/m²,Einfamilienhaus (freistehend),nil,sofort,2,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-gaeste-wc-label': ''}
2 Häuser auf einem Grundstück in Ostseenähe,339.000 €,"23948 Damshagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,1.100 m²,3.082 €/m²,Einfamilienhaus (freistehend),nil,01.10.2024,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
Ihr romantisches Wochenendhaus am Strand,220.000 €,"18181 Graal-Müritz, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58 m²,288 m²,3.793 €/m²,Bungalow,nil,sofort,1,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.",{}
Gepflegter Bungalow mit traumhaft schönem Garten,385.000 €,"18182 Mönchhagen, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85 m²,872 m²,4.529 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,1,nil,"3,57 % inkl. ges. MwSt.",{}
Naturnahes Wohnen: Einfamilienhaus mit großem Grundstück,399.900 €,"18233 Neubukow, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,225 m²,1.559 m²,1.777 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,2,4 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
