title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Friesoythe - Cloppenburg I Gepflegte Reitanlage mit Reithalle in ruhiger Lage,1.549.000 €,"26169 Friesoythe, Cloppenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,"398,45 m²",21.268 m²,3.888 €/m²,Einfamilienhaus (freistehend),nil,Sofort,6,4,nil,"3,57% inkl. 19% MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': ''}"
Hannover/ Misburg - gepfl. RMH,350.000 €,"Misburg-Nord, 30629 Hannover
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,81 m²,200 m²,4.321 €/m²,Reihenmittelhaus,25 m²,sofort,3,1,nil,"2,86% inkl. Mwst","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Winkelbungalow mit Keller, Sauna und Garage in Ruhiglage von Sülfeld! Mein Haus = mein Makler!",429.900 €,"Sülfeld, 38442 Wolfsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,126 m²,778 m²,3.412 €/m²,Bungalow,130 m²,nach Absprache,3,1,1 Garage,"Je 2,38 % inkl. USt.Die Provision ist mit der Beurkundung verdient & vom Käufer+Verkäufer zu zahlen.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Energieeffiziente elegante Doppelhaushälfte,249.000 €,"29328 Faßberg, Celle (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125 m²,433 m²,1.992 €/m²,Doppelhaushälfte,nil,nil,nil,nil,Carport,"3,57%",{}
"Doppelhaus, Garage & Nebengebäude mit großem Grundstück wo Neubau denkbar erscheint!",505.000 €,"38176 Wendeburg, Peine (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,330 m²,2.664 m²,1.530 €/m²,nil,120 m²,nil,8,2,4 Garagen,"3,57 % inkl. Mehrwertsteuer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Altbaucharme im Einfamilienhaus mit Ferienwohnungen! Direkt hinter dem Deich!,688.000 €,"21720 Grünendeich, Stade (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,280 m²,5.147 m²,2.457 €/m²,Mehrfamilienhaus,nil,ab sofort,7,5,7 Stellplätze,"3,57% inkl. Mwst. (Käuferprovision)","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Platz für Ihre Wohnideen!,220.000 €,"38350 Helmstedt, Helmstedt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,135 m²,843 m²,1.630 €/m²,Bungalow,nil,nach Absprache,3,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Unter 100.000: Großzügiges Haus auf dem Lande,89.000 €,"37586 Dassel, Northeim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,360 m²,407 m²,247 €/m²,Bauernhaus,nil,Zeitnah,nil,nil,nil,"Anteilig vom Käufer und Verkäufer jeweils 3,57% inkl. MwSt.",{}
Eindrucksvolles Stadthaus mit Garage und pflegeleichtem Garten in Bad Zwischenahn- zentrumsnah,329.000 €,"Reihdamm 57c,
26160 Bad Zwischenahn, Ammerland (Kreis)",3,89 m²,248 m²,3.697 €/m²,Einfamilienhaus (freistehend),28 m²,z. Zt. vermietet,2,1,1 Garage,"3,0 % des Kaufpreises inkl. ges. Mehrwertsteuer","{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': ''}"
Übergangsmiete! Moderne Doppelhaushälfte mit schönem Garten In Marxen,450.000 €,"21439 Marxen, Harburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130 m²,580 m²,3.462 €/m²,Doppelhaushälfte,nil,nil,3,1,2 Außenstellplätze,"3,57% inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Moderner Bungalow im Erholungsgebiet am Bernsteinsee,299.900 €,"38524 Sassenburg, Gifhorn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,103 m²,600 m²,2.912 €/m²,Bungalow,nil,nil,nil,nil,2 Stellplätze,"3,57 % inkl. MwSt.",{}
Gute Gelegenheit für Kapitalanleger - Solides Mehrfamilienhaus in Kurpark Nähe von Bad Laer,549.000 €,"49196 Bad Laer, Osnabrück (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,402 m²,691 m²,1.366 €/m²,Mehrfamilienhaus,150 m²,sofort,8,6,1 Garage,"3,57 % inkl. gesetzl. MwSt. vom Kaufpreis fällig nach notarieller Beurkundung","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Bezugsfreie familienfreundliche Doppelhaushälfte in schöner Siedlungslage in Ohrwege,335.000 €,"26160 Bad Zwischenahn, Ammerland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"116,41 m²",396 m²,2.878 €/m²,Doppelhaushälfte,"21,23 m²",bezugsfrei,3,1,1 Garage,3 % zzgl 19 % MwSt.,{}
Zweifamilienhaus mit großem Grundstück in der Oststadt,349.000 €,"31224 Peine, Peine (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,213 m²,1.070 m²,1.638 €/m²,Mehrfamilienhaus,nil,nil,nil,2,1 Garage,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
KFW 40 KFN // Mehrfamilienhaus mit 4 Wohneinheiten in Barßel,1.010.000 €,"26676 Barßel, Cloppenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,"364,68 m²",995 m²,2.770 €/m²,Mehrfamilienhaus,nil,nil,8,4,6 Außenstellplätze,"3,00 % inkl. 19 % MwSt.",{'is24qa-stufenloser-zugang-label': ''}
"Beste, zentrale Lage: Wohn-, Geschäfthaus mit Ladengeschäft, 2 Wohnungen + Hinterhaus.",385.000 €,"38700 Braunlage, Goslar (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,420 m²,1.288 m²,917 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"7,14inkl. MwSt",{}
Bungalow mit Teilkeller in Scharnebeck,255.000 €,"21379 Scharnebeck, Lüneburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75 m²,500 m²,3.400 €/m²,Bungalow,21 m²,nach Absprache,2,1,nil,"3,57 % inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
Scheune mit Baugenehmigung für ca. 242 m² Wohnfläche in Rühen-Brechtorf,49.000 €,"38471 Rühen, Gifhorn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,0 m²,1.041 m²,nil,Mehrfamilienhaus,"278,16 m²",nil,nil,nil,2 Stellplätze,"12,14 %",{}
