title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Sehr gepflegtes Ein-Zweifamilienhaus mit Garten in Dahn,239.000 €,"66994 Dahn, Südwestpfalz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,129 m²,788 m²,1.853 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,nil,3 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
"Charmantes, freistehendes Einfamilienhaus in Appenheim",520.000 €,"55437 Appenheim, Mainz-Bingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,119 m²,334 m²,4.370 €/m²,Einfamilienhaus (freistehend),nil,01.03.2025,3,1,3 Stellplätze,"3,57 % incl. Mehrwertsteuer","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Gepflegtes freistehendes Zweifamilienhaus in gefragter Lage von Konz-Niedermennig,395.000 €,"54329 Konz, Trier-Saarburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,180 m²,332 m²,2.194 €/m²,Mehrfamilienhaus,100 m²,nil,4,2,2 Garagen,"2,38 % incl. MwSt",{'is24qa-online-besichtigung-moeglich-label': ''}
Gepflegtes Wohnhaus mit Garage und vielen Möglichkeiten!,184.000 €,"56412 Görgeshausen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,148 m²,370 m²,1.243 €/m²,Einfamilienhaus (freistehend),nil,nil,5,2,1 Garage,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
6-Raum-Haus in Mainz Hartenberg/Münchfeld,770.000 €,"Thomas-Mann-Strasse 34,
Hartenberg-Münchfeld, 55122 Mainz",6,141 m²,487 m²,5.461 €/m²,Einfamilienhaus (freistehend),nil,17.4.2024,3,2,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
TOP-renoviertes EFH mit kleinem Apartment in Höhr-Grenzhausen,395.000 €,"56203 Höhr-Grenzhausen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,146 m²,137 m²,2.705 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,"zzgl. Käuferprovision i.H.v. 3,57% inkl. MwSt. auf den Kaufpreis",{}
Das sind ja schöne Aussichten! Neubauprojekt Doppelhaushälfte mit Fernblick in ruhiger Wohnlage,467.000 €,"Eifelblick 41 a,
56566 Neuwied, Neuwied (Kreis)",4,130 m²,190 m²,3.592 €/m²,Doppelhaushälfte,6 m²,01.08.2024,3,2,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Das sind ja schöne Aussichten! Neubauprojekt Doppelhaushälfte mit Fernblick in ruhiger Wohnlage,467.000 €,"Eifelblick 41,
56566 Neuwied, Neuwied (Kreis)",4,130 m²,190 m²,3.592 €/m²,Doppelhaushälfte,6 m²,01.08.2024,3,2,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ansprechendes freistehendes Wohnhaus mit Einliegerwohnung,648.000 €,"67688 Rodenbach, Kaiserslautern (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,377 m²,1.180 m²,1.719 €/m²,Einfamilienhaus (freistehend),nil,nil,6,3,6 Stellplätze,"Käuferprovision 3,57 %, incl. Mwst.","{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-vermietet-label': ''}"
Wohn- und Gewerbeimmobilie in Landau,1.900.000 €,"Landau, 76829 Landau in der Pfalz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,1.376 m²,1.504 m²,1.381 €/m²,Mehrfamilienhaus,nil,sofort,nil,nil,Garage,"4,76 % inkl. MwSt.",{'is24qa-keller-label': ''}
