title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Freistehendes Einfamilienhaus mit Garage,68.000 €,"Plather Dorfstraße XXX,
39624 Altmersleben, Altmarkkreis Salzwedel",3,96 m²,1.066 m²,708 €/m²,Wohnimmobilie (sonstige),31 m²,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Kapitalanlage + Wohn-/Geschäftshaus +,95.000 €,"Liebknechtstraße XXX,
06721 Meineweh, Burgenlandkreis",1,150 m²,510 m²,633 €/m²,Wohnimmobilie (sonstige),285 m²,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Einfamilienhaus und Garage,68.000 €,"Niegripper Chaussee XXX,
39288 Burg, Jerichower Land (Kreis)",1,120 m²,577 m²,567 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Wohnhaus,6.000 €,"Straße des Friedens XXX,
39291 Möckern, Jerichower Land (Kreis)",1,90 m²,506 m²,67 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Wohn- und Geschäftshaus mit vielen Möglichkeiten in zentraler Lage,45.000 €,"Hauptstraße XXX,
06800 Jeßnitz (Anhalt), Anhalt-Bitterfeld (Kreis)",4,147 m²,355 m²,306 €/m²,Wohnimmobilie (sonstige),64 m²,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Einfamilienhaus + Ohne Provision +,223.000 €,"Friedrich-Engels-Straße XXX,
06179 Teutschenthal, Saalekreis",1,129 m²,1.139 m²,1.729 €/m²,Wohnimmobilie (sonstige),0 m²,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Einfamilienhaus (ehem. Hofstelle),118.500 €,"Hauptstraße XXX,
39596 Hohenberg-Krusemark, Stendal (Kreis)",1,1 m²,2.763 m²,118.500 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Kapitalanlage - Mehrfamilienhaus + provisionsfrei +,56.000 €,"Sandauer Straße XXX,
39596 Arneburg, Stendal (Kreis)",1,1 m²,1.268 m²,56.000 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Wohnhaus mit Nebengebäude,72.000 €,"Platz des Friedens XXX,
39517 Tangerhütte, Stendal (Kreis)",2,100 m²,533 m²,720 €/m²,Wohnimmobilie (sonstige),0 m²,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
++ Kapitalanlage ++ Mehrfamilienhaus,70.000 €,"Gabelsberger Straße XXX,
Salbke, 39122 Magdeburg",1,538 m²,443 m²,130 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
