title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Ein- bis Zweifamilienhaus mit Garten und herrlicher Aussicht,229.000 €,"Oststraße 8,
08459 Neukirchen/Pleiße, Zwickau (Kreis)",6,120 m²,850 m²,1.908 €/m²,Einfamilienhaus (freistehend),220 m²,03/2024,4,1,1 Garage,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Sanierungsobjekt mit Garten in zentraler Lage von Oederan,54.900 €,"09569 Oederan, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,120 m²,207 m²,458 €/m²,Reihenmittelhaus,nil,ab sofort,5,2,nil,"2975,00 €","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Stadtvilla in Rochlitz,695.000 €,"09306 Rochlitz, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",26,597 m²,1.309 m²,1.164 €/m²,nil,nil,24.09.2024,nil,7,nil,7.14%,{}
Saniertes und vermietetes Dreifamilienhaus in Randlage,250.000 €,"08468 Reichenbach im Vogtland, Vogtlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,286 m²,460 m²,874 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,nil,nil,nil,0 Netto-Monatsmieten (incl. Mwst.),"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Haus sucht glückliche Familie,530.000 €,"09573 Augustusburg, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,161 m²,1.087 m²,3.292 €/m²,Einfamilienhaus (freistehend),nil,nil,5,2,2 Garagen,"3,57 % vom Kaufpreis inkl. gesetzl. MwSt. Käuferprovision","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Einfamilienhaus mit Einliegerwohnung oder mehr...,140.000 €,"01705 Freital, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,235 m²,381 m²,596 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Günstiges Haus für fleißige Hände,42.000 €,"09514 Lengefeld, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,80 m²,200 m²,525 €/m²,Einfamilienhaus (freistehend),nil,nil,1,1,nil,2380 EUR,{}
Beliebte Stadtlage,Auf Anfrage,"Marienthal Ost, 08060 Zwickau
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,176 m²,340 m²,nil,Mehrfamilienhaus,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
Gestalten Sie Ihr Leben neu,120.000 €,"04736 Waldheim, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,95 m²,840 m²,1.263 €/m²,Doppelhaushälfte,nil,nil,2,1,nil,"3,57 % vom Kaufpreis inkl. gesetzl. MwSt. Käuferprovision",{'is24qa-keller-label': ''}
Kapitalanlage oder Eigennutzung - ruhig gelegenes Reihenhaus!,315.000 €,"01640 Coswig, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"112,55 m²",220 m²,2.799 €/m²,Reihenmittelhaus,nil,nach Vereinbarung,3,1,1 Außenstellplatz,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Leben Sie Ihren Traum nahe dem Ullersdorfer Golfplatz,845.000 €,"01454 Radeberg, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,210 m²,1.262 m²,4.024 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,3 Garagen,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Freistehendes Einfamilienhaus mit 2 Stellplätzen, 1 Garage & Nebengebäude in toller Lage!",236.500 €,"Liebertwolkwitz, 04288 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"109,7 m²",393 m²,2.156 €/m²,Einfamilienhaus (freistehend),nil,sofort,3,2,3 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
+ESDI+ Investieren und profitieren! WGH in Weinböhla mit Steigerungspotential!,850.000 €,"01689 Weinböhla, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",15,534 m²,960 m²,1.592 €/m²,nil,40 m²,nil,nil,nil,5 Außenstellplätze,"5,95 %","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
