title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Traumhaus im dänischen Stil: charmantes Einfamilienhaus in Selent mit idyllischem Garten,439.000 €,"24238 Selent, Plön (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"176,5 m²",923 m²,2.487 €/m²,Einfamilienhaus (freistehend),"8,37 m²",nil,4,2,5 Stellplätze,"3,57",{}
Wohnen in Feldrandlage ! Stilvolles Einfamilienhaus + Doppel-Carport,495.000 €,"23869 Elmenhorst, Stormarn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,148 m²,1.500 m²,3.345 €/m²,Einfamilienhaus (freistehend),30 m²,in Absprache,4,1,2 Carports,"antl. Käuferprovision 3,57% inklusive MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-gaeste-wc-label': ''}"
Ruhige Lage mit grossem Garten am Ende einer Sackgasse mit Vollkeller,245.000 €,"24894 Tolk, Schleswig-Flensburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,920 m²,2.227 €/m²,Einfamilienhaus (freistehend),nil,sofort,2,2,Carport,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schönes Einfamilienhaus an der Ostsee,679.900 €,"24327 Blekendorf, Plön (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"218,48 m²",823 m²,3.112 €/m²,Einfamilienhaus (freistehend),137 m²,nil,nil,3,nil,"3,33 % inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Historische Villa mit Blick auf den Mühlenteich,3.850.000 €,"21465 Wentorf bei Hamburg, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",18,686 m²,3.698 m²,5.612 €/m²,Villa,160 m²,nach Absprache,nil,4,2 Außenstellplätze,"3,57","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Zwei Wohnungen - ein Zuhause. Perfekt für die große Familie mit Sauna und Doppelgarage,290.000 €,"21481 Lauenburg/Elbe, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,139 m²,527 m²,2.086 €/m²,nil,60 m²,nil,nil,nil,2 Außenstellplätze,"3,57 inkl. MwSt.",{}
Mehrfamilienhaus mit fünf Einheiten in traumhafter Lage - Teilweise Eigennutzung möglich,1.298.000 €,"25469 Halstenbek, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,"369,66 m²",719 m²,3.511 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,nil,nil,1 Außenstellplatz,"2,98% inkl. MwSt. des beurkundeten Kaufpreises. Die Provision ist vom Käufer zu zahlen. inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Für Heimwerker - Solides EFH in ruhiger Lage von Quickborn,355.000 €,"25451 Quickborn, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,160 m²,667 m²,2.219 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,nil,"3,57% inkl. MwSt. des beurkundeten Kaufpreises. Die Provision ist vom Käufer zu zahlen. inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-einliegerwohnung-label': ''}"
Einfamilienhaus mit viel Platz & Potenzial,239.000 €,"24783 Osterrönfeld, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"116,67 m²",819 m²,2.049 €/m²,Einfamilienhaus (freistehend),nil,sofort,3,1,4 Garagen,"3,57 % Käufer-Provision vom notariell beurkundeten Kaufpreis inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Moderner und großzügiger Bungalow in idylischer Lage!,510.000 €,"24790 Rade bei Rendsburg, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,171 m²,976 m²,2.982 €/m²,Bungalow,nil,nil,3,2,2 Garagen,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
