title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Gemütliches EFH.,135.000 €,"07927 Hirschberg, Saale-Orla-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",110 m²,590 m²,1.227 €/m²,Einfamilienhaus (freistehend),nil,nil,2,2,nil,"3,57 % inkl. ges. MwSt.",{}
***Gepflegtes Reihenendhaus mit Anbau auf großem Grundstück in Bücheloh zu verkaufen ***,175.000 €,"98693 Wolfsberg, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,176 m²,1.006 m²,994 €/m²,Wohnimmobilie (sonstige),nil,nil,4,2,Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Großzügiges Ferienhaus in ruhiger Lage von Ilmenau zu verkaufen!,128.000 €,"98693 Ilmenau, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,79 m²,745 m²,1.620 €/m²,Wohnimmobilie (sonstige),"18,6 m²",August/September,nil,nil,Garage,"3,57 % inkl. ges. MwSt.",{'is24qa-als-ferienhaus-geeignet-label': ''}
Paradiesisches Anwesen mit Schwimmteich und erstklassiger Ausstattung,649.000 €,"99439 Ettersburg, Weimarer Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,128 m²,1.998 m²,5.070 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,nil,nil,3 Stellplätze,"3,57",{'is24qa-gaeste-wc-label': ''}
"Herrschaftliches Anwesen im Grünen, exklusive Alleinlage an der B90 Richtung Saalfeld",Auf Anfrage,"07368 Remptendorf, Saale-Orla-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,330 m²,5.500 m²,nil,Wohnimmobilie (sonstige),nil,nil,nil,nil,2 Garagen,3 % inkl. ges. MwSt.,"{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
"voll vermietetes, saniertes und modern möbliertes Mehrfamilienhaus mit Balkonen in Gera",595.000 €,"Gera-Ost, 07545 Gera
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",15,444 m²,180 m²,1.340 €/m²,Mehrfamilienhaus,540 m²,nil,nil,nil,nil,"4,76 % incl. 19 % MwSt.","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Haus in Greiz Gommla,178.000 €,"07973 Greiz, Greiz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,141 m²,305 m²,1.262 €/m²,Einfamilienhaus (freistehend),nil,nil,1,3,nil,"3,57 % inkl. ges. MwSt.",{}
"Massives Einfamilienhaus, mit 2 Garagen + Garten, in Altengottern zu verkaufen :)",200.000 €,"Unstrutstraße 9,
99991 Altengottern, Unstrut-Hainich-Kreis",3,120 m²,482 m²,1.667 €/m²,Einfamilienhaus (freistehend),100 m²,nil,nil,2,2 Garagen,"3,57 % inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Idyllisches Landhaus mit Blick auf das Freibachtal,150.000 €,"Taubachstraße 23,
98694 Stützerbach, Ilm-Kreis",4,69 m²,561 m²,2.174 €/m²,Einfamilienhaus (freistehend),47 m²,1.6.2024,2,1,2 Außenstellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Bezauberndes ,kleines Bauernhaus in Langenroda zu verkaufen :)",70.000 €,"Dorfstraße 61,
06571 Wiehe, Kyffhäuserkreis",5,120 m²,1.028 m²,583 €/m²,Bauernhaus,300 m²,nil,nil,2,4 Garagen,"3,57 % inkl. MwSt","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Wunderschönes Einfamilienhaus vor den Toren der Landeshauptstadt!,538.999 €,"Alach, 99090 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,137 m²,651 m²,3.934 €/m²,Einfamilienhaus (freistehend),157 m²,1.6.2024,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohn- und Geschäftshaus in Geschwenda,260.000 €,"99331 Geschwenda, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,100 m²,335 m²,2.600 €/m²,Wohnimmobilie (sonstige),100 m²,nil,1,1,2 Stellplätze,"2,98% des Kaufpreises",{'is24qa-vermietet-label': ''}
Natur pur - Idyllisches Gartengrundstück inkl. Ferienhaus,91.000 €,"07774 Dornburg-Camburg, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,64 m²,3.200 m²,1.422 €/m²,Wohnimmobilie (sonstige),"16,6 m²",nil,1,1,1 Carport,"4,75 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Bezauberndes traditionelles Fachwerkhaus mit Nebengelass - Wohnen und Arbeiten verbinden -,130.000 €,"99638 Kannawurf, Sömmerda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,150 m²,371 m²,867 €/m²,Bauernhaus,nil,sofort,1,1,4 Stellplätze,"4,76 % inkl. ges. MwSt.",{'is24qa-gaeste-wc-label': ''}
"Bauernhaus in Merxleben, Scheune und Garten, zu verkaufen :)",119.999 €,"Merxlebener Hauptstraße 10,
99947 Bad Langensalza, Unstrut-Hainich-Kreis",5,200 m²,1.312 m²,600 €/m²,Bauernhaus,300 m²,nil,nil,2,4 Garagen,"3,57 % inkl. MwSt",{'is24qa-keller-label': ''}
VIEL Platz für ihre Familie,61.000 €,"Oberes Waldtor 27,
99880 Waltershausen, Gotha (Kreis)",6,100 m²,180 m²,610 €/m²,Reihenmittelhaus,nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Alle unter einem Dach! Platz für die gesamte Familie im 2-Generationenhaus!,540.000 €,"Andreasvorstadt, 99092 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,165 m²,805 m²,3.273 €/m²,Einfamilienhaus (freistehend),50 m²,VHB,2,2,4 Garagen,"3,57","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Architektonisch herausragende Villa in ruhiger Lage, Sa Ràpita",2.250.000 €,"07639 Weißenborn, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,230 m²,812 m²,9.783 €/m²,Einfamilienhaus (freistehend),"328,84 m²",nil,3,4,2 Garagen,Keine Käuferprovision,{}
Gut gelegene Doppelhaushälfte in Jena-Ost,270.000 €,"Wenigenjena, 07749 Jena
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,84 m²,317 m²,3.214 €/m²,Doppelhaushälfte,nil,nil,2,1,2 Stellplätze,"3,99",{}
"Seltene Gelegenheit! Großzügige Immobilie, Wintergarten, Pool, Teich, Garagen, großes Grundstück",375.000 €,"99610 Wundersleben, Sömmerda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,257 m²,1.885 m²,1.459 €/m²,nil,nil,nil,nil,nil,nil,"2,98% inkl. 19 % Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-gaeste-wc-label': ''}"
