title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Perfektes Zuhause für die große Familie,1.650.000 €,"14532 Kleinmachnow, Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,209 m²,920 m²,7.895 €/m²,Einfamilienhaus (freistehend),129 m²,nach Vereinbarung,4,3,3 Stellplätze,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Exklusives Einfamilienhaus mit gehobener Ausstattung in ruhiger Lage sucht neuen Eigentümer,849.000 €,"16548 Glienicke/Nordbahn, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,170 m²,501 m²,4.994 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,nil,2,1 Carport,"3,57 inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Platz für die ganze Familie - Einfamilienhaus in Panketal, fast noch Berlin",595.000 €,"16341 Panketal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,165 m²,1.200 m²,3.606 €/m²,Einfamilienhaus (freistehend),35 m²,nil,4,2,1 Carport,"3,57%exkl. MwSt",{'is24qa-online-besichtigung-moeglich-label': ''}
Kleines Juwel am Fließ,190.000 €,"03222 Lübbenau/Spreewald, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,48 m²,450 m²,3.958 €/m²,Wohnimmobilie (sonstige),nil,sofort,1,1,nil,"3,57 % inkl. ges. MwSt.",{}
Sanierungsbedürftiges Reihenmittelhaus mit Potential,80.000 €,"16868 Wusterhausen/Dosse, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,190 m²,727 €/m²,Reihenmittelhaus,nil,sofort,2,1,nil,"Die Provision beträgt 3,57% des Kaufpreises inkl. 19% MwSt. und ist von Käufer zu tragen.",{'is24qa-gaeste-wc-label': ''}
Schöner wohnen in Mexiko!,206.000 €,"03149 Forst (Lausitz), Spree-Neiße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120 m²,1.058 m²,1.717 €/m²,Einfamilienhaus (freistehend),nil,01.09.2024,nil,1,7 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Solides Haus sucht Familie!,245.300 €,"Branitz, 03042 Cottbus
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85 m²,774 m²,2.886 €/m²,Einfamilienhaus (freistehend),nil,August 2024,1,1,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Geräumiges Einfamilienhaus mit 6 Zimmern und Nebengelass in Heidesee zu verkaufen,399.000 €,"15754 Heidesee, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,152 m²,871 m²,2.625 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,nil,"3,57 inkl. MwSt",{'is24qa-keller-label': ''}
Großzügiges Einfamilienhaus in Zeuthen,692.000 €,"15738 Zeuthen, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,209 m²,1.301 m²,3.311 €/m²,Einfamilienhaus (freistehend),56 m²,sofort,3,3,3 Garagen,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Familientraum: EFH mit hochwertiger Ausstattung und vielen Extras bei Berlin,585.000 €,"16341 Panketal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"200,3 m²","708,3 m²",2.921 €/m²,Einfamilienhaus (freistehend),nil,01.01.2025,3,2,2 Carports,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Traumhaus im New England Style - Waldrandlage mit großem Grundstück!,1.225.000 €,"14612 Falkensee, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"184,09 m²",1.437 m²,6.654 €/m²,Einfamilienhaus (freistehend),32 m²,nil,5,2,1 Außenstellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{}
Verträumter Gutshof mit Nebengelass wartet auf Liebhaber,99.000 €,"16866 Kyritz, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,610 m²,4.000 m²,162 €/m²,nil,150 m²,nil,nil,nil,5 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-gaeste-wc-label': ''}
Charmantes Wohnensemble in historischem Umfeld mit vielseitigen Möglichkeiten für die ganze Familie,199.000 €,"16868 Wusterhausen/Dosse, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","8,5",235 m²,165 m²,847 €/m²,Einfamilienhaus (freistehend),30 m²,nil,6,3,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-gaeste-wc-label': ''}
Charmantes Wohnensemble in weitläufigem grünen Wohnumfeld mit vielseitigen Nutzungsmöglichkeiten für,269.000 €,"16259 Höhenland, Märkisch-Oderland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,185 m²,1.033 m²,1.454 €/m²,Doppelhaushälfte,60 m²,nil,6,3,4 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Einzigartiges Architektenhaus mit zwei Wohneinheiten in bester Lage,980.000 €,"Madlow, 03050 Cottbus
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,300 m²,917 m²,3.267 €/m²,Mehrfamilienhaus,nil,nil,5,3,3 Außenstellplätze,"Käuferprovision beträgt 3,00 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Sehr gepflegtes Einfamilienhaus in ruhiger Lage mit einer Gesamtfläche von 323 m²,579.000 €,"14641 Nauen, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",172 m²,1.193 m²,3.366 €/m²,Einfamilienhaus (freistehend),"151,8 m²",nil,5,2,nil,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
