title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Modernisiertes Einfamilienhaus am Ortsrand mit zahlreichen Highlights,188.000 €,"37287 Wehretal, Werra-Meißner-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,167 m²,1.113 m²,1.126 €/m²,Einfamilienhaus (freistehend),nil,ab sofort,5,2,nil,"Käuferprovision: 3,57 % inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Schickes Zweifamilienhaus mit mediterranem Flair,564.629 €,"36286 Neuenstein, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,192 m²,721 m²,2.941 €/m²,Mehrfamilienhaus,nil,nil,4,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wunderschöne kleine Stadtvilla für Preisbewusste,348.669 €,"36286 Neuenstein, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,120 m²,661 m²,2.906 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Mediterraner Wohntraum auf einer Ebene,362.943 €,"36208 Wildeck, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,111 m²,576 m²,3.270 €/m²,Bungalow,nil,nil,2,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Frisch renoviertes, einzugsbereites EFH zentral in Mörfelden",489.000 €,"64546 Mörfelden-Walldorf, Groß-Gerau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"120,71 m²",158 m²,4.051 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,2,nil,"2,975% auf den Kaufpreis inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
"ARBEITEN, WOHNEN UND AUSBAUPOTENTIAL IN EINEM! KEINE KÄUFERPROVISION!",189.900 €,"35282 Rauschenberg, Marburg-Biedenkopf (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,200 m²,202 m²,950 €/m²,Wohnimmobilie (sonstige),nil,nach Absprache,1,nil,2 Außenstellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Massives Stommel-Holzhaus mit Wintergarten und Doppelgarage in Bruchköbel,549.000 €,"Schießstr 65,
63486 Bruchköbel, Main-Kinzig-Kreis",7,252 m²,650 m²,2.179 €/m²,Einfamilienhaus (freistehend),"113,7 m²",sofort,4,2,2 Garagen,"3,57 % (inkl. 19% MwSt.) des Kaufpreises Käuferprovision","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': ''}"
"** Rüdesheim-Presberg: Ehemalige Großküche, vielseitig nutzbar **",195.000 €,"65385 Rüdesheim am Rhein, Rheingau-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,373 m²,698 m²,523 €/m²,Einfamilienhaus (freistehend),373 m²,nil,nil,nil,nil,"5,95% inkl. ges. MwSt. vom beurkundeten Kaufpreis.",{}
Bad König- Wohnhaus auf großem Grundstück mit Nutzgarten zu verkaufen,279.000 €,"Klosterwaldstraße 9,
64732 Bad König, Odenwaldkreis",7,120 m²,600 m²,2.325 €/m²,nil,nil,nil,3,2,1 Garage,"3,57%",{'is24qa-vermietet-label': ''}
Top Einfamilien-Doppelhaushälfte,449.000 €,"64668 Rimbach, Bergstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,139 m²,261 m²,3.230 €/m²,nil,196 m²,nil,4,2,1 Außenstellplatz,3,{'is24qa-listonlyonis24-label': 'Nur hier gefunden'}
