title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
*Einfamilienhaus in sehr ruhiger Lage - Kartons packen und einziehen*,279.000 €,"09394 Hohndorf, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120 m²,465 m²,2.325 €/m²,Einfamilienhaus (freistehend),18 m²,August 2024,2,2,2 Außenstellplätze,"3,57 % incl. der gesetzlichen Mehrwertsteuer. Verdient und fällig nach dem notariellen Kaufvertrag",{'is24qa-einliegerwohnung-label': ''}
143 QUADTRATMETER WOHNTRAUM MIT KAMIN,299.000 €,"Mittelbach, 09224 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,143 m²,240 m²,2.091 €/m²,Doppelhaushälfte,61 m²,nil,3,1,nil,Die Courtage in Höhe von 5 % inkl. 19% MwSt. ist vom Käufer zu tragen.,{'is24qa-keller-label': ''}
Ortshistorisches Gebäude sucht Bauträger! Denkmal-AfA sichern!,150.000 €,"Leubsdorfer Straße 4+5,
09579 Borstendorf, Erzgebirgskreis",50,1.000 m²,3.810 m²,150 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,Außenstellplatz,"4,76 % inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-keller-label': ''}"
Ihr Wohlfühlzuhause in privater Siedlungslage in Borna Eula,549.000 €,"04552 Borna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,150 m²,1.232 m²,3.660 €/m²,Einfamilienhaus (freistehend),178 m²,nil,3,1,Garage,"3,57% vom Kaufpreis (inkl. MwSt.)",{'is24qa-gaeste-wc-label': ''}
Idyllisches Einfamilienhaus in Großenhain: Perfektes Zuhause mit traumhaftem Garten,179.000 €,"01558 Großenhain, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",70 m²,1.059 m²,2.557 €/m²,Einfamilienhaus (freistehend),nil,nach Kaufpreiszahlung,1,1,1 Carport,"3,57 % inkl. MwSt.",{'is24qa-keller-label': ''}
Charmantes Kleinod in Hanglage mit Blick über die Elbe sucht geschickten Bauherrn!,285.000 €,"Mobschatz, 01156 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,160 m²,726 m²,1.781 €/m²,Einfamilienhaus (freistehend),224 m²,sofort,nil,2,1 Außenstellplatz,"3,00% des Kaufpreises zzgl. MwSt.",{'is24qa-gaeste-wc-label': ''}
"Facettenreiches Gutshaus, Scheune, Stallung und viel Land! Landleben genießen.",495.000 €,"02956 Rietschen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,329 m²,16.054 m²,1.505 €/m²,Einfamilienhaus (freistehend),329 m²,nach Vereinbarung,nil,2,3 Garagen,"3,00% des Kaufpreises zzgl. MwSt.",{'is24qa-gaeste-wc-label': ''}
"Senken Sie Ihre Steuerlast, Revitalisierungsprojekt mit Denkmal-AFA!!",595.000 €,"09212 Limbach-Oberfrohna, Zwickau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",108,3.600 m²,7.200 m²,165 €/m²,Mehrfamilienhaus,nil,sofort,nil,nil,nil,"3,57 % vom Kaufpreis inkl. der gesetzl. MwSt.",{'is24qa-keller-label': ''}
Doppelhaushälfte sucht neue Familie,155.000 €,"04889 Schildau, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,130 m²,531 m²,1.192 €/m²,Doppelhaushälfte,80 m²,nach Vereinbarung,5,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Vielseitiges Dreifamilienhaus in Mülsen sucht Vision & Feinschliff!,129.500 €,"Dresdner Straße 26,
08132 Mülsen, Zwickau (Kreis)",13,200 m²,900 m²,648 €/m²,Mehrfamilienhaus,nil,sofort,3,3,1 Garage,"3,57% Käuferprovision vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
