title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Neubau: Traumhafte 3,5- Zimmer- Wohnung in Schloss nähe!",599.000 €,"Nord, 71642 Ludwigsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5","90,88 m²",6.591 €/m²,Erdgeschosswohnung,nil,Ende 2025,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
großzügig - neuwertig - barrierefrei 4 Zimmer Eigentumswohnung mit Aussicht,379.000 €,"88662 Überlingen, Bodenseekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,101 m²,3.752 €/m²,Etagenwohnung,nil,Sommer 2024,nil,nil,1 Garage,"3,57 % inkl. ges. MwSt.",{}
"4,5-Zimmer Neubauwohnung in Toplage: Barrierefrei, Nahwärme & ideale Austattung!",689.220 €,"71665 Vaihingen an der Enz, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5","114,87 m²",6.000 €/m²,Etagenwohnung,nil,nil,nil,nil,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Attraktive Wohnung mit eigenem Garten,449.800 €,"Krebsgasse 32,
74379 Ingersheim, Ludwigsburg (Kreis)","3,5","70,37 m²",6.392 €/m²,Erdgeschosswohnung,nil,Sommer 2024,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zimmer Wohnung mit Balkon !,245.000 €,"78628 Rottweil, Rottweil (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"59,85 m²",4.094 €/m²,Etagenwohnung,nil,2024,1,1,Tiefgaragen-Stellplatz,ohne Maklerprovision,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"2,5-Zimmer Neubauwohnung in Toplage: Barrierefrei, Nahwärme & ideale Austattung!",327.840 €,"71665 Vaihingen an der Enz, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","54,64 m²",6.000 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zimmer OG-Wohnung in Rottweil mit Balkon !,231.000 €,"78628 Rottweil, Rottweil (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"56,31 m²",4.102 €/m²,Etagenwohnung,nil,2024,1,1,Tiefgaragen-Stellplatz,ohne Maklerprovision,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Echte Besichtigungen – keine Theorie: Ideal für Single oder Kapitalanleger! 2-Zi-Wohnung mit Balkon!,292.000 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)",2,"60,24 m²",4.847 €/m²,Etagenwohnung,nil,2024,1,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3-Zimmer-Wohnung mit Balkon in familienfreundlicher Wohnlage - provisionsfrei,214.000 €,"Leipziger Straße XXXX,
89537 Giengen an der Brenz, Heidenheim (Kreis)",3,"86,33 m²",2.479 €/m²,nil,nil,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
WE_1 Rottweil/Bühlingen 2-Zimmer Wohnung mit Balkon !,286.000 €,"78628 Rottweil, Rottweil (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"69,87 m²",4.093 €/m²,Etagenwohnung,nil,2024,1,1,9 Tiefgaragen-Stellplätze,ohne Maklerprovision,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Perfekter Grundriss, viel Ruhe und einen Garten für die ganze Familie!",494.800 €,"Krebsgasse 32,
74379 Ingersheim, Ludwigsburg (Kreis)","3,5","78,65 m²",6.291 €/m²,Erdgeschosswohnung,nil,Sommer 2024,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"4,5-Zimmer Gewerbeinheit in sichtbarer Toplage.",554.828 €,"71665 Vaihingen an der Enz, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5","95,66 m²",5.800 €/m²,nil,nil,nil,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Neubau WE_7 Schöne 3-Zimmer Wohnung im DG,348.000 €,"78628 Rottweil, Rottweil (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"82,79 m²",4.203 €/m²,Dachgeschoss,nil,nil,2,1,Carport,ohne Maklerprovison,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Ruhig Wohnen mit eigenem Garten,389.800 €,"Krebsgasse 32,
74379 Ingersheim, Ludwigsburg (Kreis)","2,5","60,61 m²",6.431 €/m²,Erdgeschosswohnung,nil,Frühjahr Sommer 2024,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Toller Schnitt und viel Ruhe in einer gewachsenen Nachbarschaft,428.800 €,"Krebsgasse 32,
74379 Ingersheim, Ludwigsburg (Kreis)","2,5","66,4 m²",6.458 €/m²,Dachgeschoss,nil,Sommer 2024,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schöne Maisonette-Wohnung inkl. neuer EBK zu verkaufen!,649.000 €,"70825 Korntal-Münchingen, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",124 m²,5.234 €/m²,Maisonette,5 m²,01.07.2024,2,1,1 Garage,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Charmante 2-Zimmer-Maisonette-Wohnung im Dachgeschoss,228.000 €,"71083 Herrenberg, Böblingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"66,79 m²",3.414 €/m²,Dachgeschoss,nil,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
"Penthouse 5,5-Zimmer Neubauwohnung in Toplage: Barrierefrei, Nahwärme & luxeriöse Austattung!",986.172 €,"71665 Vaihingen an der Enz, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5","159,06 m²",6.200 €/m²,Penthouse,nil,nil,nil,nil,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Erst sehen, dann kaufen! Eleganz über 2 Ebenen: Moderne 3,5-Zi-Maisonette-Wohnung mit Balkon & 97m²!",470.500 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)","3,5","97,09 m²",4.846 €/m²,Etagenwohnung,nil,2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Sonnige Dachgeschoss-Wohnung mit 2 Zimmern, EBK, separates WC",195.000 €,"Ost, 71640 Ludwigsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,46 m²,4.239 €/m²,Dachgeschoss,nil,nil,1,1,nil,0 €,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
*Provisionsfrei für Käufer* Exclusive Neubau-Wohnung! Steuervorteil durch degressive AfA nutzen!,599.000 €,"70839 Gerlingen, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81 m²,7.395 €/m²,Etagenwohnung,nil,nil,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Helle 3,5-Zimmer-Wohnung mit 83qm in Ludwigsburg-Neckarweihingen - ohne Makler !!!",265.000 €,"Neckarweihingen, 71642 Ludwigsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5","83,28 m²",3.182 €/m²,Etagenwohnung,"9,4 m²",1.6.2024,2,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"*Provisionsfrei für den Käufer* NEUBAU: Großzügige 4,5-Zimmer-Wohnung mit traumhafter Aussicht!",1.099.000 €,"70839 Gerlingen, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",140 m²,7.850 €/m²,Etagenwohnung,nil,nil,3,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Bald Live verfügbar: Wohnen auf 2 Etagen: Moderne 3-Zi-Maisonette-Wohnung mit Balkon und 96 m²!,466.500 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)",3,"96,34 m²",4.842 €/m²,Etagenwohnung,nil,2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Rottweil/ Bühlingen 2-Zimmer OG-Wohnung mit Balkon !,268.000 €,"78628 Rottweil, Rottweil (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"65,32 m²",4.103 €/m²,Etagenwohnung,nil,nil,1,1,Tiefgaragen-Stellplatz,ohne Maklerprovision,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Bestens geschnittene 4,5 Dachgeschosswohnung mit Süd-West Ausblick!",659.800 €,"Krebsgasse 28,
74379 Ingersheim, Ludwigsburg (Kreis)","4,5","107,14 m²",6.158 €/m²,Dachgeschoss,nil,Sommer 2024,3,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Platz für die Familie , sehr gepflegte 4 Zimmer Wohnung in 1. Obergeschoss",339.000 €,"Ruschbachstrasse 23,
79639 Grenzach-Wyhlen, Lörrach (Kreis)",4,93 m²,3.645 €/m²,Etagenwohnung,8 m²,10.24,3,1,1 Tiefgaragen-Stellplatz,"3,57 % aus dem Kaufpreis incl. Mwst","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Burger Immobilien. Korb, 2 Zimmerwohnung - gepflegt - modern und zentrumsnah!",252.000 €,"71404 Korb, Rems-Murr-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"53,45 m²",4.715 €/m²,Etagenwohnung,nil,nil,1,1,1 Stellplatz,"3,57 inkl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"3,5-Zimmer Neubauwohnung in Toplage: Barrierefrei, Nahwärme & ideale Austattung!",492.180 €,"71665 Vaihingen an der Enz, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5","82,03 m²",6.000 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Kein Kauf vom Plan bei uns! Erleben Sie 3,5-Zimmer mit 103 m² Wohngefühl auf 2 Etagen & 2 Balkone!",499.500 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)","3,5","103,19 m²",4.841 €/m²,nil,nil,2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Live besichtigen: Bezaubernde 57 m² Gartenanteil & 2 Terrassen: 3,5-Zimmer-Wohnung mit 100 m²!",489.500 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)","3,5",100 m²,4.895 €/m²,Etagenwohnung,nil,2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Bald verfügbar: Elegante 2-Zimmer-Wohnung mit Balkon und 68 m² Wohnfläche!,324.500 €,"Hauptstraße 92,
73117 Wangen, Göppingen (Kreis)",2,"67,54 m²",4.805 €/m²,Etagenwohnung,nil,2024,1,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Gemütliche 3-Zi-Wohnung mit barrierefreiem Zugang, Terrasse und Garage",268.000 €,"74523 Schwäbisch Hall, Schwäbisch Hall (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"75,79 m²",3.536 €/m²,Erdgeschosswohnung,nil,nach Vereinbarung,2,1,1 Garage,"3,57% (inkl. MwSt.)","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-vermietet-label': ''}"
Haus-im-Haus mit 140m² in Pleidelsheim,466.000 €,"74385 Pleidelsheim, Ludwigsburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,140 m²,3.329 €/m²,Maisonette,nil,22.5.2024,3,2,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
