title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
*** NEU - Hochwertige 4-Zimmer-Neubauwohnung als Aufstockung eines Bestandsgebäudes ***,790.200 €,"Osdorf, 22549 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"105,8 m²",7.469 €/m²,nil,"8,89 m²",nil,3,2,1 Tiefgaragen-Stellplatz,"3,57 % inkl. Mwst","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': ''}"
"*** NEU - Helle 5-Zi-Neubauwohnung mit sonnigem Garten, Fahrstuhl und TG in ruhiger Lage ***",1.729.300 €,"Osdorf, 22549 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"193,45 m²",8.939 €/m²,Erdgeschosswohnung,"16,21 m²",nil,4,2,1 Tiefgaragen-Stellplatz,"3,57 % inkl. Mwst","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
*** NEU - Hochwertige 3-Zimmer-Neubauwohnung als Aufstockung eines Bestandsgebäudes ***,492.300 €,"Osdorf, 22549 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"66,11 m²",7.447 €/m²,nil,"7,01 m²",nil,2,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. Mwst",{'is24qa-balkon-terrasse-label': ''}
WOHNWERTE HAMBURG - Erstbezug - Lichtdurchflutete 2-Zimmer Wohnung!,395.000 €,"Winterhuder Weg 73,
Uhlenhorst, 22085 Hamburg",2,"52,23 m²",7.563 €/m²,Hochparterre,nil,nil,1,1,nil,"3,57 % inkl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Exklusiv ausgestattete 3-Zimmer-Terrassenwohnung mit Tiefgarage,699.000 €,"Hummelsbüttel, 22339 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,106 m²,6.594 €/m²,Terrassenwohnung,nil,nach Vereinbarung,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Sanierte 3-Zimmer Altbauwohnung im Grindelviertel / Rotherbaum,575.000 €,"Rotherbaum, 20146 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,71 m²,8.099 €/m²,Erdgeschosswohnung,nil,nach Absprache,nil,2,nil,Nein,"{'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Reif für die Insel? Begehrte Eigentumswohnung mit Alsterzugang in Hamburg - Alsterdorf,949.000 €,"Alsterdorf, 22297 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,87 m²,10.908 €/m²,Etagenwohnung,nil,nil,2,2,1 Tiefgaragen-Stellplatz,"Käuferprovision 3,125 % (inkl. MwSt) des beurkundeten Kaufpreises.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Kapitalanlage oder Eigennutzung: Tolle 3-Zimmer Altbauwohnung in exquisiter Adresslage,790.000 €,"Hoheluft-Ost, 20251 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,86 m²,9.186 €/m²,Etagenwohnung,nil,nach Absprache,2,1,nil,"6,25% inkl. MwSt, zahlbar zu je 50% von Käufer und Verkäufer","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
*** NEU - Hochwertige 2-Zimmer-Neubauwohnung als Aufstockung eines Bestandsgebäudes ***,348.300 €,"Osdorf, 22549 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"48,92 m²",7.120 €/m²,nil,"5,88 m²",nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. Mwst",{'is24qa-balkon-terrasse-label': ''}
3-Zimmer-Wohnung mit Balkon und idyllischem Ambiente in solider Anlage,265.000 €,"Schnelsen, 22457 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"73,5 m²",3.605 €/m²,Etagenwohnung,nil,nil,1,1,1 Außenstellplatz,"3,57","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
