title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Stilvolle Wohnung,459.000 €,"61350 Bad Homburg vor der Höhe, Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120 m²,3.825 €/m²,Etagenwohnung,nil,sofort,2,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
*** luxuriöse 4 Zimmer* Maisonettewohnung mit Balkon**,450.000 €,"65527 Niedernhausen, Rheingau-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,118 m²,3.814 €/m²,Maisonette,6 m²,ab sofort,3,2,nil,"3,57 % inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
"Hofheim-Wallau: Vermietete, helle 4-Zimmer-Wohnung in freundlicher Nachbarschaft",279.000 €,"65719 Hofheim am Taunus, Main-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,108 m²,2.583 €/m²,Etagenwohnung,10 m²,vermietet,3,nil,Tiefgaragen-Stellplatz,"3,57% inkl MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
"Zentral gelegene Wohnung, mit Fernblick",120.000 €,"64720 Michelstadt, Odenwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"60,62 m²",1.980 €/m²,Etagenwohnung,6 m²,nil,1,1,nil,"3,57 % - inkl. MwSt. - Verdient und nach Beurkundung fällig","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Willkommen zuhause: Erdgeschosswohnung mit Terrasse und Gartenmitbenutzung in idealer Lage!,250.000 €,"65451 Kelsterbach, Groß-Gerau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60 m²,4.167 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,2 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
NÄHE EUROPAVIERTEL: Praktische Wohnung mit Terrasse in zentraler Lage,325.000 €,"Gallus, 60329 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"54,52 m²",5.961 €/m²,Erdgeschosswohnung,nil,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Modernisierte und sehr gut geschnittene 2,5 Zimmer Wohnung in Wiesbaden Südost",280.000 €,"Südost, 65189 Wiesbaden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",71 m²,3.944 €/m²,nil,10 m²,15.03.2024,1,1,nil,"3,57 % vom Kaufpreis inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
NORDEND-WEST! *Paul & Partner* IHRE EIGENTUMSWOHNUNG IN FRANKFURT !,415.000 €,"Lenaustraße 00,
Nordend-West, 60318 Frankfurt am Main",2,54 m²,7.685 €/m²,nil,10 m²,nil,1,1,nil,"3,57 % inkl. MwSt. vom notariellen Kaufpreis",{'is24qa-keller-label': ''}
Mit Kamin/Balkon/Garage - gemütliche 3-Zimmerwohnung in Obertshausen!,239.000 €,"63179 Obertshausen, Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,78 m²,3.064 €/m²,Dachgeschoss,nil,frei mit Eigentumsübergang,2,1,2 Außenstellplätze,"3,57 % inkl. der gesetzlichen Mehrwertsteuer","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Schöne DG-Wohnung, Frankfurt - Niederrad",295.000 €,"Niederrad, 60528 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73 m²,4.041 €/m²,Dachgeschoss,5 m²,nil,2,1,1 Duplex-Stellplatz,"2,975% inkl. 19% MWSt fällig mit Beurkundung notarieller Kaufvertrag","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
3 ZiWhg. mit großer Außenterrasse am Günthersburgpark in teilsaniertem Stilaltbau,599.000 €,"Gabelsbergerstraße 25,
Nordend-Ost, 60389 Frankfurt am Main",3,82 m²,7.305 €/m²,Etagenwohnung,9 m²,n. Vereinbarung,1,1,nil,"3,57 Prozent inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Schöne Eigentumswohnung in ruhiger Top-Lage zu verkaufen.,319.000 €,"34508 Willingen (Upland), Waldeck-Frankenberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,92 m²,3.467 €/m²,Etagenwohnung,92 m²,Sofort,1,1,1 Garage,"3,57% inkl. Mehrwertsteuer","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
"KAPITALANLEGER: HOCHWERTIG SANIERTE 3-ZIMMER-WOHNUNG MIT 2 BÄDERN, 2 BALKONEN & MODERNER EINBAUKÜCHE",695.000 €,"Adalbertstraße 64,
Bockenheim, 60486 Frankfurt am Main",3,"104,47 m²",6.653 €/m²,Etagenwohnung,5 m²,nil,2,2,1 Tiefgaragen-Stellplatz,"3,57% inkl. 19% MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
"Offener loftartiger Wohn/Essbereich mit tollen Ausblick, provisionsfrei f. Käufer",424.000 €,"Breckenheim, 65207 Wiesbaden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125 m²,3.392 €/m²,Etagenwohnung,12 m²,nil,nil,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
GROßES WOHNVERGNÜGEN 🤩 Maisonettewohnung mit sonniger Dachterrasse in Langgöns,190.000 €,"35428 Langgöns, Gießen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120 m²,1.583 €/m²,Maisonette,nil,nil,2,1,2 Stellplätze,"3,57% inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
*** luxuriöse 4 Zimmer* Maisonettewohnung mit Balkon**,458.000 €,"65527 Niedernhausen, Rheingau-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,138 m²,3.319 €/m²,Maisonette,6 m²,ab sofort,3,2,Außenstellplatz,"3,57 % inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
Helle 3-Zimmer Penthouse-Wohnung mit Dachterrasse - PROVISIONSFREI,544.300 €,"65428 Rüsselsheim am Main, Groß-Gerau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"114,59 m²",4.750 €/m²,Penthouse,"3,5 m²",sofort,2,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Unverbauter Fernblick - saniert mit Balkon und Garage,379.000 €,"61191 Rosbach vor der Höhe, Wetteraukreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85 m²,4.459 €/m²,Etagenwohnung,nil,sofort,2,1,1 Stellplatz,"3,0% der Kaufsumme zzgl. 19% MwSt. zahlbar am Tag der Beurkundung.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
Loftige Kapitalanlage mit Charakter,375.000 €,"64823 Groß-Umstadt, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,125 m²,3.000 €/m²,Loft,nil,nil,nil,nil,nil,"Die Käuferprovision beträgt 5,95 % des Kaufpreises inkl. 19% MwSt.",{'is24qa-online-besichtigung-moeglich-label': ''}
