title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"HORN IMMOBILIEN++ Neubrandenburg, 4-Raum Eigentumswohnung mit Carport, Einbauküche und Balkon -nic",249.000 €,"Lindenbergviertel, 17033 Neubrandenburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,99 m²,2.515 €/m²,Etagenwohnung,nil,ab sofort,3,1,Carport,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Traumwohnung am Meer: Erste Reihe in Binz!,620.000 €,"18609 Binz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,78 m²,7.949 €/m²,nil,nil,sofort,2,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. gesetzlicher MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Moderne 3-Zimmer-Wohnung WE 7 mit offenem Wohn-/ Kochbereich und Balkon am Schweriner See,320.000 €,"Uferweg 10,
23996 Bad Kleinen, Nordwestmecklenburg (Kreis)",3,"77,32 m²",4.139 €/m²,Etagenwohnung,"84,7 m²",Mitte 2024,2,1,1 Parkhaus-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hochwertiger Ausstattung und Süd-Loggia am Schweriner See,455.000 €,"Uferweg 10,
23996 Bad Kleinen, Nordwestmecklenburg (Kreis)",3,"100,71 m²",4.518 €/m²,Etagenwohnung,nil,Mitte 2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ferienwohnung - Elegante Suite mit tollem Meerblick,375.000 €,"18609 Binz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,61 m²,6.148 €/m²,Etagenwohnung,61 m²,nil,1,1,1 Parkhaus-Stellplatz,"3, 57 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Innovative Eigentumswohnungen in Bad Doberan,679.000 €,"18209 Bad Doberan, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"178,27 m²",3.809 €/m²,Sonstige,nil,nil,3,2,2 Außenstellplätze,Nein,"{'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Ihre Erwartungen an eine Immobilie ....., hier finden: 2-Zimmer-Eigentumswohnung, 70m bis zum Strand",254.000 €,"23946 Boltenhagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"46,31 m²",5.485 €/m²,Terrassenwohnung,5 m²,frei,1,1,1 Tiefgaragen-Stellplatz,"2,98% inklusive gesetzliche Mehrwertsteuer","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Appartement mit Meerblick und Möglichkeit zum VIP-Zugang zum Sky-Schwimmbad,890.000 €,"Am Hochufer 6,
18586 Sellin, Vorpommern-Rügen (Kreis)",3,"110,5 m²",8.054 €/m²,Etagenwohnung,nil,nil,2,2,1 Tiefgaragen-Stellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Galerie - Maisonette an der Künstlermeile mit Doppelmeerblick und 2 Dachterrassen,439.000 €,"18609 Binz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"63,47 m²",6.917 €/m²,Etagenwohnung,69 m²,sofort,1,1,nil,"3,93 % inkl. der gesetzlich geltenden MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Barrierefreies Penthaus-Paradies unweit der Ostseebäder,439.000 €,"18233 Neubukow, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,134 m²,3.276 €/m²,Penthouse,nil,nach Vereinbarung,2,1,1 Stellplatz,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': ''}"
Moderne 2 - Zimmer - Dachterrassenwohnung in ruhiger Lage,195.000 €,"18546 Sassnitz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"64,5 m²",3.023 €/m²,Dachgeschoss,nil,nach Vereinbarung,1,1,1 Tiefgaragen-Stellplatz,"Die Käuferprovision beträgt 3,57 % inkl. der gesetzlich geltenden MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Luxuriös ausgestattetes Penthouse in Karlshagen!,1.399.000 €,"17449 Karlshagen, Vorpommern-Greifswald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"260,09 m²",5.379 €/m²,Penthouse,nil,nach Absprache,3,1,2 Außenstellplätze,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
Strandnahe Ferienwohnung in ruhiger Lage und Blick ins Grüne - nur 5 min Fußweg zum Strand,335.000 €,"18374 Zingst, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,66 m²,5.076 €/m²,nil,nil,nil,nil,1,1 Stellplatz,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Erdgeschosswohnung mit TOP-Ferienvermietung - der Strand zum Greifen nah - Erholung pur,249.000 €,"18374 Zingst, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,32 m²,7.781 €/m²,nil,nil,nil,1,1,1 Stellplatz,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Ein Reihenendhaus (WEG) im Grünen mit traumhaftem Boddenblick als eigener Rückzugsort auf dem Dar...,495.000 €,"18375 Born am Darß, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75 m²,6.600 €/m²,nil,nil,nil,nil,2,2 Stellplätze,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Stilvoll zu Hause: Exquisite Wohnungen in Küstennähe,525.000 €,"18209 Bad Doberan, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"159,57 m²",3.290 €/m²,Sonstige,nil,nil,3,2,2 Außenstellplätze,Nein,"{'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
