title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Traumhafte Alternative zum Eigenheim | Komfortables Wohnen auf einer Ebene mit großer Dachterrasse,Auf Anfrage,"28857 Syke, Diepholz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,192 m²,nil,Etagenwohnung,124 m²,8.3.2024,4,1,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
*Nie mehr Miete zahlen* Dachgeschoss-Eigentumswohnung mit Loggia im Zweifamilienhaus in Spelle,165.000 €,"48480 Spelle, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"70,47 m²",2.341 €/m²,Etagenwohnung,nil,kurzfristig,2,1,1 Garage,"3,57 % inkl. gesetzl. MwSt. vom Käufer",{'is24qa-keller-label': ''}
Reserviert!!!Charmante 1-Zimmer-Wohnung in ruhiger Lage von Buchholz,125.000 €,"21244 Buchholz in der Nordheide, Harburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,41 m²,3.049 €/m²,nil,nil,01.05.2024,nil,1,1 Stellplatz,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Altersgerechtes Wohnen oder als Kapitalanlage,175.000 €,"38518 Gifhorn, Gifhorn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,57 m²,3.070 €/m²,Etagenwohnung,nil,nach Vereinbarung,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
KfW40 3-Zimmer Obergeschoss- Neubauwohnung zentrumsnah in Bad Zwischenahn!,423.000 €,"26160 Bad Zwischenahn, Ammerland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,94 m²,4.500 €/m²,Sonstige,nil,Nach Vereinbarung,2,nil,nil,"3,57",{'is24qa-balkon-terrasse-label': ''}
Außergewöhnliche Dachgeschoss-/Penthousewohnung mit 4 Terrassen in beliebter Lage,497.000 €,"Calenberger Neustadt, 30169 Hannover
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"173,36 m²",2.867 €/m²,Penthouse,nil,sofort,nil,nil,nil,"3,57 % inkl. der gesetzlichen Mehrwertsteuer.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Schöne 2-ZKB-Wohnung in Donnerschwee!,159.000 €,"Donnerschwee, 26123 Oldenburg (Oldenburg)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,51 m²,3.118 €/m²,Sonstige,nil,nil,nil,nil,1 Außenstellplatz,"3,57","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Mut zum Tapetenwechsel,135.000 €,"30926 Seelze, Hannover (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,54 m²,2.500 €/m²,Etagenwohnung,nil,Herbst 2024,2,1,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-einbaukueche-label': ''}
4 ZI.-WOHNUNG IN STADTRANDLAGE,140.000 €,"38304 Wolfenbüttel, Wolfenbüttel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,91 m²,1.538 €/m²,nil,nil,nil,nil,1,nil,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Zauberhafte 3-Dachgeschoss-Wohnung in der Nähe zum Elbe-Klinikum - mit FAHRSTUHL!!!,265.000 €,"21682 Stade, Stade (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,98 m²,2.704 €/m²,Dachgeschoss,25 m²,sofort,2,1,1 Außenstellplatz,"3,00 % incl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
