title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Große Etagenwohnung mit Tiefgaragenstellplatz in beliebter Wohnlage,274.000 €,"41564 Kaarst, Neuss (Rhein-Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,110 m²,2.491 €/m²,Etagenwohnung,5 m²,Sofort,1,1,1 Tiefgaragen-Stellplatz,"1,79 inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
DG Wohnung direkt am See ***,225.000 €,"Am Latumer See 26,
40668 Meerbusch, Neuss (Rhein-Kreis)",3,60 m²,3.750 €/m²,Dachgeschoss,nil,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 %",{'is24qa-vermietet-label': ''}
"SANKT AUGUSTIN tolle 3 Zi. ETW im 3 Parteienhaus mit ca. 73 m² Wfl. Balkon, großer Keller, Garten",189.000 €,"53757 Sankt Augustin, Rhein-Sieg-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73 m²,2.589 €/m²,nil,35 m²,nil,2,1,Garage,"3,57 % vom Kaufpreis inkl. der ges. MwSt. unbeschadet einer Courtagezahlung der Verkäuferseite.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Wohnung für drei Studenten in zentraler Lage mit Dom-Blick,250.000 €,"Neuehrenfeld, 50823 Köln
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,67 m²,3.731 €/m²,Etagenwohnung,nil,nil,3,1,nil,"3,57","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
Bonn-Vilich-Müldorf: Wunderschöne Erdgeschosswohnung mit großer Terrasse für K,319.000 €,"Vilich-Müldorf, 53229 Bonn
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81 m²,3.938 €/m²,Erdgeschosswohnung,nil,nach Absprache,nil,nil,1 Tiefgaragen-Stellplatz,"3,57% inklusive gesetzlicher MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': ''}"
Großzügig wohnen mit herrlichem Blick auf den Teutoburger Wald,105.000 €,"32791 Lage, Lippe (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,107 m²,981 €/m²,Etagenwohnung,nil,ab sofort,nil,1,nil,"Die Käuferprovision beträgt 3,57 % des Kaufpreises inkl. 19% MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Schicke 3-Zimmer-ETW * Erdgeschoss * ruhige Wohnlage * TG-Stellplatz * ca. 96 m² Wfl. * 2 Balkone **,215.000 €,"Schrievers, 41239 Mönchengladbach
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"96,31 m²",2.232 €/m²,Etagenwohnung,nil,01.07.2024,2,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Ideal für Kapitalanleger oder Eigennutzer Sonnige ETW in ruhiger Wohnlage von MS-Wolbeck - Erbpacht!,229.000 €,"Wolbeck, 48167 Münster
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90 m²,2.544 €/m²,Etagenwohnung,nil,nil,nil,1,1 Außenstellplatz,3 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Entzückende Eigentumswohnung in Bad Salzuflen: Kurpark- und Altstadtnähe, zwei Balkone und Garage",193.000 €,"32105 Bad Salzuflen, Lippe (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"75,5 m²",2.556 €/m²,Hochparterre,nil,nach Absprache,1,1,3 Garagen,"3,57 inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Erstbezug nach TOP-Sanierung mit Blick ins Grüne zentral in Münster-Hiltrup,450.000 €,"Hiltrup-Mitte, 48165 Münster
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,84 m²,5.357 €/m²,nil,nil,sofort,2,1,1 Garage,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
