title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Private Reitanlage mit großzügigem Wohnhaus nahe der Luxemburger Grenze,1.350.000 €,"54668 Niederweis, Bitburg-Prüm (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,256 m²,5.273 €/m²,nil,nil,Nach Absprache.,4,3,nil,"2,00 % (inkl. 19 % USt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
Sie hier? Wir auch! Vermietete 3-Zimmer Wohnung mit Gartenanteil in Frankenthal,139.000 €,"Kernstadt, 67227 Frankenthal (Pfalz)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"76,02 m²",1.828 €/m²,Hochparterre,nil,nil,2,1,nil,"2,98 % inkl. Mwst. für den Käufer auf den notariellen Kaufpreis","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
*** SOFORT FREI - ca. 95 m² Wohnfläche im 3 Familienhaus ***,159.000 €,"Georg-Löwel-Straße 3,
Pfiffligheim, 67549 Worms",2,95 m²,1.674 €/m²,nil,nil,nil,nil,nil,nil,"1,7 % inkl. MwSt. Käufercourtage desgleichen 1,7 % inkl. MwSt. Verkäufercourtage",{'is24qa-balkon-terrasse-label': ''}
Topgepflegte Eigentumswohnung in Speyer mit Sicht auf den Dom,399.000 €,"Kernstadt, 67346 Speyer
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100 m²,3.990 €/m²,Etagenwohnung,nil,n.V.,2,1,1 Stellplatz,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Luxuriöse Wohnung über zwei Etagen,850.000 €,"76744 Wörth am Rhein, Germersheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",188 m²,4.521 €/m²,Maisonette,nil,nil,2,2,2 Tiefgaragen-Stellplätze,"2,94% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Optimal für jung bis alt - Hoch hinaus und zu Haus',239.000 €,"67141 Neuhofen, Rhein-Pfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,115 m²,2.078 €/m²,Etagenwohnung,nil,nil,nil,2,1 Außenstellplatz,"3,57% inkl. MwSt.",{'is24qa-personenaufzug-label': ''}
+++ Schöne geräumige 4 Zimmer Wohnung mit 2 Balkons +++,274.000 €,"55543 Bad Kreuznach, Bad Kreuznach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,97 m²,2.825 €/m²,Etagenwohnung,nil,nil,3,1,nil,"3,57 % Käuferprovision inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Selbstnutzung oder Kapitalanlage - 3 Zimmer Eigentumswohnung in zentraler Lage!,189.000 €,"56410 Montabaur, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"83,92 m²",2.252 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Außenstellplatz,"3,57 % inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Ideale Kapitalanlage: Schönes Zweibett-Zimmer in einem 4-Sterne-Hotel,30.000 €,"67117 Limburgerhof, Rhein-Pfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,16 m²,1.875 €/m²,Erdgeschosswohnung,nil,nil,1,1,nil,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
Selbstnutzung oder Kapitalanlage - 2 Zimmer Eigentumswohnung mit Balkon in top Lage von Montabaur!,184.000 €,"56410 Montabaur, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"79,38 m²",2.318 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,1 Garage,"3,57 % inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
"Geschmackvolle 3-Zimmer-Eigentumswohnung mit Personenaufzug, 2 Balkonen und Tiefgarage in Andernach",270.000 €,"56626 Andernach, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85 m²,3.176 €/m²,Etagenwohnung,nil,nil,nil,1,1 Stellplatz,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ihr Logenplatz mit einmalig schönem Moselpanorama,99.000 €,"54470 Bernkastel-Kues, Bernkastel-Wittlich (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,"43,5 m²",2.276 €/m²,Dachgeschoss,nil,nach Vereinbarung,nil,nil,1 Außenstellplatz,"3,57 % inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
*** 2 Zimmer Wohnung mit Terrasse und tollem Fernblick ***,209.000 €,"Hambach, 67434 Neustadt an der Weinstraße
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,55 m²,3.800 €/m²,Etagenwohnung,nil,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % Käuferprovision inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"GELEGENHEIT IN MUTTERSTADT! moderne 2 ZKB mit sonnigem Balkon, Stellplatz, EBKü. u.v.m",145.000 €,"67112 Mutterstadt, Rhein-Pfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,65 m²,2.231 €/m²,nil,8 m²,sofort oder nach Absprache,1,1,1 Außenstellplatz,"3,57 % inkl. 19 Mwst.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Helle und moderne 2 ZKB Dachgeschosswohnung zu verkaufen,180.000 €,"Zilleweg 10,
Kaiserslautern-West, 67659 Kaiserslautern",2,"61,21 m²",2.941 €/m²,Dachgeschoss,nil,ab 01.05.2024,1,1,1 Außenstellplatz,"3,57% inkl. 19% MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"1% Darlehensübernahme möglich, ohne Provision: Altbau Traum in der Südstadt",399.900 €,"Schenkendorfstr. 18,
Süd, 56068 Koblenz",4,140 m²,2.856 €/m²,Maisonette,4 m²,nach Absprache,2,1,nil,Nein,"{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"+++Stadtzentrum: Schicke, bezugsfertige Eigentumswohnung mit großer Südwestterrasse, Panoramablic...",98.000 €,"Pirmasens, 66953 Pirmasens
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58 m²,1.690 €/m²,Etagenwohnung,nil,nil,1,1,nil,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
