title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eigentumswohnung in Weißenfels-West,50.000 €,"Max-Lingner-Str. 9,
06667 Weißenfels, Burgenlandkreis",3,"60,53 m²",826 €/m²,Etagenwohnung,nil,nach Vereinbarung,2,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vermietete 3-Raum-Wohnung für Kapitalanleger in Toplage von Halle,164.990 €,"Nördliche Innenstadt, 06108 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,80 m²,2.062 €/m²,Dachgeschoss,nil,nil,nil,1,nil,"4,76 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Sehr schöne vermietete Dachgeschoss-Wohnung mit Südbalkon und Stellplatz!,65.000 €,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"58,67 m²",1.108 €/m²,Dachgeschoss,nil,nil,1,1,1 Außenstellplatz,"4,76% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Außergewöhnliche Eigentumswohnung in Magdeburg Buckau zu verkaufen!,299.000 €,"Buckau, 39104 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,110 m²,2.718 €/m²,Erdgeschosswohnung,nil,Nach Vereinbarung!,1,1,nil,"3,57% inkl. MwSt. zu zahlen vom Käufer!","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Eigentumswohnung als Kapitalanlage oder zur Eigennutzung in Kayna zu verkaufen,75.000 €,"06712 Kayna, Burgenlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,58 m²,1.293 €/m²,Etagenwohnung,30 m²,sofort,1,1,2 Garagen,"3,57 % inkl. ges. MwSt.","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
Geräumige 3 Wohnung in guter Lage - Bahnhofsnähe,91.000 €,"39576 Stendal, Stendal (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,60 m²,1.517 €/m²,Dachgeschoss,nil,sofort,2,1,nil,"4170,00 € inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Ihre Suche hat ein Ende!,39.000 €,"Schillerplatz 4,
06198 Salzmünde, Saalekreis",1,"24,91 m²",1.566 €/m²,Etagenwohnung,nil,sofort,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
**Großzügige Maisonetten Wohnung in toller Lage**,123.500 €,"Buckau, 39104 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"57,29 m²",2.156 €/m²,nil,nil,nil,1,2,nil,"3,50","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
Sonnige Eigentumswohnung in Gräfenhainichen !!,88.000 €,"06773 Gräfenhainichen, Wittenberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"62,74 m²",1.403 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,1 Außenstellplatz,"Käuferprovision 3,75 % incl. gesetzlicher Mwest.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Wohnung mit Balkon in Halle (Saale) Südliche Innenstadt,179.000 €,"Südliche Innenstadt, 06110 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"66,74 m²",2.682 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
