title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Charmante Dachgeschosswohnung in Historischer Villa direkt am Lübecker Stadtpark,289.000 €,"Sankt Gertrud, 23568 Lübeck
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,104 m²,2.779 €/m²,Dachgeschoss,nil,nil,4,nil,nil,Nein,"{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Entspanntes Wohnen in exklusiver Atmosphäre - Das Plaza Premium wartet auf Sie,449.000 €,"23669 Timmendorfer Strand, Ostholstein (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",73 m²,6.151 €/m²,Etagenwohnung,nil,nach Vereinbarung,1,1,nil,"3,33% Käuferprovision","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Traumhafter Blick auf die Schlei! 2-Zi Wohnung / neue Küche/ Loggia/ Garage,133.000 €,"24837 Schleswig, Schleswig-Flensburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58 m²,2.293 €/m²,Etagenwohnung,2 m²,nil,nil,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
Ankommen & Losleben in den KLEIkojen: Premiumwohnungen und Gewerbefläche am Husumer Binnenhafen,749.000 €,"25813 Husum, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,83 m²,9.024 €/m²,Dachgeschoss,nil,nil,nil,nil,1 Außenstellplatz,"2,975 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Stockelsdorf - Grosszügige und top-gepflegte Wohnung in einem 2-Fam.-Haus...,260.000 €,"23617 Stockelsdorf, Ostholstein (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130 m²,2.000 €/m²,nil,10 m²,nach Vereinbarung,nil,nil,2 Garagen,"3,273 % inkl. MwSt",{'is24qa-balkon-terrasse-label': ''}
"moderne & helle 2,5-Zimmer Eigentumswohnung * Balkon & Loggia * in zentraler Lage von Bargteheide",345.000 €,"22941 Bargteheide, Stormarn (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",83 m²,4.157 €/m²,Etagenwohnung,17 m²,in Absprache,2,1,1 Außenstellplatz,"3,57% inkl. MwSt. vom Käufer zu zahlen (=50%)","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Ankommen & Losleben in den KLEIkojen: Premiumwohnungen und Gewerbefläche am Husumer Binnenhafen,685.000 €,"25813 Husum, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,78 m²,8.782 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,1 Außenstellplatz,"2,975 % inkl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Großzügige barrierefreie Terrassenwohnungen,289.064 €,"Dorfstraße 00,
24254 Rumohr, Rendsburg-Eckernförde (Kreis)",2,69 m²,4.189 €/m²,nil,10 m²,nil,1,1,1 Stellplatz,10.000 €,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Ankommen & Losleben in den KLEIkojen: Premiumwohnungen und Gewerbefläche am Husumer Binnenhafen,645.000 €,"25813 Husum, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,78 m²,8.269 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Außenstellplatz,"2,975 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Kapitalanleger aufgepasst: top vermietete 3 Zimmer Wohnung in zentraler Lage,165.500 €,"24589 Nortorf, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72 m²,2.299 €/m²,Etagenwohnung,5 m²,nil,2,1,nil,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Schöne 3 Zimmer Wohnung - PROVISIONSFREI,495.000 €,"25980 Sylt (Gemeinde), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,61 m²,8.115 €/m²,Etagenwohnung,nil,nil,2,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zimmer-Wohnung mit Loggia am Großen Plöner See,89.000 €,"24306 Plön, Plön (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"57,31 m²",1.553 €/m²,Etagenwohnung,nil,frei lieferbar,nil,nil,nil,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
