title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Sofort beziehbar! Charmante Stadtwohnung in begehrter Altstadtlage,249.000 €,"Altstadt, 99084 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81 m²,3.074 €/m²,Dachgeschoss,nil,sofort,nil,nil,nil,"3,57 %","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Eigentum im Herzen von Erfurt mit Wintergarten,86.800 €,"Krämpfervorstadt, 99085 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,"35,25 m²",2.462 €/m²,Etagenwohnung,nil,nach Vereinbarung,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zi.-Wohnung mit Wintergarten im Herzen von Erfurt!,103.000 €,"Krämpfervorstadt, 99085 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"41,84 m²",2.462 €/m²,Etagenwohnung,nil,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
vermietete Wohnung 1. OG mit Balkon in gepflegtem 8-Familienhaus Krämpfervorstadt,180.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",3,"64,43 m²",2.794 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete Wohnung 1. OG mit Balkon in gepflegtem 8-Familienhaus Krämpfervorstadt,180.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",3,"65,13 m²",2.764 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete Erdgeschosswohnung mit Terrasse in gepflegtem 8-Familienhaus Krämpfervorstadt,180.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",3,"64,36 m²",2.797 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete Wohnung 2. OG mit Balkon in gepflegtem 8-Familienhaus Krämpfervorstadt,180.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",3,"64,59 m²",2.787 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete Erdgeschosswohnung mit Balkon in gepflegtem 8-Familienhaus Krämpfervorstadt,170.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",3,"61,2 m²",2.778 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete DG-Wohnung mit Galerie in gepflegtem 8-Familienhaus Krämpfervorstadt,180.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",2,"65,67 m²",2.741 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"vermietete Wohnung Dachgeschoss, gepflegte Wohnanlage in Elxleben",205.000 €,"Thomas-Müntzer-Straße 50,
99189 Elxleben, Sömmerda (Kreis)",3,"86,62 m²",2.367 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"1,19 % inkl. Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Dachgeschosswohnung inklusive Baugenehmigung zum Selbstausbau,135.000 €,"Krämpfervorstadt, 99085 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"131,23 m²",1.029 €/m²,Dachgeschoss,nil,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
vermietete DG-Wohnung mit Galerie in gepflegtem 8-Familienhaus Krämpfervorstadt,170.000 €,"Grolmannstraße 17,
Krämpfervorstadt, 99085 Erfurt",2,"60,57 m²",2.807 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"1,19 % inkl. 19% Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"vermietete Wohnung 1. OG, gepflegte Wohnanlage in Elxleben",185.000 €,"Thomas-Müntzer-Straße 50,
99189 Elxleben, Sömmerda (Kreis)",3,"78,75 m²",2.349 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"1,19 % inkl. Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
