title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Stadtvilla in Massivbauweise inkl. Grundstück,334.543 €,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"131,59 m²",600 m²,2.542 €/m²,Einfamilienhaus (freistehend),nil,nil,4,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Modernes Wohnen im 1,5-Geschosser von Heinz von Heiden",290.929 €,"06406 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"132,03 m²",700 m²,2.204 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Stadtvilla in Massivbauweise inkl. Grundstück,299.305 €,"06406 Merseburg, Saalekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"131,59 m²",700 m²,2.275 €/m²,Einfamilienhaus (freistehend),nil,nil,4,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Revolution am Bau! Bungalow in 3 Monaten schlüsselfertig! - Besichtigung möglich!,169.900 €,"06886 Lutherstadt Wittenberg, Wittenberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"112,93 m²",0 m²,1.504 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Prettin - Altstadt Baudenkmal und Sanierungsobjekt,350.000 €,"06922 Prettin, Wittenberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,350 m²,1.300 m²,1.000 €/m²,Wohnimmobilie (sonstige),350 m²,nil,nil,nil,nil,6% zzgl.der gesetzl. MwSt.,{}
Mehrfamilienhaus mit Vorder- und Hinterhaus sowie Parkplätzen in Magdeburg-Stadtfeld Ost zu verkauf,1.950.000 €,"Immermannstraße 25,
Stadtfeld Ost, 39108 Magdeburg",36,1.140 m²,1.050 m²,1.711 €/m²,Mehrfamilienhaus,1.140 m²,nil,36,14,22 Außenstellplätze,"4,165 % von Kaufpreis","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
3 Reihenhäuser Kapitalanlage in Wallstawe nebst 4 Garagen,275.000 €,"29413 Wallstawe, Altmarkkreis Salzwedel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,312 m²,1.911 m²,881 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,Nein,"{'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Haus in Tangerhütte, nahe Rathaus",299.000 €,"39517 Tangerhütte, Stendal (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,308 m²,760 m²,971 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,3,2 Garagen,"3.796,1","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Bauernhaus mit Scheune und Garage auf abgeschlossenem Hofgrundstück!,147.000 €,"38822 Aspenstedt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,148 m²,391 m²,993 €/m²,Bauernhaus,nil,SOFORT!,4,2,2 Garagen,"3,57% inkl. MwSt.",{'is24qa-keller-label': ''}
Mehrfamilienhaus im Herzen von Hasselfelde!,155.000 €,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,150 m²,569 m²,1.033 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,2,2,4 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Wohnhaus mitten im Zentrum von Hasselfelde,150.000 €,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,141 m²,167 m²,1.064 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,3,3,2 Garagen,"7,14 % inkl. MwSt.",{}
3 Familienhaus sucht neuen Kapitalanleger!,125.000 €,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,194 m²,832 m²,644 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,6,4,2 Garagen,"7,14 % inkl. MwSt.",{}
"In ländlicher Lage, sucht dieses Einfamilienhaus einen neuen Eigentümer!",65.000 €,"06536 Breitenstein, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,192 m²,300 m²,339 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,3,2,1 Garage,"3,57 % inkl. MwSt",{'is24qa-einliegerwohnung-label': ''}
Kapitalanlage in Oschersleben sucht neuen Eigentümer!,289.000 €,"39387 Oschersleben (Bode), Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,145 m²,1.122 m²,1.993 €/m²,Mehrfamilienhaus,nil,nil,3,3,1 Garage,"5,95 % inkl. MwSt.",{}
Top-Lage! Gemütliches Haus ideal für die kleine Familie!,250.000 €,"Haideburg, 06849 Dessau-Roßlau
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,80 m²,794 m²,3.125 €/m²,Einfamilienhaus (freistehend),70 m²,nil,1,1,1 Garage,"7,437,50 €",{'is24qa-keller-label': ''}
"Ehemalige Fleischerei mit vermieteter Wohnung, sucht einen neuen Eigentümer!",145.000 €,"06311 Helbra, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,206 m²,500 m²,704 €/m²,nil,210 m²,nach Vereinbarung,4,2,2 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Mehrfamilienhaus im Herzen von Sandersleben!,115.000 €,"06456 Sandersleben (Anhalt), Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,155 m²,500 m²,742 €/m²,Mehrfamilienhaus,nil,nach Vereinbarung,3,2,2 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Rückzugsort für Sie und Ihre Lieben!,87.000 €,"Algenstedter Dorfstraße 54,
39638 Algenstedt, Altmarkkreis Salzwedel",4,90 m²,1.400 m²,967 €/m²,Einfamilienhaus (freistehend),90 m²,nach Absprache,3,2,1 Garage,"3,57 % inkl. MwSt.",{}
