title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Komfortables Einfamilienhaus mit separatem Bungalow in Waldnähe und mit altem Baumbestand in Albersd,479.000 €,"25767 Albersdorf, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,305 m²,1.800 m²,1.570 €/m²,Einfamilienhaus (freistehend),60 m²,nil,6,4,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-einliegerwohnung-label': ''}
Gepflegtes 5-Zi.-Zuhause mit schönem Grundstück nahe dem Selenter See,340.000 €,"24321 Giekau, Plön (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"120,63 m²","933,04 m²",2.819 €/m²,Doppelhaushälfte,nil,nach Absprache,2,1,3 Carports,"2,98 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}"
Ihr Zuhause in Worth vor den Toren Hamburgs - Einfamilienhaus aus ca. dem Baujahr 2005 mit Weitblick,475.000 €,"21502 Worth, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,116 m²,1.050 m²,4.095 €/m²,Einfamilienhaus (freistehend),10 m²,nil,nil,1,2 Stellplätze,"3,57 %",{'is24qa-gaeste-wc-label': ''}
"gepflegtes Reihenhaus auf Erbpacht, mit ausgebautem Dachgeschoss",299.000 €,"25469 Halstenbek, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,91 m²,168 m²,3.286 €/m²,Reihenmittelhaus,75 m²,ab sofort,3,2,nil,"3,00% des Kaufpreises inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Friesenperle - Repräsentatives Friesenhaus in idyllischer Lage,385.000 €,"25782 Westerborstel, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,143 m²,1.018 m²,2.692 €/m²,Einfamilienhaus (freistehend),25 m²,01.08.2024,4,2,Carport,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Landsitz mit 9 ha Grundstück - See, Wald, Grünland, Obstbaumplantage, Biotop uvm.",790.000 €,"25926 Ladelund, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125 m²,93.740 m²,6.320 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,Außenstellplatz,"3,57 % vom Verkaufspreis inkl. 19 % Umsatzsteuer",{}
Kernsanierte Bäderstilvilla mit Blick auf die Nordsee,2.820.900 €,"25996 Wenningstedt-Braderup (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"145,54 m²",851 m²,19.382 €/m²,Reiheneckhaus,nil,nil,3,3,1 Außenstellplatz,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kernsanierte Bäderstilvilla mit Blick auf die Nordsee,2.795.900 €,"25996 Wenningstedt-Braderup (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"132,39 m²",851 m²,21.119 €/m²,Reihenmittelhaus,nil,01.11.2023,3,3,1 Außenstellplatz,"3,57","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
charmantes Einfamilienhaus,435.000 €,"21493 Möhnsen, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"120,89 m²",637 m²,3.598 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,nil,3 % inkl. ges. MwSt.,{}
Ihr neuer Ankerplatz - Ferien am Ufer der Eider,155.000 €,"25779 Hennstedt, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,47 m²,279 m²,3.298 €/m²,Bungalow,16 m²,Sofort,1,1,1 Carport,"2,00",{'is24qa-als-ferienhaus-geeignet-label': ''}
