title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Helle 1-Zimmer-Wohnung im Grünen - sofort bezugsfrei!,179.000 €,"Frohnau, 13465 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,"43,39 m²",4.125 €/m²,Etagenwohnung,nil,sofort,1,1,nil,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Sonnige Altbauwohnung mit Balkon !,349.000 €,"Stellingdamm 6,
Köpenick, 12555 Berlin",2,"71,93 m²",4.852 €/m²,Etagenwohnung,nil,sofort,1,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"""Freie, unsanierte ca. 118 m² Altbau Gewerbeeinheit im Bötzowviertel""",649.000 €,"Dietrich-Bonhoeffer-Straße 28,
Prenzlauer Berg, 10407 Berlin",5,118 m²,5.500 €/m²,Erdgeschosswohnung,nil,sofort,nil,nil,nil,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}"
Familiengerechte 4-Raumwohnung mit Südbalkon !,650.050 €,"Stellingdamm 6,
Köpenick, 12555 Berlin",4,134 m²,4.851 €/m²,Etagenwohnung,nil,sofort,3,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Familiengeeignete 3-Raumwohnung mit Balkon !,524.250 €,"Stellingdamm 6,
Köpenick, 12555 Berlin",3,"108,09 m²",4.850 €/m²,Etagenwohnung,nil,sofort,2,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Exklusives Altbau Juwel mit bis zu 50% Denkmal-AfA!,2.460.000 €,"Methfesselstraße 23,
Kreuzberg, 10965 Berlin",6,"204,83 m²",12.010 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,"3,00 % exkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Avantgarde Wohnen: Design und Komfort im Neubau,1.450.000 €,"Methfesselstraße 25,
Kreuzberg, 10965 Berlin",2,"100,04 m²",14.494 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,"3,00 % exkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Mit tollem Wasserblick: 3 Zimmer im EG mit großer Sonnenterrasse und 2 Bädern – JETZT SICHERN,818.000 €,"Eiswerderstraße 10G,
Hakenfelde, 13585 Berlin",3,"129,3 m²",6.326 €/m²,Erdgeschosswohnung,nil,1.9.2024,nil,nil,Tiefgaragen-Stellplatz,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Bezugsfrei ab 01.07.24! 7-Zimmer-Maisonette-Wohnung mit 2 Balkonen nahe Viktoria-Luise-Platz!,2.079.750 €,"Regensburger Straße 16,
Wilmersdorf, 10777 Berlin",7,"277,3 m²",7.500 €/m²,Maisonette,nil,nil,5,3,nil,"3,57% inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Inselleben in der Stadt: 4-Zimmerwohnung *Neubau* Insel* große Loggia *2. OG* + Optimal für Familien,848.000 €,"Eiswerderstraße 10C,
Hakenfelde, 13585 Berlin",4,"119,22 m²",7.113 €/m²,Etagenwohnung,nil,1.9.2024,nil,nil,Tiefgaragen-Stellplatz,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
