title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
3-Zimmer Eigentumswohnung mit bis zu 3 m hohen Decken - ein Traum!,599.000 €,"Osdorf, 22609 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"84,91 m²",7.055 €/m²,nil,nil,nil,1,nil,nil,"3,00% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Jugendstil-Altbau Wohnung in Außenalsternähe als Kapitalanlage,1.700.000 €,"Uhlenhorst, 22087 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"203,4 m²",8.358 €/m²,nil,nil,nil,nil,nil,nil,"3,13 % vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Traumhafte Jugendstil-Altbau Wohnung als Kapitalanlage,1.700.000 €,"Uhlenhorst, 22087 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,199 m²,8.543 €/m²,nil,nil,nil,nil,nil,nil,"3,13 % vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
2-Zimmer Wohnung mit Charme!,539.000 €,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",2,"69,54 m²",7.751 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Traumhaftes Penthouse in Hamburg Alt-Osdorf,1.249.000 €,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",3,"142,62 m²",8.758 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Raumwunder: 3-Zimmer Eigentumswohnung mit beeindruckender Deckenhöhe,599.000 €,"Osdorf, 22609 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"85,91 m²",6.972 €/m²,nil,nil,nil,nil,nil,nil,"3,00% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
HEINRICH45 - 100% Hamburg,477.000 €,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",2,"67,9 m²",7.025 €/m²,Erdgeschosswohnung,nil,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Saniert + Vermietet - Kapitalanlage mit Perspektive! 3-Zimmer Eigentumswohnung,479.000 €,"Tönninger Weg 5,
Osdorf, 22609 Hamburg",3,"81,54 m²",5.874 €/m²,nil,nil,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Einzigartige Maisonette-Wohnung mit Alsterblick & Dachterrasse in grüner Oase,3.900.000 €,"Winterhude, 22301 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",220 m²,17.727 €/m²,Maisonette,37 m²,sofort,3,4,2 Tiefgaragen-Stellplätze,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Stadtnah & idyllisch! 2-Zimmer Traum mit umlaufendem großer Gartenfläche!,499.000 €,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",2,"64,87 m²",7.692 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
