title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
4 Zimmer Wohnung 1.OG mit Balkon,768.300 €,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",4,"119,27 m²",6.442 €/m²,Etagenwohnung,10 m²,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
VON POLL - BAD HOMBURG: Zwei-Zimmer-Wohnung in Ober-Eschbach,198.000 €,"61352 Bad Homburg vor der Höhe, Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,55 m²,3.600 €/m²,Etagenwohnung,5 m²,nil,1,1,1 Tiefgaragen-Stellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
4-Zimmerwohnung 1. OG mit Balkon,768.400 €,"Fraunhoferstraße 16,
61118 Bad Vilbel, Wetteraukreis",4,"119,05 m²",6.454 €/m²,Etagenwohnung,10 m²,nil,1,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne und energieeffiziente Wohnung,249.900 €,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",1,"38,24 m²",6.535 €/m²,Etagenwohnung,3 m²,Ende 2026,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
***Hochwertige 3 ZKB mit 2 Bädern und XXL-Balkon in beliebter Lage am Oberen Steinberg!***,480.000 €,"63225 Langen (Hessen), Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120 m²,4.000 €/m²,Etagenwohnung,nil,nil,2,2,2 Tiefgaragen-Stellplätze,"3,57 % Käuferprovision inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Großräumige 6 ZKB Dachgeschosswohnung in Obertshausen,549.000 €,"63179 Obertshausen, Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,200 m²,2.745 €/m²,Dachgeschoss,nil,nil,3,1,1 Außenstellplatz,"3,26%",{'is24qa-keller-label': ''}
"Exklusive, geräumige 4-Zimmer-Penthouse-Wohnung mit Balkon und Einbauküche in Weiterstadt",655.000 €,"64331 Weiterstadt, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,146 m²,4.486 €/m²,Penthouse,"4,75 m²",1.6.2024,3,2,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
4-Zimmer EG Wohnung mit Terrasse und Gartennutzung,728.500 €,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",4,"113,12 m²",6.440 €/m²,Terrassenwohnung,10 m²,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
5-Zimmer Staffelgeschoßwohnung mit großer Dachterrasse,1.097.300 €,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",5,"151,7 m²",7.233 €/m²,Penthouse,10 m²,nil,4,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Stilaltbau mit Garten im Holzhausenviertel, Erstbezug nach Kernsanierung",4.250.000 €,"Nordend-West, 60322 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"310,07 m²",13.707 €/m²,Terrassenwohnung,nil,nil,nil,2,nil,"2,975% inkl. 19% gesetzl. MwSt. Käuferprovision","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
