title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
moderne 3 Zi Wohnung mit Balkon in Arnum,179.500 €,"30966 Hemmingen, Hannover (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,76 m²,2.362 €/m²,Etagenwohnung,6 m²,nach Absprache,2,1,nil,"2,975 % incl. Mwst. vom Kaufpreis","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Frisch renovierte Wohnung mit Balkon in zentraler Innenstadtlage von Göttingen.,58.000 €,"Maschmühlenweg 6,
Nordstadt, 37073 Göttingen",1,34 m²,1.706 €/m²,nil,nil,nil,nil,1,nil,"2,38% vom Kaufpreis inkl. der gesetzlichen MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Gemütliche 1-Zi.-Wohnung im Erdgeschoss,53.000 €,"38640 Goslar, Goslar (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,31 m²,1.710 €/m²,Erdgeschosswohnung,5 m²,sofort,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Kernsanierte ETW im 2. OG im KfW 55 Standard,498.500 €,"Wüste, 49080 Osnabrück
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"110,39 m²",4.516 €/m²,Etagenwohnung,nil,nach Absprache,nil,nil,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Moderne 4-Zimmerwohnung mit Balkon und Carport in Wolfsburg-Ehmen! Mein Haus = mein Makler!,498.000 €,"Ehmen, 38442 Wolfsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,121 m²,4.116 €/m²,Etagenwohnung,20 m²,ab sofort,3,1,1 Carport,"Je 2,58 % inkl. USt.Die Provision ist mit der Beurkundung verdient & vom Käufer+Verkäufer zu zahlen.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Großzügige Eigentumswohnung direkt am Deich,455.000 €,"Klaus-Groth-Str. 6,
27472 Cuxhaven, Cuxhaven (Kreis)",7,153 m²,2.974 €/m²,Erdgeschosswohnung,nil,nil,nil,2,nil,"3,57 % inkl. MwSt",{'is24qa-online-besichtigung-moeglich-label': ''}
Großburgwedel: Exzellentes Wohnen mit viel Platz auf 3 Etagen in bester Lage & PKW-Garage !!,598.000 €,"30938 Burgwedel, Hannover (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,136 m²,4.397 €/m²,nil,20 m²,Sofort oder Nach Absprache!,3,2,1 Garage,"3,57 % inkl. 19 % MwSt.",{'is24qa-gaeste-wc-label': ''}
Schöne Wohnung in der List sucht liebevolle Familie,315.000 €,"List, 30161 Hannover
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85 m²,3.706 €/m²,Etagenwohnung,nil,Nach Rücksprache.,2,1,nil,"2,975 % v. Kaufpreis (inkl. ges. MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Schön geschnittene 3-Zimmer-Wohnung mit überdachter Loggia, Gartenanteil und 2 Garagen",229.000 €,"Hehlingen, 38446 Wolfsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,117 m²,1.957 €/m²,Etagenwohnung,0 m²,nil,2,1,2 Garagen,"3,57% vom Kaufpreis inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kernsanierte ETW im DG im KfW 55 Standard,485.000 €,"Wüste, 49080 Osnabrück
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"101,68 m²",4.770 €/m²,Etagenwohnung,nil,nach Absprache,nil,nil,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
