title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Berlin - Mahlsdorf: Gepflegtes Einfamilienhaus mit 3 Zimmern und Vollkeller,498000.0,"Mahlsdorf, 12623 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,102.0,535.0,4882.0,Einfamilienhaus (freistehend),,nil,nil,2,Carport,"3,57 % Käuferprovision inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"5.700,- pro QM- EXKLUSIVES WOHNEN mit Wasserblick auf 960 qm Sonnengrundstück mit Schwimmteich",1949000.0,"Zehlendorf, 14167 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,350.0,960.0,5569.0,Einfamilienhaus (freistehend),480.0,nil,nil,nil,nil,"3,57 % vom KP inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
ERSTKLASSIGES 5 ZI- EINFAMILIENHAUS mit teilweise Seeblick- nur 160 Meter zum Wasser,1150000.0,"Wannsee, 14109 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150.0,370.0,7667.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"3,57 % vom KP inkl. MwSt",{'is24qa-keller-label': ''}
Modernes Neubau-Einfamilienhaus im ruhigen Berliner Norden,699000.0,"Tiriotstraße 56E,
Französisch Buchholz, 13127 Berlin",4,115.0,356.0,6078.0,Einfamilienhaus (freistehend),,nil,3,1,nil,"2,38% inkl. ges. MwSt",{'is24qa-gaeste-wc-label': ''}
Aufgeteiltes Bestandsobjekt und Baugrundstück mit Baugenehmigung an ruhiger Seitenstraße für MFH,7900000.0,"Hindenburgdamm / Marschnerstr.30 49,
Lichterfelde, 12203 Berlin",28,2676.73,1415.0,2951.0,Mehrfamilienhaus,,nil,nil,nil,nil,"7,14",{'is24qa-online-besichtigung-moeglich-label': ''}
"Nahe der Havel: Einfamilienhaus mit 4 Schlafzimmern, Pool, großem Garten und 3 Badezimmern!",1399000.0,"Hakenfelde, 13587 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,208.0,672.0,6726.0,Einfamilienhaus (freistehend),672.0,nil,4,3,Carport,"2,975% vom Kaufpreis",{'is24qa-online-besichtigung-moeglich-label': ''}
Absolute Rarität! Bestlage in Schmargendorf am Messelpark! Grundstück mit Bungalow auf ca. 1.798 m²,4450000.0,"Schmargendorf, 14195 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,206.0,1798.0,21602.0,Bungalow,60.0,nil,nil,3,nil,"2,38 %",{}
Ca. 1.450qm WASSERGRUNDSTÜCK zur Neubebauung für 300 qm WFL,2000000.0,"Kladow, 14089 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,300.0,1440.0,6667.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"6,95% vom KP inkl. MwSt.",{}
5-Zimmer Einfamilienhaus mit Pool und einem großen Garten in Berlin Pankow,875000.0,"Niederschönhausen, 13156 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,163.0,778.0,5368.0,Einfamilienhaus (freistehend),,nil,4,1,2 Stellplätze,"3,57 % inkl. gesetzlicher MwSt.",{'is24qa-gaeste-wc-label': ''}
"EXKLUSIVE DESIGNER-NEUBAUVILLA - Interior für 350.000,- € nur 600 Meter zum See",2095000.0,"Grunewald, 14193 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,260.0,450.0,8058.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"3,57 % vom KP inkl. MwSt",{'is24qa-gaeste-wc-label': ''}
"3 gute Gründe - barrierefrei, gepflegt & zentral",620000.0,"Schmöckwitz, 12527 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130.0,836.0,4769.0,Einfamilienhaus (freistehend),,ab sofort,nil,2,Garage,"Die Käuferprovision beträgt 3,57 % des Kaufpreises inkl. 19% MwSt.",{}
