title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Perfektes Zuhause für die große Familie,1650000.0,"14532 Kleinmachnow, Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,209.0,920.0,7895.0,Einfamilienhaus (freistehend),129.0,nach Vereinbarung,4,3,3 Stellplätze,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Exklusives Einfamilienhaus mit gehobener Ausstattung in ruhiger Lage sucht neuen Eigentümer,849000.0,"16548 Glienicke/Nordbahn, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,170.0,501.0,4994.0,Einfamilienhaus (freistehend),,nach Vereinbarung,nil,2,1 Carport,"3,57 inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Platz für die ganze Familie - Einfamilienhaus in Panketal, fast noch Berlin",595000.0,"16341 Panketal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,165.0,1200.0,3606.0,Einfamilienhaus (freistehend),35.0,nil,4,2,1 Carport,"3,57%exkl. MwSt",{'is24qa-online-besichtigung-moeglich-label': ''}
Kleines Juwel am Fließ,190000.0,"03222 Lübbenau/Spreewald, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,48.0,450.0,3958.0,Wohnimmobilie (sonstige),,sofort,1,1,nil,"3,57 % inkl. ges. MwSt.",{}
Sanierungsbedürftiges Reihenmittelhaus mit Potential,80000.0,"16868 Wusterhausen/Dosse, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110.0,190.0,727.0,Reihenmittelhaus,,sofort,2,1,nil,"Die Provision beträgt 3,57% des Kaufpreises inkl. 19% MwSt. und ist von Käufer zu tragen.",{'is24qa-gaeste-wc-label': ''}
Schöner wohnen in Mexiko!,206000.0,"03149 Forst (Lausitz), Spree-Neiße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,1058.0,1717.0,Einfamilienhaus (freistehend),,01.09.2024,nil,1,7 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Solides Haus sucht Familie!,245300.0,"Branitz, 03042 Cottbus
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85.0,774.0,2886.0,Einfamilienhaus (freistehend),,August 2024,1,1,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Geräumiges Einfamilienhaus mit 6 Zimmern und Nebengelass in Heidesee zu verkaufen,399000.0,"15754 Heidesee, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,152.0,871.0,2625.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"3,57 inkl. MwSt",{'is24qa-keller-label': ''}
Großzügiges Einfamilienhaus in Zeuthen,692000.0,"15738 Zeuthen, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,209.0,1301.0,3311.0,Einfamilienhaus (freistehend),56.0,sofort,3,3,3 Garagen,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Familientraum: EFH mit hochwertiger Ausstattung und vielen Extras bei Berlin,585000.0,"16341 Panketal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,200.3,708.3,2921.0,Einfamilienhaus (freistehend),,01.01.2025,3,2,2 Carports,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Traumhaus im New England Style - Waldrandlage mit großem Grundstück!,1225000.0,"14612 Falkensee, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,184.09,1437.0,6654.0,Einfamilienhaus (freistehend),32.0,nil,5,2,1 Außenstellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{}
Verträumter Gutshof mit Nebengelass wartet auf Liebhaber,99000.0,"16866 Kyritz, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,610.0,4000.0,162.0,nil,150.0,nil,nil,nil,5 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-gaeste-wc-label': ''}
Charmantes Wohnensemble in historischem Umfeld mit vielseitigen Möglichkeiten für die ganze Familie,199000.0,"16868 Wusterhausen/Dosse, Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","8,5",235.0,165.0,847.0,Einfamilienhaus (freistehend),30.0,nil,6,3,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-gaeste-wc-label': ''}
Charmantes Wohnensemble in weitläufigem grünen Wohnumfeld mit vielseitigen Nutzungsmöglichkeiten für,269000.0,"16259 Höhenland, Märkisch-Oderland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,185.0,1033.0,1454.0,Doppelhaushälfte,60.0,nil,6,3,4 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Einzigartiges Architektenhaus mit zwei Wohneinheiten in bester Lage,980000.0,"Madlow, 03050 Cottbus
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,300.0,917.0,3267.0,Mehrfamilienhaus,,nil,5,3,3 Außenstellplätze,"Käuferprovision beträgt 3,00 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Sehr gepflegtes Einfamilienhaus in ruhiger Lage mit einer Gesamtfläche von 323 m²,579000.0,"14641 Nauen, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",172.0,1193.0,3366.0,Einfamilienhaus (freistehend),151.8,nil,5,2,nil,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Außergewöhnliches Wohnen in ehem. Gasthof - Ein Haus - unzählige Möglichkeiten,199000.0,"01945 Kroppen, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",15,550.0,1266.0,362.0,Besondere Immobilie,,nil,nil,nil,nil,"Käuferprovision beträgt 7,14 % (inkl. MwSt.) des beurkundeten Kaufpreises",{}
Charaktervolles Mehrfamilienhaus in ruhiger Lage,548000.0,"01979 Lauchhammer, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",24,574.0,1999.0,955.0,Mehrfamilienhaus,200.0,nil,nil,8,nil,"Käuferprovision beträgt 4,76 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Exklusiv für Sie – Verwirklichen Sie Ihren Traum vom Eigenheim mit Schwabenhaus,761500.0,"15732 Eichwalde, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,214.0,900.0,3558.0,Mehrfamilienhaus,0.0,nil,5,1,1 Stellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gemütliches Zuhause mit richtig großem Garten!,398000.0,"Sommerfelder Chaussee .,
16225 Eberswalde, Barnim (Kreis)",4,110.0,1995.0,3618.0,Einfamilienhaus (freistehend),,nach Vereinbarung,3,2,4 Garagen,"3,57 %",{'is24qa-gaeste-wc-label': ''}
Eigenheim statt Miete! – Wunderschönes Traumhaus von Schwabenhaus,673920.0,"15732 Eichwalde, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,112.0,325.0,6017.0,Doppelhaushälfte,0.0,nil,3,1,1 Stellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlage - vermietetes Einfamilienhaus,490000.0,"15366 Neuenhagen bei Berlin, Märkisch-Oderland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,115.0,678.0,4261.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,Nein,"{'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
A+ Einfamilienhaus mit Sole-Wärmepumpe erfüllt bereits die kommenden Energiestandards! Waldrandlage,450000.0,"16515 Mühlenbecker Land, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,126.67,785.0,3553.0,Einfamilienhaus (freistehend),,nil,nil,nil,1 Stellplatz,"3,57% zzgl. MwSt.",{}
Einfamilienhaus mit Kaminofen und 3 Schlafzimmer,414000.0,"16562 Hohen Neuendorf, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,134.0,1164.0,3090.0,Einfamilienhaus (freistehend),,nil,nil,nil,2 Stellplätze,"3,57% inkl. MwSt.",{}
Einfamilienhaus mit großem Grundstück in Siedlungslage - Nassenheide,369000.0,"16775 Löwenberger Land, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,97.0,843.0,3804.0,Einfamilienhaus (freistehend),,nil,nil,nil,2 Stellplätze,"3,57% inkl. MwSt.",{}
Bezugsfrei! Charmantes Einfamilienhaus mit Keller und Doppelgarage in Hennickendorf bei Berlin,319000.0,"15378 Rüdersdorf bei Berlin, Märkisch-Oderland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,117.0,1147.0,2726.0,Einfamilienhaus (freistehend),220.0,sofort,nil,2,nil,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Preisgünstige Gelegenheit! Schönes Einfamilienhaus mit bester Ausstattung auf sonnigem Grundstück,350000.0,"14641 Paulinenaue, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,91.9,1029.0,3808.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"3,57 % inkl. Mwst.",{}
Exklusive Einfamilienhausvilla mit hochwertiger Ausstattung in Spitzenwohnlage Falkensee-Falkenhain,1295000.0,"14612 Falkensee, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",225.0,959.0,5756.0,Einfamilienhaus (freistehend),347.0,nil,nil,nil,nil,"3,57 % inkl. Mwst.",{}
