title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Gemütliches Reihenmittelhaus in beliebter Wohnsiedlung ""Klein Mexiko""!",198000.0,"Hulsberg, 28205 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,54.0,77.0,3667.0,Reihenmittelhaus,15.0,nach Vereinbarung,1,1,nil,"2,98 % inkl. MwSt.",{}
Beeindruckendes Altbremer Haus in sehr gutem Zustand,1285000.0,"Barkhof, 28209 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,357.0,330.0,3599.0,Reihenmittelhaus,65.0,01.08.24,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Bremen - Gartenstadt Süd | Großes Mehrfamilienhaus mit drei Wohnungen und Garagen in zentraler Lage,579000.0,"Gartenstadt Süd, 28201 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,221.79,429.0,2611.0,Mehrfamilienhaus,50.3,Nach Vereinbarung,7,3,1 Garage,"7,14 % (inkl. 19,00 % MwSt.) vom Käufer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Bremen - Huchting | Großzügiger Bungalow mit 4 Zimmern und Garage,249000.0,"Mittelshuchting, 28259 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,144.43,268.0,1724.0,Bungalow,1.52,Nach Absprache,3,1,1 Garage,"3,57 % inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}"
PURNHAGEN-IMMOBILIEN - Geräumiges Einfamilienhaus in begehrter Lage von St.-Magnus nahe der Lesum,580000.0,"St. Magnus, 28759 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,234.0,804.0,2479.0,Einfamilienhaus (freistehend),148.0,nach Vereinbarung,5,2,1 Garage,"Je 3,57 % vom notariellen Kaufpreis inkl. ges. MwSt. durch Käufer u. Verkäufer zu zahlen.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Bremen - Neustadt | Liebenswertes Reihenhaus Ihrer Träume mit Garage im heiß begehrten Flüsseviertel,599000.0,"Neustadt (Ortsteil), 28199 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",166.85,176.0,3590.0,Reihenmittelhaus,68.74,Nach Vereinbarung,4,2,1 Garage,"3,57 % (inkl. 19,00 % MwSt.)vom Käufer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Bremen - Habenhausen | Gewerbefläche mit Inhaberwohnung mit Werkhalle und Doppelgarage,449000.0,"Habenhausen, 28279 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,143.0,798.0,3140.0,nil,207.0,Nach Vereinbarung,3,1,nil,"3,57 % (inkl. 19,00 % MwSt.) jeweils vom Käufer und Verkäufer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': ''}"
Bungalow in idyllischer Grünlage,229000.0,"Leherheide, 27578 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,170.0,870.0,1347.0,Einfamilienhaus (freistehend),,nil,5,1,1 Garage,"3,57% des Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Charmantes Reihenendhaus in Top-Lage - eine besondere Gelegenheit,260000.0,"Geestemünde, 27574 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,140.0,237.0,1857.0,Reiheneckhaus,,nach Absprache,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Ruhig in einer Sackgasse gelegenes Einfamilienhaus mit Garage,298000.0,"Burgdamm, 28719 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,125.0,279.0,2384.0,Einfamilienhaus (freistehend),37.0,nil,5,1,2 Garagen,"3,57 % vom notariellen Kaufpreis inkl. der gesetzlichen MwSt. vom Käufer",{}
