title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
6 Zimmer Haus * mit wundervollem Süd/West Grundstück,695000.0,"Duvenstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,150.0,955.0,4633.0,Einfamilienhaus (freistehend),,nach Vereinbarung,nil,1,1 Stellplatz,"22.000,00 inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schmuckstück Doppelhaushälfte für die kleine Familie,449000.0,"Bramfeld, 22175 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",98.0,210.0,4582.0,Doppelhaushälfte,52.0,nach Absprache,3,1,nil,"3,57 % inkl. MwSt.",{'is24qa-keller-label': ''}
Traumhaus in bester Lage von Niendorf - courtagefrei!,679000.0,"Niendorf, 22455 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",184.5,603.0,3680.0,Einfamilienhaus (freistehend),,nach Absprache,2,2,4 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hamburg - Ottensen | Renditestarkes MFH mit großer Gewerbefläche und 5 Wohneinheiten mit ca. 780 m²,3495000.0,"Altona-Nord, 22765 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,780.0,549.0,4481.0,nil,386.0,nil,nil,7,2 Außenstellplätze,"6,14 % inkl. gesetzlicher MwSt. (Käuferprovision)",{'is24qa-keller-label': ''}
Exklusive DHH in bevorzugter Lage Nähe Alster - Erstbezug!,1050000.0,"Op'n Möhlnrad 11,
Duvenstedt, 22397 Hamburg",5,205.81,958.0,5102.0,Doppelhaushälfte,,nil,nil,nil,2 Carports,"3,57 %",{'is24qa-gaeste-wc-label': ''}
Doppelhaushälfte im dänischen Landhausstil,598000.0,"Lemsahl-Mellingstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,122.0,527.0,4902.0,Doppelhaushälfte,88.0,01.03.2024,3,2,2 Carports,3%,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schöne Blankeneser-Neubaustadthäuser im Björnsonweg!,1480000.0,"Björnsonweg 72,
Blankenese, 22587 Hamburg",6,202.89,58.54,7295.0,Reihenmittelhaus,70.8,nach Vereinbarung,nil,nil,nil,Der Erwerb erfolgt für Käufer courtagefrei.,{'is24qa-gaeste-wc-label': ''}
Ruhig gelegen und dennoch zentral: Charmante DHH mit großem Süd-Grundstück,445000.0,"Lohbrügge, 21031 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85.0,1004.0,5235.0,Doppelhaushälfte,,nil,3,1,Garage,"2,5% inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Das Haus für Individualisten!,1200000.0,"Rahlstedt, 22145 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,250.0,1096.0,4800.0,Einfamilienhaus (freistehend),60.0,nach Vereinbarung,4,3,1 Garage,"3,57%","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Modernes Endreihenhaus nahe des Eichtalparks,795000.0,"Wandsbek (Ortsteil), 22041 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,102.0,198.0,7794.0,Reiheneckhaus,77.0,nach Vereinbarung,nil,1,1 Carport,"3,57 % inkl. MwSt.",{}
Hier ist alles möglich! - Stadtvilla auf Erbbaurechtsgrundstück,400000.0,"Eppendorf, 20251 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,250.0,778.0,1600.0,Einfamilienhaus (freistehend),,nach Vereinbarung,nil,nil,nil,€ 17.500,{'is24qa-keller-label': ''}
Ihr schönes neues Zuhause in Harburg 3-Zi. Reihenhaus,399000.0,"Harburg (Ortsteil), 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81.0,169.0,4926.0,Reihenmittelhaus,,nil,nil,1,1 Stellplatz,"2,36 %",{}
Charmante Historie: Ehemalige Backstube mit lichtdurchflutetem Garten in HH-Groß Borstel,1625000.0,"Groß Borstel, 22453 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,195.0,810.0,8333.0,Villa,,nil,4,1,3 Außenstellplätze,"3,25% inkl. MwSt.",{'is24qa-gaeste-wc-label': ''}
Grundstück mit historischem Villenensemble in HH-Gross Borstel,2515000.0,"Groß Borstel, 22453 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",17,469.0,810.0,5362.0,Mehrfamilienhaus,,nil,nil,nil,nil,"6,25% inkl. MwSt.",{}
Rarität: Stadtvilla direkt am Innocentiapark in HH-Harvestehude,6750000.0,"Harvestehude, 20144 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,293.0,300.0,23038.0,Villa,,nil,5,2,nil,"3,25% inkl. MwSt.",{}
Stadthaus/Generationshaus mit viel Platz und Gestaltungsraum,1390000.0,"Rahlstedt, 22143 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,229.0,425.0,6070.0,nil,,nil,nil,nil,2 Außenstellplätze,Provisionsfrei für den Käufer,{}
Anprechender Altbau mit Gewerbefläche und 4 Wohneinheiten auf dem Kiez,1490000.0,"St. Pauli, 20359 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,327.0,162.0,4557.0,Mehrfamilienhaus,67.0,nach Absprache,4,4,nil,"3,57% inkl. Mwst.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Stattliches Grundstück mit energetisch saniertem Doppeleinfamilienhaus zu verkaufen!,699000.0,"Schnelsen, 22457 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",215.91,1067.0,3237.0,Wohnimmobilie (sonstige),189.0,sofort,5,3,3 Carports,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Einfamilienhaus Lifestyle 12.01 S,818769.0,"Steinwegel 16,
Sasel, 22393 Hamburg",4,127.0,395.0,6447.0,Einfamilienhaus (freistehend),127.0,nil,3,1,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
