title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Modernisiertes Einfamilienhaus am Ortsrand mit zahlreichen Highlights,188000.0,"37287 Wehretal, Werra-Meißner-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,167.0,1113.0,1126.0,Einfamilienhaus (freistehend),,ab sofort,5,2,nil,"Käuferprovision: 3,57 % inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Schickes Zweifamilienhaus mit mediterranem Flair,564629.0,"36286 Neuenstein, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,192.0,721.0,2941.0,Mehrfamilienhaus,,nil,4,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wunderschöne kleine Stadtvilla für Preisbewusste,348669.0,"36286 Neuenstein, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,120.0,661.0,2906.0,Einfamilienhaus (freistehend),,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Mediterraner Wohntraum auf einer Ebene,362943.0,"36208 Wildeck, Hersfeld-Rotenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,111.0,576.0,3270.0,Bungalow,,nil,2,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Frisch renoviertes, einzugsbereites EFH zentral in Mörfelden",489000.0,"64546 Mörfelden-Walldorf, Groß-Gerau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,120.71,158.0,4051.0,Einfamilienhaus (freistehend),,sofort,nil,2,nil,"2,975% auf den Kaufpreis inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
"ARBEITEN, WOHNEN UND AUSBAUPOTENTIAL IN EINEM! KEINE KÄUFERPROVISION!",189900.0,"35282 Rauschenberg, Marburg-Biedenkopf (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,200.0,202.0,950.0,Wohnimmobilie (sonstige),,nach Absprache,1,nil,2 Außenstellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Massives Stommel-Holzhaus mit Wintergarten und Doppelgarage in Bruchköbel,549000.0,"Schießstr 65,
63486 Bruchköbel, Main-Kinzig-Kreis",7,252.0,650.0,2179.0,Einfamilienhaus (freistehend),113.7,sofort,4,2,2 Garagen,"3,57 % (inkl. 19% MwSt.) des Kaufpreises Käuferprovision","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': ''}"
"** Rüdesheim-Presberg: Ehemalige Großküche, vielseitig nutzbar **",195000.0,"65385 Rüdesheim am Rhein, Rheingau-Taunus-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,373.0,698.0,523.0,Einfamilienhaus (freistehend),373.0,nil,nil,nil,nil,"5,95% inkl. ges. MwSt. vom beurkundeten Kaufpreis.",{}
Bad König- Wohnhaus auf großem Grundstück mit Nutzgarten zu verkaufen,279000.0,"Klosterwaldstraße 9,
64732 Bad König, Odenwaldkreis",7,120.0,600.0,2325.0,nil,,nil,3,2,1 Garage,"3,57%",{'is24qa-vermietet-label': ''}
Top Einfamilien-Doppelhaushälfte,449000.0,"64668 Rimbach, Bergstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,139.0,261.0,3230.0,nil,196.0,nil,4,2,1 Außenstellplatz,3,{'is24qa-listonlyonis24-label': 'Nur hier gefunden'}
