title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Mehrfamilienhaus mit 6 Wohneinheiten Vollvermietung im Güstrower Zentrum Nahe Rosengarten,485000.0,"Rostocker Straße 52,
18273 Güstrow, Rostock (Kreis)",15,450.0,872.0,1078.0,Mehrfamilienhaus,500.0,sofort,6,6,Außenstellplatz,"7,14 % vom Kaufpreis inkl 19 % MwSt. verdient und fällig bei Kaufvertragsabschluss","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Neubau-7-Zimmer-Haus (Bungalow), 280qm, 2672qm Grundstück in Groß Plasten, Groß Plasten",1400000.0,"Parkallee 34b,
17192 Groß Plasten, Mecklenburgische Seenplatte (Kreis)",7,280.0,2672.0,5000.0,Einfamilienhaus (freistehend),280.0,24.3.2024,2,3,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Umzugswagen bestellen, einziehen und sich wohlfühlen!",319000.0,"23948 Damshagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,115.0,485.0,2774.0,Einfamilienhaus (freistehend),,01.11.2024,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
"Familien-Idyll mit Platz für Hund, Katze und Pferd",798000.0,"18211 Admannshagen-Bargeshagen, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,205.0,3723.0,3893.0,Bauernhaus,240.0,nil,7,3,nil,18000 EUR,"{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
Liebevolles Nest für die Familie!,490000.0,"18239 Satow, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125.0,1186.0,3920.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Idyllische Ruhe und Entspannung mitten in der Natur,425680.0,"18209 Bartenshagen-Parkentin, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100.0,1179.0,4257.0,Einfamilienhaus (freistehend),,sofort,2,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-gaeste-wc-label': ''}
2 Häuser auf einem Grundstück in Ostseenähe,339000.0,"23948 Damshagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110.0,1100.0,3082.0,Einfamilienhaus (freistehend),,01.10.2024,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{}
Ihr romantisches Wochenendhaus am Strand,220000.0,"18181 Graal-Müritz, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58.0,288.0,3793.0,Bungalow,,sofort,1,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.",{}
Gepflegter Bungalow mit traumhaft schönem Garten,385000.0,"18182 Mönchhagen, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85.0,872.0,4529.0,Einfamilienhaus (freistehend),,sofort,nil,1,nil,"3,57 % inkl. ges. MwSt.",{}
Naturnahes Wohnen: Einfamilienhaus mit großem Grundstück,399900.0,"18233 Neubukow, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,225.0,1559.0,1777.0,Einfamilienhaus (freistehend),,sofort,nil,2,4 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
