title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Junges Haus in guter Lage!,395000.0,"56170 Bendorf, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,133.5,622.0,2959.0,Einfamilienhaus (freistehend),,sofort,nil,nil,5 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
Tolle und bezahlbare Gelegenheit in Ortsmitte,190000.0,"55595 Bockenau, Bad Kreuznach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,125.0,252.0,1520.0,Einfamilienhaus (freistehend),50.0,01.01.2024,3,2,5 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
"Lage, Lage, Lage - Immobilie in Bestlage von Weiler",249000.0,"55413 Weiler bei Bingen, Mainz-Bingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,101.0,565.0,2465.0,Einfamilienhaus (freistehend),,nil,2,1,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Attraktiv & spannend! Anlage-Objekt mit fast 1.000 m² Grundstück für Profis!,695000.0,"55218 Ingelheim am Rhein, Mainz-Bingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,285.0,929.0,2439.0,Mehrfamilienhaus,80.0,nach Absprache,9,3,4 Stellplätze,"5,95 % inkl. ges. MwSt.",{}
Wunderschönes 2-Familienhaus mit Dachgeschoss in zentraler Lage von Alzey,498000.0,"55232 Alzey, Alzey-Worms (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,200.0,700.0,2490.0,Mehrfamilienhaus,,sofort,5,4,4 Garagen,"Die Käuferprovision beträgt 2,975% des beurkundeten Kaufpreises inkl. der gesetzlichen MwsT.",{}
"Exklusiv, Modern. Großzügig und in ruhiger Wohnlage von Boppard",798000.0,"56154 Boppard, Rhein-Hunsrück-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,324.0,600.0,2463.0,Einfamilienhaus (freistehend),105.0,01.05.2024,8,3,2 Garagen,"1,90 % incl ges. MwSt",{}
Steinborn: Gepflegtes EFH in charmanter Split Level-Bauweise mit Wintergarten und Garage!,335000.0,"67304 Eisenberg (Pfalz), Donnersbergkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140.0,562.0,2393.0,nil,,nil,3,1,1 Stellplatz,"3,57 % inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Großzügig Wohnen mit wunderschön angelegtem Garten und vielseitig nutzbarem Anbau,850000.0,"76865 Insheim, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,202.0,1362.0,4208.0,Einfamilienhaus (freistehend),,nil,nil,2,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
2022 renoviertes EFH im Herzen von Landstuhl!,199000.0,"66849 Landstuhl, Kaiserslautern (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,119.0,240.0,1672.0,Reihenmittelhaus,,nil,3,2,nil,"3,57 %",{'is24qa-keller-label': ''}
Vielseitig nutzbares Wohn- und Geschäftshaus!,485000.0,"66907 Glan-Münchweiler, Kusel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,444.03,946.0,1092.0,Mehrfamilienhaus,526.69,nil,nil,nil,5 Stellplätze,"4,76 %",{'is24qa-keller-label': ''}
