title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
IN GUTER GESELLSCHAFT - Doppelhaushälfte mit Garage und großem Garten am Schlaufenglan!,330000.0,"66606 Sankt Wendel, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",177.0,749.0,1864.0,Einfamilienhaus (freistehend),107.0,01.10.2024,5,1,Garage,"3,57% Käuferprovision inkl. 19% MwSt. fällig bei Kaufvertragsabschluss",{}
Wohnhaus in Lebach-Steinbach mit Garten und viel Platz für die Familie zu verkaufen,195000.0,"Bachstraße 36,
66822 Lebach, Saarlouis (Kreis)",5,131.0,378.0,1489.0,nil,,nach Vereinbarung,3,2,Außenstellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Offen für Angebote: 5.0-Zimmer Haus in Schwalbach,218000.0,"66773 Schwalbach, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150.0,900.0,1453.0,nil,,nil,nil,nil,nil,nil,{}
Charmanter Umbau alter Scheune zum Reihenhaus mit Garten,269000.0,"66265 Heusweiler, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,170.0,232.0,1582.0,Reihenmittelhaus,170.0,nil,3,2,4 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schönes 1-2-Familienhaus in 66386 IGB OT - sofort frei,367000.0,"66386 Sankt Ingbert, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,223.0,925.0,1646.0,Einfamilienhaus (freistehend),,27.5.2024,6,3,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ein-Zweifamilienhaus in ruhiger Wohnlage lädt ein zum modernen wohnen,225000.0,"Wecklinger Strasse 15,
66440 Blieskastel, Saarpfalz-Kreis",8,200.0,733.0,1125.0,Mehrfamilienhaus,200.0,15.6.2024,6,2,1 Stellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"MEHRFAMILIEN-WOHNHAUS, 6 WOHNUNGEN, RUHIGE NEBENSTRASSE, IN GROSSROSSELN",449000.0,"66352 Großrosseln, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,478.0,1392.0,939.0,Mehrfamilienhaus,125.0,SOFORT,12,6,nil,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': ''}"
"Denkmalgeschütztes Schmuckstück im Herzen von St. Arnual""",262500.0,"St. Arnual, 66119 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110.0,100.0,2386.0,Einfamilienhaus (freistehend),42.0,nach Absprache,2,2,nil,"3,57 % inkl. ges. MwSt.",{}
Ideales Einfamilienhaus für fleißige Handwerker in Altenkessel,119000.0,"Altenkessel, 66126 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,95.0,371.0,1253.0,Doppelhaushälfte,,ab sofort,3,1,nil,"3,57 % inkl. MwSt.",{}
moderne Doppelhaushälfte mit traumhaftem Garten und Dachterasse in Perl,700000.0,"66706 Perl, Merzig-Wadern (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,149.0,274.0,4698.0,Doppelhaushälfte,79.0,nil,4,3,1 Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
freistehendes Einfamilienhaus in Sulzbach-Altenwald,169000.0,"66280 Sulzbach/Saar, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,100.0,441.0,1690.0,Einfamilienhaus (freistehend),,sofort,nil,nil,3 Stellplätze,"3,57 % inkl. gesetzl. MwSt.",{}
"Sbr-Ensheim Neubau, Komfortabeles 1 FamHs mit ELW",1500000.0,"Ensheim, 66131 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,400.0,2600.0,3750.0,Einfamilienhaus (freistehend),100.0,nil,3,2,Garage,€53.550,"{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
Freistehendes Einfamilienhaus mit Fernwärmeheizung,82000.0,"66287 Quierschied, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,110.0,234.0,745.0,nil,,nil,nil,1,nil,"3,57 % inkl. 19 % MwSt.",{}
"EINFAMILIENHAUS, DOPPELHAUSHÄLFTE, SACKGASSE, RUHIGE LAGE IN ALTFORWEILER",249900.0,"66802 Überherrn, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,107.0,381.0,2336.0,Einfamilienhaus (freistehend),20.0,sofort,3,2,1 Garage,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
"EIN BIS ZWEIFAMILIENHAUS MIT GROSSEM GRUNDSTÜCK UND WEITSICHT, SANIERUNGSBEDÜRFTIG IN GROSSROSSELN",115000.0,"66352 Großrosseln, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,457.8,2946.0,251.0,Einfamilienhaus (freistehend),80.0,SOFORT,8,2,6 Außenstellplätze,"3,57%",{'is24qa-online-besichtigung-moeglich-label': ''}
modernes Einfamilienhaus in schöner Waldrandlage,395000.0,"66386 Sankt Ingbert, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",125.0,317.0,3160.0,Doppelhaushälfte,,sofort,nil,nil,2 Stellplätze,"3,57 incl.MwSt",{}
"EINFAMILIENHAUS IN GROSSROSSELN, ZENTRALE LAGE",174900.0,"66352 Großrosseln, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150.0,202.0,1166.0,Reiheneckhaus,50.0,sofort,4,2,1 Garage,"3,57 %",{'is24qa-online-besichtigung-moeglich-label': ''}
Großzügige Villa mit Garten in zentraler Lage (provisionsfrei),745000.0,"Tulpenstraße 1,
66793 Saarwellingen, Saarlouis (Kreis)",12,320.0,1027.0,2328.0,nil,331.0,13.5.2024,2,1,2 Garagen,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
"Lichthaus 152 massiv gebaut, Preis inkl. Grundstück",425550.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,166.0,631.0,2564.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"massiv gebaut Stadtvilla 145, Preis inkl. Grundstück",417150.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,150.0,631.0,2781.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Haus mit 1m Dachüberstand, Preis inkl. Grundstück",412440.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,141.0,631.0,2925.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Haus mit 1m Dachüberstand, massiv gebaut inkl. Grundstück",369290.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,116.0,631.0,3184.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Bungalow 92, massiv gebaut, Preis inkl. Grundstück",340190.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,92.0,631.0,3698.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Lichthaus 121 massiv gebaut, Preis inkl. Grundstück",390390.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,133.0,631.0,2935.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"massiv gebautes Flair 125, Preis inkl. Grundstück",387650.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,136.0,631.0,2850.0,Wohnimmobilie (sonstige),,nil,nil,nil,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Zweifamilienhaus in zentraler Lage von Kleinblittersdorf,279000.0,"66271 Kleinblittersdorf, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,118.0,500.0,2364.0,Mehrfamilienhaus,,sofort,nil,nil,5 Stellplätze,"3,57 % inkl. gesetzl. MwSt.",{}
"Schönes 3 FH in ruhiger Seitenstrasse in Neunkirchen, ideal für Kapitalanleger",279000.0,"66538 Neunkirchen, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,250.0,385.0,1116.0,Mehrfamilienhaus,80.0,nach Vereinbarung,6,3,2 Garagen,"3,57% vom Kaufpreis",{'is24qa-keller-label': ''}
SCHAFFENSKRAFT - gemütliches Reihenmittelhaus mit pflegeleichtem Garten in Wellesweiler!,190000.0,"66539 Neunkirchen, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,160.0,520.0,1188.0,Einfamilienhaus (freistehend),65.0,sofort,4,1,Garage,"3,57% Käuferprovision inkl. 19% MwSt. fällig mit Kaufvertragsabschluss",{}
"Renditeobjekt mit 2 Wohneinheiten, Restaurant und KFZ Werkstatt",498000.0,"Brebach-Fechingen, 66130 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,238.0,1717.0,2092.0,nil,205.0,nach Vereinbarung,nil,nil,Garage,"3,57 % incl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Einfamilienhaus in bevorzugter Wohnlage,245000.0,"66424 Homburg, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,102.0,430.0,2402.0,Einfamilienhaus (freistehend),,sofort,3,2,1 Garage,"3,57 inkl. MwSt.",{'is24qa-keller-label': ''}
