title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Stadtvilla in Massivbauweise inkl. Grundstück,334543.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,131.59,600.0,2542.0,Einfamilienhaus (freistehend),,nil,4,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Modernes Wohnen im 1,5-Geschosser von Heinz von Heiden",290929.0,"06406 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,132.03,700.0,2204.0,Einfamilienhaus (freistehend),,nil,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Stadtvilla in Massivbauweise inkl. Grundstück,299305.0,"06406 Merseburg, Saalekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,131.59,700.0,2275.0,Einfamilienhaus (freistehend),,nil,4,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Prettin - Altstadt Baudenkmal und Sanierungsobjekt,350000.0,"06922 Prettin, Wittenberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,350.0,1300.0,1000.0,Wohnimmobilie (sonstige),350.0,nil,nil,nil,nil,6% zzgl.der gesetzl. MwSt.,{}
Mehrfamilienhaus mit Vorder- und Hinterhaus sowie Parkplätzen in Magdeburg-Stadtfeld Ost zu verkauf,1950000.0,"Immermannstraße 25,
Stadtfeld Ost, 39108 Magdeburg",36,1140.0,1050.0,1711.0,Mehrfamilienhaus,1140.0,nil,36,14,22 Außenstellplätze,"4,165 % von Kaufpreis","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
3 Reihenhäuser Kapitalanlage in Wallstawe nebst 4 Garagen,275000.0,"29413 Wallstawe, Altmarkkreis Salzwedel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,312.0,1911.0,881.0,Mehrfamilienhaus,,nil,nil,nil,nil,Nein,"{'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Haus in Tangerhütte, nahe Rathaus",299000.0,"39517 Tangerhütte, Stendal (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,308.0,760.0,971.0,Einfamilienhaus (freistehend),,sofort,nil,3,2 Garagen,"3.796,1","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Bauernhaus mit Scheune und Garage auf abgeschlossenem Hofgrundstück!,147000.0,"38822 Aspenstedt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,148.0,391.0,993.0,Bauernhaus,,SOFORT!,4,2,2 Garagen,"3,57% inkl. MwSt.",{'is24qa-keller-label': ''}
Mehrfamilienhaus im Herzen von Hasselfelde!,155000.0,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,150.0,569.0,1033.0,Mehrfamilienhaus,,nach Vereinbarung,2,2,4 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Wohnhaus mitten im Zentrum von Hasselfelde,150000.0,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,141.0,167.0,1064.0,Mehrfamilienhaus,,nach Vereinbarung,3,3,2 Garagen,"7,14 % inkl. MwSt.",{}
3 Familienhaus sucht neuen Kapitalanleger!,125000.0,"38899 Hasselfelde, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,194.0,832.0,644.0,Mehrfamilienhaus,,nach Vereinbarung,6,4,2 Garagen,"7,14 % inkl. MwSt.",{}
"In ländlicher Lage, sucht dieses Einfamilienhaus einen neuen Eigentümer!",65000.0,"06536 Breitenstein, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,192.0,300.0,339.0,Einfamilienhaus (freistehend),,nach Vereinbarung,3,2,1 Garage,"3,57 % inkl. MwSt",{'is24qa-einliegerwohnung-label': ''}
Kapitalanlage in Oschersleben sucht neuen Eigentümer!,289000.0,"39387 Oschersleben (Bode), Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,145.0,1122.0,1993.0,Mehrfamilienhaus,,nil,3,3,1 Garage,"5,95 % inkl. MwSt.",{}
Top-Lage! Gemütliches Haus ideal für die kleine Familie!,250000.0,"Haideburg, 06849 Dessau-Roßlau
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,80.0,794.0,3125.0,Einfamilienhaus (freistehend),70.0,nil,1,1,1 Garage,"7,437,50 €",{'is24qa-keller-label': ''}
"Ehemalige Fleischerei mit vermieteter Wohnung, sucht einen neuen Eigentümer!",145000.0,"06311 Helbra, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,206.0,500.0,704.0,nil,210.0,nach Vereinbarung,4,2,2 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Mehrfamilienhaus im Herzen von Sandersleben!,115000.0,"06456 Sandersleben (Anhalt), Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,155.0,500.0,742.0,Mehrfamilienhaus,,nach Vereinbarung,3,2,2 Außenstellplätze,"7,14 % inkl. MwSt.",{}
Rückzugsort für Sie und Ihre Lieben!,87000.0,"Algenstedter Dorfstraße 54,
39638 Algenstedt, Altmarkkreis Salzwedel",4,90.0,1400.0,967.0,Einfamilienhaus (freistehend),90.0,nach Absprache,3,2,1 Garage,"3,57 % inkl. MwSt.",{}
Reihenmittelhaus in ruhiger Siedlungslage,155000.0,"Gesundbrunnen, 06128 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,80.0,360.0,1938.0,nil,40.0,01.07.2024,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Doppelhaushälfte in ländlicher Lage, wartet auf Sie!!",89000.0,"06343 Mansfeld, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,125.0,855.0,712.0,Bauernhaus,,März 2024,3,2,1 Garage,"3,57 % inkl. MwSt",{}
Freistehendes EFH mit Blick auf die Teufelsmauer *Provisionsfrei*,280000.0,"06502 Weddersleben, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130.0,1000.0,2154.0,Einfamilienhaus (freistehend),130.0,22.5.2024,2,1,2 Garagen,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
KfW55 Neubau Doppelhaushälfte in Burg bei Magdeburg mit Energieeffiezienz A+,400000.0,"39288 Burg, Jerichower Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,114.0,297.0,3509.0,Doppelhaushälfte,,nil,3,2,2 Stellplätze,"14.280,-€","{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': ''}"
2 für 1 - zwei Reihenhäuser im Paket,152000.0,"06295 Lutherstadt Eisleben, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,195.0,2420.0,779.0,Mehrfamilienhaus,50.0,nil,nil,3,1 Garage,"4,76 % inkl. ges. MwSt.",{}
Einfamilienhaus,225000.0,"Schulstraße 1b,
39326 Niedere Börde, Börde (Kreis)",3,125.0,532.0,1800.0,Einfamilienhaus (freistehend),200.0,nil,2,2,4 Außenstellplätze,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Vollunterkellertes Einfamilienhaus mit ehemaliger Praxis (alternativ: Wohnung/Büro) mitTiefgarage,245000.0,"Hinter der Papenbrücke 1,
06449 Aschersleben, Salzlandkreis",8,243.0,454.0,1008.0,nil,,nil,nil,nil,2 Stellplätze,"3,57%","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Grundstück mit Wasserlage,69500.0,"06712 Zeitz, Burgenlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150.0,4624.0,463.0,Besondere Immobilie,,nil,nil,nil,nil,"Käuferprovision 7,14 % inkl. MwSt.",{}
Provisionsfrei für Kaufende - Bungalow auf traumhaften Grundstück in ruhiger Lage,239000.0,"An der alten Schäferei 14,
06317 Seeburg, Mansfeld-Südharz (Kreis)",5,118.0,1484.0,2025.0,nil,150.0,sofort,4,2,2 Garagen,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Raus aus dem Großstadttrubel und rein ins ländliche Idyll,300000.0,"39240 Zuchau, Salzlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,132.49,1389.0,2264.0,Einfamilienhaus (freistehend),180.8,15.5.2024,4,1,2 Außenstellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
