title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
*Einfamilienhaus in sehr ruhiger Lage - Kartons packen und einziehen*,279000.0,"09394 Hohndorf, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,465.0,2325.0,Einfamilienhaus (freistehend),18.0,August 2024,2,2,2 Außenstellplätze,"3,57 % incl. der gesetzlichen Mehrwertsteuer. Verdient und fällig nach dem notariellen Kaufvertrag",{'is24qa-einliegerwohnung-label': ''}
143 QUADTRATMETER WOHNTRAUM MIT KAMIN,299000.0,"Mittelbach, 09224 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,143.0,240.0,2091.0,Doppelhaushälfte,61.0,nil,3,1,nil,Die Courtage in Höhe von 5 % inkl. 19% MwSt. ist vom Käufer zu tragen.,{'is24qa-keller-label': ''}
Ortshistorisches Gebäude sucht Bauträger! Denkmal-AfA sichern!,150000.0,"Leubsdorfer Straße 4+5,
09579 Borstendorf, Erzgebirgskreis",50,1000.0,3810.0,150.0,Mehrfamilienhaus,,nil,nil,nil,Außenstellplatz,"4,76 % inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-keller-label': ''}"
Ihr Wohlfühlzuhause in privater Siedlungslage in Borna Eula,549000.0,"04552 Borna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,150.0,1232.0,3660.0,Einfamilienhaus (freistehend),178.0,nil,3,1,Garage,"3,57% vom Kaufpreis (inkl. MwSt.)",{'is24qa-gaeste-wc-label': ''}
Idyllisches Einfamilienhaus in Großenhain: Perfektes Zuhause mit traumhaftem Garten,179000.0,"01558 Großenhain, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",70.0,1059.0,2557.0,Einfamilienhaus (freistehend),,nach Kaufpreiszahlung,1,1,1 Carport,"3,57 % inkl. MwSt.",{'is24qa-keller-label': ''}
Charmantes Kleinod in Hanglage mit Blick über die Elbe sucht geschickten Bauherrn!,285000.0,"Mobschatz, 01156 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,160.0,726.0,1781.0,Einfamilienhaus (freistehend),224.0,sofort,nil,2,1 Außenstellplatz,"3,00% des Kaufpreises zzgl. MwSt.",{'is24qa-gaeste-wc-label': ''}
"Facettenreiches Gutshaus, Scheune, Stallung und viel Land! Landleben genießen.",495000.0,"02956 Rietschen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,329.0,16054.0,1505.0,Einfamilienhaus (freistehend),329.0,nach Vereinbarung,nil,2,3 Garagen,"3,00% des Kaufpreises zzgl. MwSt.",{'is24qa-gaeste-wc-label': ''}
"Senken Sie Ihre Steuerlast, Revitalisierungsprojekt mit Denkmal-AFA!!",595000.0,"09212 Limbach-Oberfrohna, Zwickau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",108,3600.0,7200.0,165.0,Mehrfamilienhaus,,sofort,nil,nil,nil,"3,57 % vom Kaufpreis inkl. der gesetzl. MwSt.",{'is24qa-keller-label': ''}
Doppelhaushälfte sucht neue Familie,155000.0,"04889 Schildau, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,130.0,531.0,1192.0,Doppelhaushälfte,80.0,nach Vereinbarung,5,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Vielseitiges Dreifamilienhaus in Mülsen sucht Vision & Feinschliff!,129500.0,"Dresdner Straße 26,
08132 Mülsen, Zwickau (Kreis)",13,200.0,900.0,648.0,Mehrfamilienhaus,,sofort,3,3,1 Garage,"3,57% Käuferprovision vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Wohntraum in Oelsnitz/Erzgeb. - Gepflegtes Mehrfamilienhaus als sichere Kapitalanlage,175000.0,"Grenzstraße 10,
09376 Oelsnitz/Erzgebirge, Erzgebirgskreis",8,202.1,300.0,866.0,Mehrfamilienhaus,50.0,sofort,3,3,nil,"3,57% Käuferprovision vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Einfamilienhaus auf großzügigem Grundstück in gewachsener Siedlung in Leipzig-Lindenthal,295000.0,"Schwedenstraße 9,
Lindenthal, 04158 Leipzig",4,96.0,880.0,3073.0,Einfamilienhaus (freistehend),120.0,sofort,3,1,1 Garage,"10.531,50","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Zwei gepflegte Mehrfamilienhäuser mit 8,28 % Rendite (Faktor 12) vor den Toren Zwickaus",398000.0,"08412 Werdau, Zwickau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,524.0,640.0,760.0,Mehrfamilienhaus,,nach Vereinbarung,nil,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': ''}"
"*Privatverkauf* -modernes 200qm Haus mit 3 Bädern, Whirlpool, Sauna, Einlieger oder Gewerbe möglich",349000.0,"Eulaer Hauptstrasse 26,
01683 Nossen, Meißen (Kreis)",7,197.0,1000.0,1772.0,Einfamilienhaus (freistehend),197.0,01.07.2024,4,3,2 Außenstellplätze,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Top-Rendite mit Garagen/Stellplätzen als Kapitalanlage,649000.0,"Innenstadt, 02826 Görlitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,650.0,3160.0,998.0,nil,650.0,nil,nil,nil,nil,"Käuferprovision beträgt 7,14 % (inkl. MwSt.) des beurkundeten Kaufpreises",{}
