title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Komfortables Einfamilienhaus mit separatem Bungalow in Waldnähe und mit altem Baumbestand in Albersd,479000.0,"25767 Albersdorf, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,305.0,1800.0,1570.0,Einfamilienhaus (freistehend),60.0,nil,6,4,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-einliegerwohnung-label': ''}
Gepflegtes 5-Zi.-Zuhause mit schönem Grundstück nahe dem Selenter See,340000.0,"24321 Giekau, Plön (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,120.63,933.04,2819.0,Doppelhaushälfte,,nach Absprache,2,1,3 Carports,"2,98 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}"
Ihr Zuhause in Worth vor den Toren Hamburgs - Einfamilienhaus aus ca. dem Baujahr 2005 mit Weitblick,475000.0,"21502 Worth, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,116.0,1050.0,4095.0,Einfamilienhaus (freistehend),10.0,nil,nil,1,2 Stellplätze,"3,57 %",{'is24qa-gaeste-wc-label': ''}
"gepflegtes Reihenhaus auf Erbpacht, mit ausgebautem Dachgeschoss",299000.0,"25469 Halstenbek, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,91.0,168.0,3286.0,Reihenmittelhaus,75.0,ab sofort,3,2,nil,"3,00% des Kaufpreises inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Friesenperle - Repräsentatives Friesenhaus in idyllischer Lage,385000.0,"25782 Westerborstel, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,143.0,1018.0,2692.0,Einfamilienhaus (freistehend),25.0,01.08.2024,4,2,Carport,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Landsitz mit 9 ha Grundstück - See, Wald, Grünland, Obstbaumplantage, Biotop uvm.",790000.0,"25926 Ladelund, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125.0,93740.0,6320.0,Einfamilienhaus (freistehend),,nil,nil,nil,Außenstellplatz,"3,57 % vom Verkaufspreis inkl. 19 % Umsatzsteuer",{}
Kernsanierte Bäderstilvilla mit Blick auf die Nordsee,2820900.0,"25996 Wenningstedt-Braderup (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,145.54,851.0,19382.0,Reiheneckhaus,,nil,3,3,1 Außenstellplatz,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kernsanierte Bäderstilvilla mit Blick auf die Nordsee,2795900.0,"25996 Wenningstedt-Braderup (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,132.39,851.0,21119.0,Reihenmittelhaus,,01.11.2023,3,3,1 Außenstellplatz,"3,57","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
charmantes Einfamilienhaus,435000.0,"21493 Möhnsen, Herzogtum Lauenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.89,637.0,3598.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,3 % inkl. ges. MwSt.,{}
Ihr neuer Ankerplatz - Ferien am Ufer der Eider,155000.0,"25779 Hennstedt, Dithmarschen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,47.0,279.0,3298.0,Bungalow,16.0,Sofort,1,1,1 Carport,"2,00",{'is24qa-als-ferienhaus-geeignet-label': ''}
Für Familien und andere Wohnkonzepte mit richtig viel Platzbedarf,285000.0,"25557 Beldorf, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,235.93,689.0,1208.0,Wohnimmobilie (sonstige),,nil,5,2,3 Carports,"3,75%",{'is24qa-gaeste-wc-label': ''}
Kleines Reihenhaus!! Zwangsversteigerung!!! Provisionsfrei!!!,70000.0,"24768 Rendsburg, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,81.0,113.0,864.0,Reihenmittelhaus,,nil,3,1,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Grünes Wohnparadies mit 2 Wohnungen in Waldrandlage nähe Nordsee.,349000.0,"25923 Süderlügum, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,224.0,1343.0,1558.0,Einfamilienhaus (freistehend),,sofort,5,2,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Dorfidylle zwischen Feldern und der Schlei! Großzügiges Einfamilienhaus in Grödersby,690000.0,"24376 Grödersby, Schleswig-Flensburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,181.0,3427.0,3812.0,Einfamilienhaus (freistehend),58.0,frei nach Vereinbarung,nil,2,2 Stellplätze,"3,57 %",{'is24qa-keller-label': ''}
Energetisch modernisiert: Reetdachkate mit Einliegerwohnung**,699000.0,"25836 Katharinenheerd, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,224.0,3047.0,3121.0,Einfamilienhaus (freistehend),,nach Vereinbarung,4,3,1 Carport,"3,57% inkl. gesetzl. MwSt. verdient und fällig mit Beurkundung des notariellen Kaufvertrages.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-einliegerwohnung-label': ''}"
Fantastisch gelegenes Ferienhaus mit Pool und Panoramablick auf die Ostsee,850000.0,"Strandblick 36,
24398 Brodersby, Rendsburg-Eckernförde (Kreis)",7,195.0,1000.0,4359.0,Einfamilienhaus (freistehend),,nach Vereinbarung,6,2,1 Außenstellplatz,"2,38%",{'is24qa-online-besichtigung-moeglich-label': ''}
