title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
**NEUER PREIS** Modernes Traumhaus mit exzellenter Ausstattung und Ausblick,470000.0,"98587 Steinbach-Hallenberg, Schmalkalden-Meiningen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,144.0,1193.0,3264.0,Einfamilienhaus (freistehend),,sofort,3,2,1 Garage,3.57 %,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kernsaniertes Dreifamilienhaus mit Schlossblick!,275000.0,"99880 Waltershausen, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,182.0,210.0,1511.0,Mehrfamilienhaus,,nil,nil,3,nil,7.14 %,"{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Stadtvilla aus den 30er Jahren sucht neuen Liebhaber zur Sanierung!,150000.0,"99610 Sömmerda, Sömmerda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,134.0,527.0,1119.0,Mehrfamilienhaus,,nil,nil,1,1 Garage,4.76 %,"{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Nachhaltiges Wohnglück – Freistehendes Einfamilienhaus mit ökologischer Holzständerbauweise für N...,449000.0,"99947 Bad Langensalza, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,210.0,720.0,2138.0,Einfamilienhaus (freistehend),,01.02.2024,nil,nil,2 Stellplätze,3.57 %,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Gepflegtes Einfamilienhaus mit großer Scheune und Garten im beliebten Herbsleben,179000.0,"99955 Herbsleben, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,133.0,430.0,1346.0,Einfamilienhaus (freistehend),,nil,nil,2,nil,siehe Sonstiges,{'is24qa-keller-label': ''}
*Preisreduzierung* Freistehendes Einfamilienhaus nahe Erfurt – Einladendes Wohnparadies in idylli...,329000.0,"99100 Bienstädt, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,140.0,550.0,2350.0,Einfamilienhaus (freistehend),48.0,01.01.2024,nil,2,3 Stellplätze,3.57 %,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Exklusives Landgut: Historischer Vierseitenhof mit großzügigem Wohnraum und liebevoll restauriert...,650000.0,"99947 Bad Langensalza, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,323.0,1785.0,2012.0,Besondere Immobilie,771.0,nil,nil,nil,nil,3.57 %,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Familienglück am Rande des Thüringer Waldes,149000.0,"99880 Waltershausen, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110.0,528.0,1355.0,Einfamilienhaus (freistehend),,nil,nil,2,nil,4.76 %,{'is24qa-keller-label': ''}
Großzügig aufgeteiltes Einfamilienhaus -- kurzfristig beziehbar !,530000.0,"Altstadt, 99084 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150.0,200.0,3533.0,Reiheneckhaus,60.0,sofort,4,1,1 Außenstellplatz,"3,57 % (inkl. MwSt.)","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kleines Haus mit großem Grundstück in ruhiger Wohnlage von Heldburg!,120000.0,"98646 Bad Colberg-Heldburg, Hildburghausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85.0,2067.0,1412.0,Einfamilienhaus (freistehend),,nach Vereinbarung,2,1,Außenstellplatz,"3,57 % inkl. MwSt. vom notariell beurkundeten Kaufpreis.",{'is24qa-keller-label': ''}
