title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Erstklassig in Senftenberg Beste Energieeffizienz A+ Provisionsfrei!,468720.0,"01968 Senftenberg, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,3906.0,Etagenwohnung,,2025,nil,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Spannendes Anlageobjekt zum Verkauf - 2 Zimmer Wohnung,162000.0,"15831 Blankenfelde-Mahlow, Teltow-Fläming (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,56.0,2893.0,Etagenwohnung,54.0,21.09.2023,1,1,1 Parkhaus-Stellplatz,"2,975 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Senftenberg in Top-Lage: Jetzt mögliche ILB-Förderung sichern!,368930.0,"01968 Senftenberg, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,92.0,4010.0,Etagenwohnung,,2025,2,1,1 Stellplatz,provisionsfrei,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
In bester Lage von Großkoschen - direkt am See,377600.0,"01968 Senftenberg, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,99.13,3809.0,Etagenwohnung,,nil,2,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
"Tolle Kapitalanlage! 2 Zimmer mit Fußbodenheizung, offene Wohnküche, Bad mit Du+BW, Balkon!",195000.0,"Zum Großen Zernsee 5 G,
14542 Werder (Havel), Potsdam-Mittelmark (Kreis)",2,56.8,3433.0,Etagenwohnung,,nil,1,1,nil,"3,75","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Heller und zentral gelegener Wohn-Traum während des Studiums,208000.0,"Jägervorstadt, 14469 Potsdam
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,46.0,4522.0,Dachgeschoss,46.0,nil,2,1,nil,"3,57%","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Hausboot der Extraklasse,280000.0,"Luise-Jahn-Straße 18,
14542 Werder (Havel), Potsdam-Mittelmark (Kreis)",2,44.0,6364.0,nil,,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
**Zwei Doppelhaushälften - Wohnen und Investieren unter einem Dach**,659800.0,"15806 Zossen, Teltow-Fläming (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,278.0,2373.0,nil,,nil,nil,4,Carport,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
"""Am Funkerberg"" - Wohnen im Grünen: Großzügige 2-Zimmer-Wohnung mit Wohnküche und Balkon (vermietet)",274500.0,"Funkerberg 4,
15711 Königs Wusterhausen, Dahme-Spreewald (Kreis)","2,5",67.0,4097.0,Etagenwohnung,,nil,1,1,1 Außenstellplatz,"3,57 % inkl. gesetzlicher MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
"Attraktive, vermietete ETW im Zentrum von Pritzwalk",115000.0,"16928 Pritzwalk, Prignitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,86.0,1337.0,Terrassenwohnung,,Absprache,2,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
