title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Sofort Einziehen: Sanierte 3-Zimmer Wohnung mit Balkon & privatem Stellplatz,199900.0,"Rablinghausen, 28197 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72.0,2776.0,Etagenwohnung,6.0,Nach Vereinbarung,2,1,1 Außenstellplatz,"3,57 % (inkl. 19,00 % MwSt.) jeweils vom Käufer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Bremen - St. Magnus | Vorteilhafte 4-Zimmer-Wohnung mit 2 Loggien, Parkett und Tiefgaragenstellplatz",179000.0,"St. Magnus, 28717 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85.0,2106.0,Etagenwohnung,6.0,Nach Vereinbarung,3,1,1 Tiefgaragen-Stellplatz,"3,57 % (inkl. 19,00 % MwSt.) jeweils vom Käufer und Verkäufer","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Ellenerbrok-Schevemoor / Vermietete 3 Zimmer Wohnung in ruhiger Lage,169000.0,"Ellenerbrok-Schevemoor, 28325 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72.5,2331.0,Etagenwohnung,,nil,nil,nil,1 Tiefgaragen-Stellplatz,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
2 Zimmer Dachgeschoßwohnung zu verkaufen,260000.0,"Radio Bremen, 28211 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,65.0,4000.0,Dachgeschoss,,nil,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
1-Zimmer-Singlewohnung in zentraler Lage (nahe Finanzamt Bremen),89000.0,"Bahnhofsvorstadt, 28195 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,28.5,3123.0,Etagenwohnung,4.0,Sofort,nil,1,nil,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Eigentumswohnung in Bremen Hemelingen/Sebaldsbrück,185000.0,"Sebaldsbrück, 28309 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,70.0,2643.0,Etagenwohnung,15.0,nach Absprache,2,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schwachhausen / Modernisierte Maisonettewohnung mit Sonnenbalkon,328000.0,"Radio Bremen, 28211 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,82.0,4000.0,Maisonette,7.0,nil,nil,1,nil,"3,57 % inkl. gesetzlicher MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Modernisierte Eigentumswohnung mit Terrasse im Steintor,319000.0,"Steintor, 28203 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100.0,3190.0,nil,1.5,ab sofort,2,1,nil,"Die Courtage beträgt jeweils marktübliche 3,57 % inkl. MwSt. für den Käufer und den Verkäufer.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': ''}"
Blumenthal / Geräumige 3-Zimmer-Wohnung mit Balkon,139000.0,"Blumenthal (Ortsteil), 28779 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,78.0,1782.0,Etagenwohnung,,nil,2,1,nil,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Findorff / Attraktive 2-Zimmer-Wohnung in einem modernisierten Mehrfamilienhaus,169000.0,"Weidedamm, 28215 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,56.0,3018.0,nil,,nil,1,1,nil,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Gröpelingen / Gepflegte Erdgeschosswohnung mit Balkon,119000.0,"Gröpelingen (Ortsteil), 28237 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,45.0,2644.0,Etagenwohnung,6.0,nil,nil,nil,1 Stellplatz,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Alte Neustadt / Einzigartige 3-Zimmer-Wohnung mit zwei Balkonen und Blick auf die Kleine-Weser,269000.0,"Alte Neustadt, 28199 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,66.0,4076.0,Etagenwohnung,12.0,nil,nil,nil,nil,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Hastedt / Gemütliche Singlewohnung in ruhiger Lage,149000.0,"Hastedt, 28207 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,31.0,4806.0,Hochparterre,,nil,nil,1,1 Tiefgaragen-Stellplatz,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Vermietetes Apartment mit herrlichem Ausblick in Bremerhaven-Geestemünde,59000.0,"Mitte, 27568 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,33.0,1788.0,Etagenwohnung,4.0,nil,nil,1,nil,"7,14 %","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
