title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
3-Zimmer Eigentumswohnung mit bis zu 3 m hohen Decken - ein Traum!,599000.0,"Osdorf, 22609 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,84.91,7055.0,nil,,nil,1,nil,nil,"3,00% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Jugendstil-Altbau Wohnung in Außenalsternähe als Kapitalanlage,1700000.0,"Uhlenhorst, 22087 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,203.4,8358.0,nil,,nil,nil,nil,nil,"3,13 % vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Traumhafte Jugendstil-Altbau Wohnung als Kapitalanlage,1700000.0,"Uhlenhorst, 22087 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,199.0,8543.0,nil,,nil,nil,nil,nil,"3,13 % vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
2-Zimmer Wohnung mit Charme!,539000.0,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",2,69.54,7751.0,Etagenwohnung,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Traumhaftes Penthouse in Hamburg Alt-Osdorf,1249000.0,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",3,142.62,8758.0,Etagenwohnung,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Raumwunder: 3-Zimmer Eigentumswohnung mit beeindruckender Deckenhöhe,599000.0,"Osdorf, 22609 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85.91,6972.0,nil,,nil,nil,nil,nil,"3,00% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
HEINRICH45 - 100% Hamburg,477000.0,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",2,67.9,7025.0,Erdgeschosswohnung,,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Saniert + Vermietet - Kapitalanlage mit Perspektive! 3-Zimmer Eigentumswohnung,479000.0,"Tönninger Weg 5,
Osdorf, 22609 Hamburg",3,81.54,5874.0,nil,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Einzigartige Maisonette-Wohnung mit Alsterblick & Dachterrasse in grüner Oase,3900000.0,"Winterhude, 22301 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",220.0,17727.0,Maisonette,37.0,sofort,3,4,2 Tiefgaragen-Stellplätze,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Stadtnah & idyllisch! 2-Zimmer Traum mit umlaufendem großer Gartenfläche!,499000.0,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",2,64.87,7692.0,Etagenwohnung,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
HEINRICH45 - 100% Hamburg,749000.0,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",3,94.5,7926.0,Etagenwohnung,,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hochwertig ausgestattete 2-Zimmer Wohnung in bevorzugter Lage,549000.0,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",2,70.7,7765.0,Etagenwohnung,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Wunderschöne 4-Zimmer Gründerzeit Eigentumswohnung in Hamburg-Eimsbüttel,1190000.0,"Eimsbüttel (Ortsteil), 20259 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,147.0,8095.0,nil,,nil,nil,nil,nil,"3,13 % vom Netto-Verkaufspreis",{'is24qa-online-besichtigung-moeglich-label': ''}
Komfortables Wohnen in Top-Lage!,779000.0,"Tönninger Weg 1,
Osdorf, 22609 Hamburg",3,97.72,7972.0,Etagenwohnung,,nil,nil,nil,nil,"3,00 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
+ Eine Traumwohnung mit vielen Möglichkeiten +,449000.0,"Marienthal, 22043 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,114.89,3908.0,nil,,nach Absprache,1,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
HEINRICH45 – Eine runde Sache.,699000.0,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",3,94.5,7397.0,Etagenwohnung,,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Altbauperle mit 4,5 Zimmern! - Eimsbüttler Marktplatz 34・Eimsbüttel",689000.0,"Eimsbütteler Marktplatz 34,
Eimsbüttel (Ortsteil), 20257 Hamburg","4,5",105.0,6562.0,Etagenwohnung,,01.03.2025,nil,nil,nil,"3,25% inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
Charmante 2-Zimmer-Wohnung in ruhiger Lage von Stellingen,249000.0,"Stellingen, 22527 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,63.0,3952.0,nil,,nil,1,1,nil,"3,57 % inkl. MwSt. vom Kaufpreis","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
HEINRICH45 – Wohnen mit grüner Energie.,749000.0,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",3,96.1,7794.0,Etagenwohnung,,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hochparterre-Eigentumswohnung mit Garten in direkter Nähe zur Außenalster,1995000.0,"Rotherbaum, 20149 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",210.46,9479.0,nil,,nil,nil,nil,nil,"3,13% vom Netto-Verkaufspreis",{'is24qa-online-besichtigung-moeglich-label': ''}
HEINRICH45 – Grüner Daumen hoch.,529000.0,"Heinrich-Helbing-Straße 45,
Bramfeld, 22177 Hamburg",2,68.1,7768.0,Etagenwohnung,,Spätsommer 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schöne und hochwertige 5 Zimmer Eigentumswohnung in ruhiger Lage von Barmbek – frei lieferbar,695000.0,"Barmbek-Nord, 22145 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,138.0,5036.0,Etagenwohnung,,nach Vereinbarung,3,2,nil,"2,0 % des Kaufpreises zuzüglich der gesetzlichen Mehrwertsteuer","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Exklusive Loft-Wohnung im ruhigen Hinterhof mit eigener Terrasse zwischen Uhlenhorst und Barmbek-Süd,899000.0,"Barmbek-Süd, 22081 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,96.0,9365.0,Loft,,sofort,1,1,1 Stellplatz,"3,57% inkl. 19% MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Traumhafte Eigentumswohnung in direkter Nähe zur Außenalster,3095000.0,"Rotherbaum, 20149 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",226.0,13695.0,nil,,nil,nil,nil,nil,"3,13% vom Netto-Verkaufspreis",{'is24qa-online-besichtigung-moeglich-label': ''}
