title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
4 Zimmer Wohnung 1.OG mit Balkon,768300.0,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",4,119.27,6442.0,Etagenwohnung,10.0,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
VON POLL - BAD HOMBURG: Zwei-Zimmer-Wohnung in Ober-Eschbach,198000.0,"61352 Bad Homburg vor der Höhe, Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,55.0,3600.0,Etagenwohnung,5.0,nil,1,1,1 Tiefgaragen-Stellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
4-Zimmerwohnung 1. OG mit Balkon,768400.0,"Fraunhoferstraße 16,
61118 Bad Vilbel, Wetteraukreis",4,119.05,6454.0,Etagenwohnung,10.0,nil,1,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne und energieeffiziente Wohnung,249900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",1,38.24,6535.0,Etagenwohnung,3.0,Ende 2026,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
***Hochwertige 3 ZKB mit 2 Bädern und XXL-Balkon in beliebter Lage am Oberen Steinberg!***,480000.0,"63225 Langen (Hessen), Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120.0,4000.0,Etagenwohnung,,nil,2,2,2 Tiefgaragen-Stellplätze,"3,57 % Käuferprovision inkl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Großräumige 6 ZKB Dachgeschosswohnung in Obertshausen,549000.0,"63179 Obertshausen, Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,200.0,2745.0,Dachgeschoss,,nil,3,1,1 Außenstellplatz,"3,26%",{'is24qa-keller-label': ''}
"Exklusive, geräumige 4-Zimmer-Penthouse-Wohnung mit Balkon und Einbauküche in Weiterstadt",655000.0,"64331 Weiterstadt, Darmstadt-Dieburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,146.0,4486.0,Penthouse,4.75,1.6.2024,3,2,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
4-Zimmer EG Wohnung mit Terrasse und Gartennutzung,728500.0,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",4,113.12,6440.0,Terrassenwohnung,10.0,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
5-Zimmer Staffelgeschoßwohnung mit großer Dachterrasse,1097300.0,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",5,151.7,7233.0,Penthouse,10.0,nil,4,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Stilaltbau mit Garten im Holzhausenviertel, Erstbezug nach Kernsanierung",4250000.0,"Nordend-West, 60322 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,310.07,13707.0,Terrassenwohnung,,nil,nil,2,nil,"2,975% inkl. 19% gesetzl. MwSt. Käuferprovision","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Komfortable Wohnung mit Balkon und Keller,489900.0,"Alte Römerstraße 20,
63225 Langen (Hessen), Offenbach (Kreis)",4,101.27,4838.0,Etagenwohnung,3.0,Ende 2026,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Gartenstraße 7, 63683 Ortenberg",145000.0,"Gartenstraße 7,
63683 Ortenberg, Wetteraukreis",2,77.0,1883.0,Etagenwohnung,18.0,01.01.2024,1,2,1 Carport,4981,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
4-Zimmer Eigentumswohnung mit Terrasse,717100.0,"Fraunhoferstraße 18,
61118 Bad Vilbel, Wetteraukreis",4,110.48,6491.0,Terrassenwohnung,10.0,nil,1,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne Familienwohnung mit viel Komfort,479900.0,"Alte Römerstraße 20,
63225 Langen (Hessen), Offenbach (Kreis)",4,101.26,4739.0,Etagenwohnung,3.0,Ende 2026,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Provisionsfrei: Wunderschöne Zwei-Zimmer-Wohnung im Deutschherrnviertel / direkt am Main,660000.0,"Deutschherrnufer 48,
Sachsenhausen-Nord, 60594 Frankfurt am Main",2,74.03,8915.0,Etagenwohnung,5.0,sofort,1,1,1 Duplex-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
4 Zimmer Wohnung 1. OG mit Balkon,748400.0,"Fraunhoferstraße 14,
61118 Bad Vilbel, Wetteraukreis",4,116.62,6417.0,Etagenwohnung,10.0,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Attraktive Wohnung mit moderner Ausstattung,289900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",2,44.78,6474.0,Etagenwohnung,3.0,Ende 2026,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Mit elektrischen Rollläden und Video-Gegensprechanlage,419900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",3,81.99,5121.0,Terrassenwohnung,4.0,Ende 2026,2,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne und gepflegte 3-Zimmer-Wohnung im schönen Steinbach (Taunus),269000.0,"61449 Steinbach (Taunus), Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.0,3685.0,Etagenwohnung,8.0,nil,2,1,nil,3.57 % inkl. MwSt.,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
4-Zimmer EG Wohnung mit Terrasse und Gartennutzung,727100.0,"Fraunhoferstraße 14,
61118 Bad Vilbel, Wetteraukreis",4,110.48,6581.0,Terrassenwohnung,10.0,nil,3,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Attraktive Eigentumswohnung mit elektrischen Rollläden,509900.0,"Alte Römerstraße 20,
63225 Langen (Hessen), Offenbach (Kreis)",4,93.74,5440.0,Etagenwohnung,2.0,Ende 2026,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2 ZKB inkl. TG Stellplatz im Herzen von Bensheim !,225000.0,"64625 Bensheim, Bergstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,62.0,3629.0,nil,,nil,1,1,nil,"3,57 % inkl. 19 % MwSt. auf den notariell beurkundeten Kaufpreis.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
3 Zimmer Wohnung 1.OG mit Balkon,597700.0,"Fraunhoferstraße 12,
61118 Bad Vilbel, Wetteraukreis",3,93.94,6363.0,Etagenwohnung,10.0,nil,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Mit großzügigem und offenen Wohn- und Küchenbereich,419900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",3,83.63,5021.0,Etagenwohnung,2.0,Ende 2026,2,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Komfortable Wohnung mit lichtdurchfluteter Wohnküche,449900.0,"63225 Langen (Hessen), Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,77.43,5810.0,Etagenwohnung,3.0,Ende 2026,2,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Erstbezug mit großem Balkon, Aufzug und PKW-Stellplatz",1790000.0,"Westend-Süd, 60325 Frankfurt am Main
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,148.67,12040.0,nil,,nil,nil,2,1 Außenstellplatz,"2,975% inkl. 19% gesetzl. MwSt. Käuferprovision","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Mit sonnigem Balkon und lichtdurchfluteter Wohnküche,419900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",3,80.87,5192.0,Etagenwohnung,2.0,Ende 2026,2,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Lichtdurchflutete Räume dank bodentiefer Fenster,429900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",3,84.24,5103.0,Terrassenwohnung,4.0,Ende 2026,2,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ihr lichtdurchflutetes neues Zuhause,449900.0,"63225 Langen (Hessen), Offenbach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,78.6,5724.0,Etagenwohnung,3.0,Ende 2026,nil,1,1 Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"VON POLL - OBERURSEL: Moderne, ruhige Wohnung am Waldrand in U-Bahn-Nähe und FIS",498000.0,"61440 Oberursel (Taunus), Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,97.13,5127.0,Dachgeschoss,9.0,nil,2,2,1 Carport,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': ''}"
Großzügig geschnittene Zimmer sorgen für viel Platz,509900.0,"Alte Römerstraße 20,
63225 Langen (Hessen), Offenbach (Kreis)",4,103.61,4921.0,Etagenwohnung,3.0,Ende 2026,3,2,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
VON POLL - OBERURSEL: Helle und großzügige 3-Zimmer-Wohnung mit Süd/Ost-Loggia und U-Bahn-Anschluss,330000.0,"61440 Oberursel (Taunus), Hochtaunuskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,98.0,3367.0,Etagenwohnung,7.0,nil,2,1,1 Außenstellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
4 Zimmer Wohnung 2. OG mit Balkon,775900.0,"Fraunhoferstraße 16,
61118 Bad Vilbel, Wetteraukreis",4,119.05,6517.0,Etagenwohnung,10.0,nil,1,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne Familienwohnung mit viel Komfort,519900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",4,93.74,5546.0,Etagenwohnung,2.0,Ende 2026,3,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ihr neues Zuhause mit offenem Wohnbereich und Balkon,499900.0,"Alte Römerstraße 20,
63225 Langen (Hessen), Offenbach (Kreis)",4,101.27,4936.0,Etagenwohnung,3.0,Ende 2026,23,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3 Zimmerwohnung Erdgeschoß mit Terrasse und Gartennutzung,574300.0,"Fraunhoferstraße 16,
61118 Bad Vilbel, Wetteraukreis",3,90.26,6363.0,Terrassenwohnung,10.0,nil,1,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
5 Zimmer Staffelgeschoss-Wohnung mit Dachterrasse,1046600.0,"Fraunhoferstraße 16,
61118 Bad Vilbel, Wetteraukreis",5,150.25,6966.0,Dachgeschoss,10.0,nil,1,2,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderne und neugebaute Wohnung zu attraktivem Kaufpreis,439900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",3,83.68,5257.0,Etagenwohnung,3.0,Ende 2026,2,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3-Zimmer EG Wohnung mit Terrasse und Gartennutzung,572500.0,"Fraunhoferstraße 14,
61118 Bad Vilbel, Wetteraukreis",3,89.72,6381.0,Terrassenwohnung,10.0,nil,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Barrierefreie Wohnung mit bodentiefen Fenstern,299900.0,"Alte Römerstraße 22,
63225 Langen (Hessen), Offenbach (Kreis)",2,44.78,6697.0,Etagenwohnung,3.0,Ende 2026,1,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
