title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eigentumswohnung im Grünen mit Blick auf die Skyline Rostocks,288900.0,"Graf-Stauffenberg-Straße 1,
Toitenwinkel, 18147 Rostock",3,84.0,3439.0,Dachgeschoss,84.0,nil,2,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Schöne Erdgeschosswohnung in Hohe Düne (Warnemünde), TG-Stellplatz, Südterrasse, Wasserblick, EBK",275000.0,"Seebad Hohe Düne, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,61.25,4490.0,Terrassenwohnung,,nil,1,1,Tiefgaragen-Stellplatz,"3,57 % inkl. 19 % gesetzl. MwSt. vom Kaufpreis","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"günstige ostseenahe Dreiraumwohnung mit Balkon, Wannenbad mit Fenster und gr. Keller! Vertragsfrei!",68500.0,"Breitscheidallee 0,
18236 Kröpelin, Rostock (Kreis)",3,59.0,1161.0,Etagenwohnung,10.0,ab sofort möglich,2,1,Außenstellplatz,"3,57 % inkl. MwSt. vom Kaufpreis","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Komfortable, gepflegte 2-Zimmer-Erdgeschosswohnung mit Terrasse und PKW-Stellplatz",236500.0,"Alte Strandstraße 39,
17454 Zinnowitz, Vorpommern-Greifswald (Kreis)",2,54.0,4380.0,Erdgeschosswohnung,,30.1.2024,1,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Nostalgie von außen, Moderne von innen: Wohnungen in Bäderstil-Villa",196000.0,"18609 Binz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,28.0,7000.0,Etagenwohnung,,nach Vereinbarung,1,1,1 Carport,"3,57% inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
Erstbezug - Eigentumswohnung mit zwei Balkonen im Bahnhofsviertel *provisionsfrei*,598000.0,"Lessingstraße 13,
Stadtmitte, 18055 Rostock",3,101.0,5921.0,Etagenwohnung,,01.11.2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Moderne 4-Zimmerwohnung, barrierearm, 3 Stellplätzen, Gäste-WC, EBK in Ostseenähe",395000.0,"Storchenwiese 0,
18211 Börgerende-Rethwisch, Rostock (Kreis)",4,98.0,4031.0,Terrassenwohnung,,nach Vereinbarung,3,1,3 Stellplätze,"3,57% inkl. MwSt. vom Kaufpreis","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Nostalgie von außen, Moderne von innen: Wohnungen in Bäderstil-Villa",224000.0,"18609 Binz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,32.0,7000.0,Dachgeschoss,,nil,nil,1,1 Carport,"3,57 % inkl. ges. MwSt.",{}
"Eigentumswohnung im 2FH, OG/DG mit Balkon und Garten (En.Eff.Kl. A) an der Ostsee!",339500.0,"23968 Zierow, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,95.0,3574.0,Erdgeschosswohnung,105.0,nil,2,1,1 Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Moderner Wohnkomfort in zentraler Lage,235000.0,"Tribseer, 18437 Stralsund
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,63.71,3689.0,Etagenwohnung,,nach Vereinbarung,1,1,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
