title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
moderne 3 Zi Wohnung mit Balkon in Arnum,179500.0,"30966 Hemmingen, Hannover (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,76.0,2362.0,Etagenwohnung,6.0,nach Absprache,2,1,nil,"2,975 % incl. Mwst. vom Kaufpreis","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Frisch renovierte Wohnung mit Balkon in zentraler Innenstadtlage von Göttingen.,58000.0,"Maschmühlenweg 6,
Nordstadt, 37073 Göttingen",1,34.0,1706.0,nil,,nil,nil,1,nil,"2,38% vom Kaufpreis inkl. der gesetzlichen MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Gemütliche 1-Zi.-Wohnung im Erdgeschoss,53000.0,"38640 Goslar, Goslar (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,31.0,1710.0,Erdgeschosswohnung,5.0,sofort,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Kernsanierte ETW im 2. OG im KfW 55 Standard,498500.0,"Wüste, 49080 Osnabrück
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,110.39,4516.0,Etagenwohnung,,nach Absprache,nil,nil,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Moderne 4-Zimmerwohnung mit Balkon und Carport in Wolfsburg-Ehmen! Mein Haus = mein Makler!,498000.0,"Ehmen, 38442 Wolfsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,121.0,4116.0,Etagenwohnung,20.0,ab sofort,3,1,1 Carport,"Je 2,58 % inkl. USt.Die Provision ist mit der Beurkundung verdient & vom Käufer+Verkäufer zu zahlen.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Großzügige Eigentumswohnung direkt am Deich,455000.0,"Klaus-Groth-Str. 6,
27472 Cuxhaven, Cuxhaven (Kreis)",7,153.0,2974.0,Erdgeschosswohnung,,nil,nil,2,nil,"3,57 % inkl. MwSt",{'is24qa-online-besichtigung-moeglich-label': ''}
Großburgwedel: Exzellentes Wohnen mit viel Platz auf 3 Etagen in bester Lage & PKW-Garage !!,598000.0,"30938 Burgwedel, Hannover (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,136.0,4397.0,nil,20.0,Sofort oder Nach Absprache!,3,2,1 Garage,"3,57 % inkl. 19 % MwSt.",{'is24qa-gaeste-wc-label': ''}
Schöne Wohnung in der List sucht liebevolle Familie,315000.0,"List, 30161 Hannover
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,85.0,3706.0,Etagenwohnung,,Nach Rücksprache.,2,1,nil,"2,975 % v. Kaufpreis (inkl. ges. MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Schön geschnittene 3-Zimmer-Wohnung mit überdachter Loggia, Gartenanteil und 2 Garagen",229000.0,"Hehlingen, 38446 Wolfsburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,117.0,1957.0,Etagenwohnung,0.0,nil,2,1,2 Garagen,"3,57% vom Kaufpreis inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Kernsanierte ETW im DG im KfW 55 Standard,485000.0,"Wüste, 49080 Osnabrück
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,101.68,4770.0,Etagenwohnung,,nach Absprache,nil,nil,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
