title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
3 Zimmer Eigentumswohnung im 2.OG/DG in Ortsrandlage von Herxheim!,179800.0,"76863 Herxheim bei Landau/Pfalz, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,62.29,2886.0,Dachgeschoss,11.3,Nach Vereinbarung,2,1,1 Außenstellplatz,"3,57 % v. Kaufpreis inkl. der gesetzlichen MwSt","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Tolles Appartement mit Nebengebäude – Sofort bezugsfrei !!!,130000.0,"67360 Lingenfeld, Germersheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,45.0,2889.0,Etagenwohnung,2.0,sofort,1,1,Außenstellplatz,"3,57%",{'is24qa-als-ferienwohnung-geeignet-label': ''}
3 Zimmer Eigentumswohnung im EG in Ortsrandlage von Herxheim!,229800.0,"76863 Herxheim bei Landau/Pfalz, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,77.78,2954.0,Erdgeschosswohnung,12.2,Nach Vereinbarung,2,1,1 Außenstellplatz,"3,57 % v. Kaufpreis inkl. der gesetzlichen MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Doppelhaushälfte, gehobene Ausstattung in Steinfeld",429000.0,"76889 Steinfeld, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,146.82,2922.0,Sonstige,,nil,nil,nil,3 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Attraktive und hochwertige Eigentumswohnung in schöner Wohnlage mit bester Anbindung an die A3,233200.0,"56587 Oberhonnefeld-Gierend, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,82.0,2844.0,Erdgeschosswohnung,,nil,nil,nil,1 Außenstellplatz,"2,38 % inkl. ges. MwSt.",{}
Attraktive und hochwertige Eigentumswohnung in schöner Wohnlage mit bester Anbindung an die A3,185000.0,"56587 Oberhonnefeld-Gierend, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.0,2534.0,Etagenwohnung,,nil,nil,nil,1 Außenstellplatz,"2,38 % inkl. ges. MwSt.",{}
"***Einmalige Gelegenheit! Zwei zusammenhängende Wohnungen, im historischen Ambiente***",465000.0,"67159 Friedelsheim, Bad Dürkheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,135.0,3444.0,Erdgeschosswohnung,20.0,nach Vereinbarung,2,2,2 Tiefgaragen-Stellplätze,"3,57 % inkl. 19 % MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
"Attraktive Eigentumswohnung in repräsentativem historischem Gebäude, direkt an der schönen Lahn",186500.0,"56130 Bad Ems, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,82.0,2274.0,Etagenwohnung,,nil,1,1,nil,"2,9","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Gepflegte Wohnung mit drei Zimmern und Balkon,259000.0,"Freiligrathstraße 3,
Oberstadt, 55131 Mainz",3,68.5,3781.0,Terrassenwohnung,,Sofort,2,1,nil,"3,57 % ink 19% MwSt","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Vermietete 2 Raumwohnung mit Balkon + Stellplatz,139000.0,"76887 Bad Bergzabern, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,50.0,2780.0,Etagenwohnung,6.0,nil,1,1,Außenstellplatz,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
3 Zimmer Eigentumswohnung im 1.OG in Ortsrandlage von Herxheim!,214900.0,"76863 Herxheim bei Landau/Pfalz, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.32,2931.0,Etagenwohnung,12.2,Nach Vereinbarung,2,1,1 Außenstellplatz,"3,57 % v. Kaufpreis inkl. der gesetzlichen MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
3 Zimmer Eigentumswohnung im 1.OG in Ortsrandlage von Herxheim!,214900.0,"76863 Herxheim bei Landau/Pfalz, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.29,2932.0,Etagenwohnung,13.4,Sofort (01.05.2024) oder nach Vereinbarung,2,1,1 Außenstellplatz,"3,57 % v. Kaufpreis inkl. der gesetzlichen MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
+++ 1 Zimmer Apartment +++ seniorengerechtes barrierefreies Wohnen +++ in Schönenberg-Kübelberg +++,59900.0,"66901 Schönenberg-Kübelberg, Kusel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,31.0,1932.0,Erdgeschosswohnung,,derzeit vermietet !,nil,1,nil,"3,57 % des Kaufpreises incl. 19 % MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
Moderne 2 ZKBB mit 2 PKW-Stellplätzen in der Tiefgarage !,319000.0,"Oggersheim, 67071 Ludwigshafen am Rhein
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,69.78,4572.0,Etagenwohnung,,zu vereinbaren,1,1,2 Außenstellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Exklusive Eigentumswohnung in ruhiger Randlage von Hassloch,378000.0,"Rieslingstrasse 25+27,
67454 Haßloch, Bad Dürkheim (Kreis)",2,70.0,5400.0,Etagenwohnung,6.0,2025,1,1,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
1 Zimmer Eigentumswohnung im 2.OG/DG in Ortsrandlage von Herxheim!,109800.0,"76863 Herxheim bei Landau/Pfalz, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,37.13,2957.0,Dachgeschoss,6.1,Nach Vereinbarung,1,1,1 Außenstellplatz,"3,57 % v. Kaufpreis inkl. der gesetzlichen MwSt","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Attraktive und hochwertige Eigentumswohnung,220000.0,"56587 Oberhonnefeld-Gierend, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,82.0,2683.0,Etagenwohnung,,nil,nil,nil,1 Außenstellplatz,"2,38 % inkl. ges. MwSt.",{}
Wohnen in historischer Hofanlage - Altbauliebhaber aufgepasst!,299000.0,"76865 Insheim, Südliche Weinstraße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,190.0,1574.0,Maisonette,91.0,nach Vereinbarung,4,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
"Von privat (ohne Makler): Geschmackvolle 2,5-Raum-Wohnung mit Balkon und Einbauküche",360000.0,"Backhaushohl 10,
Oberstadt, 55128 Mainz",2,78.83,4567.0,Etagenwohnung,16.62,3.8.2023,1,1,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnung im 3. OG - guter Zustand + provisionsfrei +,258000.0,"Langendorfer Straße XXXX,
56564 Neuwied, Neuwied (Kreis)",1,82.45,3129.0,nil,4.64,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
3-Zimmer-Wohnung mit Balkon,186000.0,"Ritterstraße XXXX,
00000 Mutterstadt, Rhein-Pfalz-Kreis",3,98.59,1887.0,nil,,nil,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2 ZKB Wohnung neben Dom und Jugendherberge (vermietet als 1ZKB ohne Nutzung des zusätzlichen Raumes),99000.0,"Stadtzentrum, 67547 Worms
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,47.0,2106.0,Etagenwohnung,,nil,1,1,nil,"3,57 % inkl. gesetzl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
**exklusive Eigentumswohnung mit Garage und Balkon in Aussichtslage von Betzdorf**,259000.0,"57518 Betzdorf, Altenkirchen (Westerwald) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,123.51,2097.0,Dachgeschoss,,nil,1,1,nil,"3,57% des Kaufpreises inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': ''}"
Küche nach Wahl * bezaubernde Altbauwohnung inclusive !,373000.0,"55411 Bingen am Rhein, Mainz-Bingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,93.0,4011.0,Etagenwohnung,,sofort,2,1,nil,"2,975 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Charmante Eigentumswohnung in Worms-Neuhausen!,98000.0,"Neuhausen, 67549 Worms
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,33.0,2970.0,Etagenwohnung,,nach Absprache,nil,1,nil,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
"Moderne Eigentumswohnung in der Nähe der Innenstadt und des ""Wäldchens"", 2010 renoviert (360° Tour)",225000.0,"Innenstadt Süd, 67547 Worms
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,86.0,2616.0,Etagenwohnung,,nil,2,1,1 Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Großzügige 2-Zimmer-Wohnung mit Loggia und Stellplatz,122000.0,"Yorckstraße XXXX,
Süd, 67061 Ludwigshafen am Rhein",2,85.3,1430.0,nil,,nil,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Behindertengerechte 2-Zimmer-Wohnung, Terrasse und 2 Stellplätze",213000.0,"Albert-Haueisen-Ring XXXX,
Oggersheim, 67071 Ludwigshafen am Rhein",2,66.0,3227.0,nil,,nil,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen im historischen Stadtkern,249000.0,"Kernstadt, 67346 Speyer
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72.51,3434.0,Etagenwohnung,,nil,2,1,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-vermietet-label': ''}
Lichtdurchflutete Wohnung mit Balkon und praktischer Raumaufteilung in zentraler Lage von Worms,240000.0,"Stadtzentrum, 67547 Worms
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,86.0,2791.0,Etagenwohnung,,nil,2,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Hübsche Dachgeschosswohnung mit 2 Balkonen,159000.0,"55411 Bingen am Rhein, Mainz-Bingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,69.0,2304.0,Dachgeschoss,,01.08.2024,2,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Modernes Wohnen in begehrter Lage,275000.0,"67354 Römerberg, Rhein-Pfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72.0,3819.0,Dachgeschoss,10.0,sofort,2,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Schön sanierte Etagenwohnung mit Balkon in KO auf der Pfaffendorfer Höhe! *Sofort bezug,288000.0,"Pfaffendorfer Höhe, 56076 Koblenz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90.49,3183.0,Erdgeschosswohnung,3.35,sofort,2,nil,nil,"2,38% inklusive gesetzlicher MwSt.",{'is24qa-gaeste-wc-label': ''}
Wohnung mit Garage,178000.0,"Nordring XXXX,
Landau, 76829 Landau in der Pfalz",1,106.47,1672.0,nil,,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Geräumige 4-Zimmer-Wohnung in Koblenz-Horchheim zu verkaufen. Erstbezug nach Sanierung!,284900.0,"Horchheim, 56076 Koblenz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,85.1,3348.0,Etagenwohnung,8.8,sofort,3,1,nil,"2,38% inklusive gesetzlicher MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Sonnendurchflutete, energieeffiziente Dachwohnung mit Fernblick",378000.0,"55543 Bad Kreuznach, Bad Kreuznach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,94.0,4021.0,Dachgeschoss,,Nach Vereinbarung,2,2,2 Stellplätze,"3,57% inkl. MwSt","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Wohnung mit Loggia + provisionsfrei +,245000.0,"Pfarrhofstraße XXXX,
55411 Bingen am Rhein, Mainz-Bingen (Kreis)",2,55.04,4451.0,nil,0.0,nil,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-ZKB-Neubau Wohnung am Fasaneriewald!,220000.0,"Stadtmitte, 66482 Zweibrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,72.0,3056.0,Erdgeschosswohnung,,nil,1,1,1 Außenstellplatz,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
