title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Wohnen im Schlossgarten in Merzig-Hilbringen,385000.0,"Schlossberg 11,
66663 Merzig, Merzig-Wadern (Kreis)",3,94.62,4069.0,Etagenwohnung,94.62,nil,2,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlage in gefragter Lage von Saarlouis zu verkaufen,125000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,88.0,1420.0,Erdgeschosswohnung,,nil,2,1,2 Außenstellplätze,"2,975 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
Sonnenhelle ETW mit Balkon & Stellplatz!,164900.0,"66787 Wadgassen, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,81.0,2036.0,nil,,nil,2,1,nil,"3,57 % inkl. 19 % MwSt. vom notariellen Kaufpreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
schicke Eigentumswohnung - SB-City,349000.0,"St. Johann, 66111 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100.0,3490.0,Etagenwohnung,,nil,2,1,nil,3 % zzgl. ges. MwSt.,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Wohnen im Schlossgarten in Merzig-Hilbringen,355000.0,"Schlossberg 11,
66663 Merzig, Merzig-Wadern (Kreis)",3,84.54,4199.0,Etagenwohnung,84.54,nil,2,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"St. Arnual Winterberg - 4 ZKB DG Wohnung, als Maisonette ausbaubar",220000.0,"Winterbergstraße 20a,
St. Arnual, 66119 Saarbrücken",4,77.0,2857.0,Etagenwohnung,34.0,nil,3,1,1 Garage,"3,57% inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanlage - Vermietete Apartmentwohnung in Sulzbacher Nebenstraße,44900.0,"66280 Sulzbach/Saar, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,37.0,1214.0,Erdgeschosswohnung,3.0,vermietet (Kapitalanlage),1,1,nil,"3,57 % (inkl. MwSt.), mindestens aber 2.500 € (inkl. Mwst.) inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
St. Arnual Winterberg - 2 ZKB EG Wohnung mit Terrasse,105000.0,"Winterbergstraße 20a,
St. Arnual, 66119 Saarbrücken",2,46.0,2283.0,Etagenwohnung,4.0,nil,1,1,1 Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
renovierte Eigentumswohnung - SB City,239000.0,"St. Johann, 66111 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,68.0,3515.0,Etagenwohnung,,nil,1,1,nil,3 % zzgl. ges. MwSt.,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
3-ZKB Maisonette-Wohnung mit Dachterrasse und Stellplatz,139000.0,"Am Krenzelsberg 122,
Burbach, 66115 Saarbrücken",3,70.0,1986.0,Maisonette,20.0,Sofort,2,1,nil,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Schöne Eigentumswohnung - SB City,299000.0,"St. Johann, 66111 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100.0,2990.0,Etagenwohnung,,nil,3,1,nil,3 % zzgl. ges. MwSt.,{'is24qa-balkon-terrasse-label': ''}
Wohnen im Schlossgarten in Merzig-Hilbringen,355000.0,"Schlossberg 11,
66663 Merzig, Merzig-Wadern (Kreis)",2,86.18,4119.0,Erdgeschosswohnung,86.0,nil,1,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"St. Arnual Winterberg - 4 ZKB Wohnung mit Terrasse, 2 Balkonen und Garage",250000.0,"Winterbergstraße 20a,
St. Arnual, 66119 Saarbrücken",4,98.0,2551.0,Etagenwohnung,4.0,Sofort,3,1,1 Garage,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Pflegeapartments | 20 Jahre garantierte Rendite | Kaum Verwaltungsaufwand,250000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,60.0,4167.0,nil,60.0,2024,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
BEXBACH-ZENTRUM; TOP GEPFLEGTE EIGENTUMSWOHNUNG IN ZENTRALER LAGE MIT STELLPLÄTZEN,275000.0,"66450 Bexbach, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,150.0,1833.0,Erdgeschosswohnung,,sofort,6,1,3 Außenstellplätze,"3,57 % (vom Kaufpreis incl. MwSt.)",{}
Wohnen im Schlossgarten in Merzig-Hilbringen,385000.0,"Schlossberg 11,
66663 Merzig, Merzig-Wadern (Kreis)",3,94.35,4081.0,Etagenwohnung,94.35,nil,2,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Pflegeapartments | 20 Jahre garantierte Rendite | Kaum Verwaltungsaufwand,350000.0,"St. Arnual, 66119 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","1,5",89.0,3933.0,nil,89.0,2024,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"RIEGELSBERG : 3 ZKB - MAISONETTE - Wohnung ( 104,8 m² ) mit BALKON und GARAGE !",149000.0,"66292 Riegelsberg, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,104.8,1422.0,Maisonette,,nil,2,1,1 Garage,"3,57 % ( incl. 19 % MwSt )",{'is24qa-balkon-terrasse-label': ''}
Pflegeapartments | 20 Jahre garantierte Rendite | Kaum Verwaltungsaufwand,250000.0,"66606 Sankt Wendel, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,60.0,4167.0,nil,60.0,2024,1,1,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Neubau Eigentumswohnung in Saarbrücken-Güdingen,222021.0,"Güdingen, 66130 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,54.82,4050.0,Etagenwohnung,,nil,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Einfach bezaubernd! 3 ZKB mit Balkon in SB-Rastpfuhl,179000.0,"Burbach, 66113 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,104.0,1721.0,Etagenwohnung,,sofort,2,1,Tiefgaragen-Stellplatz,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Charmante 1,5 Zimmer-Wohnung mit idyllischem Waldpanorama",49000.0,"66538 Neunkirchen, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","1,5",36.0,1361.0,Etagenwohnung,,nil,nil,1,Garage,"Die Käuferprovision beträgt 3,57 % des Kaufpreises inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
