title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eigennutzer aufgepasst! Sonnige Eigentumswohnung mit Loggia und Tiefgaragenstellplatz. Verfügbar ab,150000.0,"Cracau, 39114 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,63.9,2347.0,Erdgeschosswohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,"4,17 % des Kaufpreises inkl. der gesetzl. MWSt.","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Barrierefreies Wohnen mit Terrasse / Moderne Erdgeschoss-Eigentumswohnung im Herzen von Raguhn!,197100.0,"06779 Raguhn, Anhalt-Bitterfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,68.96,2858.0,Erdgeschosswohnung,,nil,1,1,nil,Provisionfrei,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-stufenloser-zugang-label': ''}"
*NEUBAU* Eigentumswohnung mit offener Küche und Balkon,249240.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,82.5,3021.0,Etagenwohnung,,nil,nil,nil,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Wohnen in Brauns Quartier - Verkaufsstart für Haus 3!,263720.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",2,63.5,4153.0,nil,,06/2025,1,1,Außenstellplatz,Nein,"{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gemütliche Eigentumswohnung mit 2 Bädern NEUBAU,258600.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90.6,2854.0,Etagenwohnung,,nil,nil,2,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
EINMALIG! SCHÖNE 3-RAUMWOHNUNG MIT GROSSZÜGIGEM NACH SÜDEN GERICHTETEM GARTEN,187900.0,"Freiligrathstraße 1,
06217 Merseburg, Saalekreis",3,87.0,2160.0,Etagenwohnung,,sofort,nil,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Am Landesmuseum in Halle! Frei beziehbare 2-Zimmer ETW mit Blk zu verkaufen!,249000.0,"Giebichenstein, 06114 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,87.0,2862.0,Dachgeschoss,87.0,11.2023,1,1,nil,"4,76%",{'is24qa-balkon-terrasse-label': ''}
Attraktive Gelegenheit: Schönes Apartment mit Balkon und Stellplatz in gut angebundener Lage,55000.0,"39326 Hermsdorf, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,45.0,1222.0,nil,,ab sofort,1,1,1 Außenstellplatz,"2975,00 €","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': ''}"
Interessante 2.R.Whg. mit 77 m² im Dachgeschoß,134000.0,"Neustädter Feld, 39128 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,77.0,1740.0,Dachgeschoss,77.0,sofort,1,1,nil,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Einsteigerimmobilie für Kapitalanleger! Niedliche Single-Wohnung in Magdeburg,68000.0,"Neue Neustadt, 39124 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,45.0,1511.0,Etagenwohnung,,nil,nil,1,nil,4 % inkl. ges. MwSt.,{'is24qa-vermietet-label': ''}
Bezugsfertige 2-Raum Eigentumswohnung direkt an der Elbe,240000.0,"Am Stadthafen 6,
06886 Lutherstadt Wittenberg, Wittenberg (Kreis)",2,62.42,3845.0,Etagenwohnung,,II. Quartal 2023,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
*NEUBAU* Maisonette-Wohnung,396720.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,129.2,3071.0,Maisonette,3070.59,nil,nil,nil,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Wohnen in Brauns Quartier - Verkaufsstart für Haus 3!,273790.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",2,67.0,4086.0,nil,,12/2024,1,1,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Wohnen in Brauns Quartier - Verkaufsstart für Haus 3!,295450.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",2,72.5,4075.0,nil,,12/2024,1,1,Außenstellplatz,Nein,"{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Interessante Kapitalanlage im Giebichensteinviertel: Vermietete 1-Zimmer-Wohnung im DG,85000.0,"Mozartstraße 12,
Giebichenstein, 06114 Halle (Saale)",1,35.34,2405.0,Dachgeschoss,,nil,1,1,nil,"3,57 % des Kaufpreises (inkl. MwSt.)","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Bezugsfertige 2-Raum Eigentumswohnung direkt an der Elbe,240000.0,"Am Stadthafen 7,
06886 Lutherstadt Wittenberg, Wittenberg (Kreis)",2,62.42,3845.0,Etagenwohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
*NEUBAU* 3-Zimmer Eigentumswohnung,308760.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,108.8,2838.0,Etagenwohnung,,nil,nil,nil,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Aktion Preissenkung! Schicke Penthouse 3-Raumwohnung (WE 13) in der südlichen Innenstadt,389900.0,"Liebenauer Straße 42,
Lutherplatz/Thüringer Bahnhof, 06110 Halle (Saale)",3,91.0,4285.0,Penthouse,,nach Vereinbarung,nil,nil,1 Außenstellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Aktion Preissenkung! schöne 3-Raumwohnung (WE 4) in der südlichen Innenstadt inkl. Stellplatz, uvm.",309900.0,"Liebenauer Straße 41,
Lutherplatz/Thüringer Bahnhof, 06110 Halle (Saale)",3,73.0,4245.0,Etagenwohnung,,nach Vereinbarung,nil,nil,1 Außenstellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
*NEUBAU* große Eigentumswohnung im Dachgeschoss,400560.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130.6,3067.0,Dachgeschoss,,nil,nil,nil,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Wohnen in Brauns Quartier - eine große Dachterrasse wartet auf Sie!!!!!,450015.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",3,111.0,4054.0,Penthouse,,12/2024,2,2,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
SCHÖNE 3-RAUMWOHNUNG IM 4-FAMILIENHAUS MIT LOGGIA UND BALKON,179900.0,"Freiligrathstraße 1,
06217 Merseburg, Saalekreis",3,87.0,2068.0,Etagenwohnung,,sofort,nil,nil,nil,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Modernes Wohnen in Brauns Quartier - eine große Dachterrasse wartet auf Sie!!!!!,551665.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",4,135.0,4086.0,Penthouse,,12/2024,3,1,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Eigentumswohnung mit Sonnenterrasse *NEUBAU*,407280.0,"38820 Halberstadt, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,129.7,3140.0,Dachgeschoss,,nil,nil,nil,2 Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
++ Top-Preis-Leistungs-Verhältnis ++ Erstbezug moderne 2-Zimmer-Wohnung mit Balkon ++,260450.0,"Schwimmbadstraße 9,
39326 Wolmirstedt, Börde (Kreis)",2,78.93,3300.0,Etagenwohnung,,voraussichtlich Juni 2024,1,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vermietete 3-Zi.-Erdgeschosswhg. als Anlageobjekt in Hermsdorf,67500.0,"39326 Hermsdorf, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,71.33,946.0,Erdgeschosswohnung,,nach Absprache,2,1,Außenstellplatz,"2975,00 €","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-vermietet-label': ''}"
Umfassend sanierte 2-Zi.-ETW mit Garten und Stellplatz in Grünlage bei Leipzig und Halle,120000.0,"06792 Sandersdorf, Anhalt-Bitterfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60.82,1973.0,Etagenwohnung,,nach Absprache,2,1,1 Außenstellplatz,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
Modernes Wohnen in Brauns Quartier - Verkaufsstart für Haus 3!,232845.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",2,56.0,4158.0,Etagenwohnung,,12/2024,1,1,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
vermietete Eigentumswohnung WE-Nr. 1 in Bitterfeld-Wolfen,38000.0,"06749 Bitterfeld-Wolfen, Anhalt-Bitterfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,56.0,679.0,Erdgeschosswohnung,,nil,1,1,nil,"zzgl. 11,90 % (inkl. MwSt.) Käufer-Aufgeld auf den Zuschlagspreis","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Modernes Wohnen in Brauns Quartier - Verkaufsstart für Haus 3!,288600.0,"Harzweg 12,
06484 Quedlinburg, Harz (Kreis)",2,67.0,4307.0,Erdgeschosswohnung,,12/2024,1,1,Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
reserviert - Bezugsfertige 3-Raum Eigentumswohnung direkt an der Elbe,325000.0,"Am Stadthafen 7,
06886 Lutherstadt Wittenberg, Wittenberg (Kreis)",3,80.83,4021.0,Etagenwohnung,,II. Quartal 2023,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
helle gepflegte Eigentumswohnung mit Cityblick an der Jeetze,115000.0,"29410 Salzwedel, Altmarkkreis Salzwedel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,54.0,2130.0,Etagenwohnung,25.0,nil,1,1,1 Parkhaus-Stellplatz,"3,57 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
Freundliche 3-Zimmer-Wohnung in Wernigerode,102000.0,"38855 Wernigerode, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,63.0,1619.0,Etagenwohnung,63.0,nil,1,1,1 Garage,Nein,"{'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Langfristig vermietet! Kein Eigenaufwand!,220000.0,"06366 Köthen (Anhalt), Anhalt-Bitterfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,55.0,4000.0,Etagenwohnung,,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Sichern Sie sich Ihren Pflegeplatz für später!,220000.0,"06406 Bernburg (Saale), Salzlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,55.0,4000.0,Etagenwohnung,,nil,nil,nil,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
URBANES WOHNEN MIT STIL UND KOMFORT,119000.0,"Leipziger Straße, 39120 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,60.0,1983.0,Etagenwohnung,,nil,2,1,nil,"3,57 % inkl. MwSt.,","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
