title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Schöne Maisonette-Wohnung im beliebten Zentrum-West,225000.0,"Zentrum-West, 04109 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,58.0,3879.0,Maisonette,,nil,nil,nil,nil,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanleger aufgepasst: Vermietete 2-Raum-Wohnung mit Balkon und TG-Stellplatz in Burkhardtsdorf,45000.0,"Amselring 1,
09235 Burkhardtsdorf, Erzgebirgskreis",2,49.7,905.0,Etagenwohnung,,nil,2,1,1 Tiefgaragen-Stellplatz,"4,76 % inkl. MwSt. jedoch mindestens 2.975,00 € inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Modernes Wohnen im Herzen von Heiterblick,240000.0,"Heiterblick, 04329 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,102.0,2353.0,nil,,01.04.2024,nil,1,nil,3.57 %,"{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Exklusive Stadtwohnung mit Gartenanteil - Kapitalanleger und Singles aufgepasst!,190000.0,"Zentrum-Süd, 04107 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60.0,3167.0,nil,,nil,nil,1,nil,siehe Sonstiges,"{'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
+++ Lichtdurchflutete 3-Zimmer-Wohnung mit Süd-Balkon in sehr guter Lage +++,219000.0,"Striesen-West, 01309 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75.58,2898.0,Etagenwohnung,,nil,2,1,nil,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Einzigartige 1-Raum-Wohnung mit historischem Flair und modernem Komfort,69000.0,"Kaßberg, 09112 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,49.5,1394.0,Etagenwohnung,,nil,1,1,nil,"3,57% inkl. 19% MwSt. vom notariellen Kaufpreis.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
2 Zimmer mit Altbau-Charme und Balkon in Gohlis,220000.0,"Gohlis-Mitte, 04157 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,79.0,2785.0,nil,,nil,nil,nil,nil,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Freistehende 2- Zimmer Wohnung mit Balkon und KFZ- Stellplatz in Graupa,115000.0,"August- Röckel- Ring 32,
01796 Pirna, Sächsische Schweiz-Osterzgebirge (Kreis)",2,57.55,1998.0,Etagenwohnung,,nach Absprache,nil,nil,Außenstellplatz,"3,57% des Kaufpreises","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Solide Kapitalanlage in historischem Denkmal in Marienberg,99000.0,"09496 Marienberg, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,69.22,1430.0,Etagenwohnung,,nil,1,1,1 Stellplatz,"3,57% inkl. gesetzlicher MwSt. auf den notariell beurkundeten Kaufpreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"3-Raum ETW im 1. OG, 30 m²-Terrasse, Blick zum Gohrisch ""Da wo Andere Urlaub machen!""",184000.0,"Neue Hauptstr 120,
01824 Gohrisch, Sächsische Schweiz-Osterzgebirge (Kreis)",3,105.0,1752.0,nil,115.0,sofort,2,1,nil,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
