title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eigentumswohnung an der Nordsee unweit von Sylt,199000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,53.85,3695.0,Erdgeschosswohnung,,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,200000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",2,47.49,4211.0,Erdgeschosswohnung,,nil,1,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,269000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,66.92,4020.0,Erdgeschosswohnung,,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,286000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,78.08,3663.0,Etagenwohnung,,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
## Elmshorn ## Exklusive Erdgeschosswohnung,365000.0,"25337 Elmshorn, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,105.0,3476.0,Erdgeschosswohnung,9.0,sofort,1,1,1 Garage,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Exklusive Eigentumswohnung in 1A Lage von List!,1390000.0,"25992 List (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120.0,11583.0,Erdgeschosswohnung,120.0,nil,2,1,1 Stellplatz,"3,57% inkl. 19% MwSt.",{}
Attraktive 3-Zimmer-Wohnung mit großer Terrasse in Eckernförde,225000.0,"24340 Eckernförde, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,83.0,2711.0,Etagenwohnung,,nil,2,1,nil,"Courtage in Höhe von 3,57 % brutto des beurkundeten Kaufpreises.","{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,279000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,66.39,4202.0,Dachgeschoss,,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,220000.0,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",2,61.1,3601.0,Erdgeschosswohnung,,nil,1,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Kiel - Nähe Blücherplatz: 5 freie Eigentumswohnungen. Besichtigung - Jederzeit !,367000.0,"Bülowstraße 25,
Blücherplatz, 24105 Kiel","3,5",86.0,4267.0,Etagenwohnung,5.0,Sofort möglich,2,1,nil,"13.000,00 €","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
