title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
zentrumsnah und trotzdem ruhig gelegen- schöne Eigentumswohnung mit Balkonen/Stellplatz/Keller,90000.0,"Ziegenbergweg 15,
Suhl-Ilmenauer Straße, 98528 Suhl",4,91.51,983.0,Etagenwohnung,12.0,11/2023,3,2,1 Außenstellplatz,"3,57% inkl. Mwst.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
63 m² *2-Raum-Wohnung in beliebter Innenstadtlage von Erfurt,179000.0,"Brühlervorstadt, 99084 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,63.0,2841.0,Etagenwohnung,,01.10.2023,1,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Erdgeschosswohnung in Worbis kaufen,297000.0,"Schulwiese 1,
37339 Leinefelde-Worbis, Eichsfeld (Kreis)",3,90.09,3297.0,Erdgeschosswohnung,90.09,nil,2,1,2 Garagen,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zimmerwohnung am Zentrumsrand - vermietet,261000.0,"Parkvorstadt, 99425 Weimar
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,70.0,3729.0,Erdgeschosswohnung,15.0,nil,1,1,1 Außenstellplatz,"4,76 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Werden Sie Vermieter oder wohnen Sie selber darin: zentrumsnahe helle 3- Raum Wohnung in Nordhause,195000.0,"99734 Nordhausen, Nordhausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.4,2657.0,Etagenwohnung,,nach Vereinbarung,2,1,1 Stellplatz,"3,75% inkl. 19% MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
2x Apartment voll vermietet 5 % Rendite,232785.0,"Spittelgartenstraße 4,
Ilversgehofen, 99086 Erfurt",4,66.51,3500.0,Etagenwohnung,6.25,nil,2,2,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': ''}"
EIGENTUMSWOHNUNG IN EINER DENKMALGESCHÜTZTEN ZAPFEVILLA,355000.0,"Humboldtstraße 19,
Westvorstadt, 99423 Weimar",3,112.0,3170.0,Etagenwohnung,7.0,Mit Verkauf,2,1,1 Außenstellplatz,"Der Käufer zahlt eine Maklerprovision in Höhe von 3,57% des Kaufpreises (inkl. MwSt.).","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Wohnung mit Dachterrasse in der Innenstadt! Zentral selbst Wohnen u. Arbeiten oder Urlaub machen!,530000.0,"Jena-Zentrum, 07743 Jena
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,141.0,3759.0,Maisonette,,nil,nil,2,1 Garage,"3,57 % inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
*4-Zimmer DG-Wohnung mit Altbaucharme und Erstbezug nach Modernisierung in Arnstadt zu VERKAUFEN*,379660.0,"99310 Arnstadt, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,131.0,2898.0,Dachgeschoss,,Mai 2024,nil,nil,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
**4-Zimmer EG-Wohnung als Erstbezug im Herzen von Arnstadt zu VERKAUFEN**,311280.0,"99310 Arnstadt, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,124.0,2510.0,Erdgeschosswohnung,,Mai 2024,2,1,nil,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
