title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
Paradies für Gartenliebhaber in begehrter Siedlungslage,340000.0,"01445 Radebeul, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,105.0,1200.0,3238.0,Doppelhaushälfte,40.0,sofort,4.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.73670383776449,Rade,Rade,25.51,Q1,ländlich,Rade
*STADTLAGE IN RADEBEUL WEST*AUSBAU BIS AUF 230 m² WOHNRAUM*,495000.0,"01445 Radebeul, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,131.76,810.0,3757.0,Einfamilienhaus (freistehend),141.55,15.1.2024,4.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.112315061750808,Rade,Rade,25.51,Q1,ländlich,Rade
Vollunterkellerte Doppelhaushälfte,398000.0,"01445 Radebeul, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,123.0,185.0,3236.0,Doppelhaushälfte,35.0,nil,5.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.894209796826232,Rade,Rade,25.51,Q1,ländlich,Rade
Vollunterkellerte Doppelhaushälfte,398000.0,"01445 Radebeul, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,123.0,185.0,3236.0,Doppelhaushälfte,35.0,nil,5.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.894209796826232,Rade,Rade,25.51,Q1,ländlich,Rade
Hübsches Haus mit Garten in Randlage von Dresden-Ost,195000.0,"01454 Wachau, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,103.0,435.0,1893.0,Einfamilienhaus (freistehend),20.0,sofort,4.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.180759965737863,Dresden,"Dresden, Stadt",1690.62,Q4,städtisch,Dresden
Reihenhaus in ruhiger Lage am Park,379000.0,"01458 Ottendorf-Okrilla, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,130.0,220.0,2915.0,Reihenmittelhaus,45.5,nil,2.0,1.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.84529412258351,Ottendorf,Ottendorf,275.77,Q4,städtisch,Ottendorf
Reihenhaus in ruhiger Lage am Park,379000.0,"01458 Ottendorf-Okrilla, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,130.0,220.0,2915.0,Reihenmittelhaus,45.5,nil,2.0,1.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.84529412258351,Ottendorf,Ottendorf,93.38,Q2,ländlich,Ottendorf
"Doppelhaushälfte in Riesa, ruhig und grün gelegen, mit Carport, Garage, Zisterne, Wallbox und PV",240000.0,"01587 Riesa, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,522.0,1967.0,Doppelhaushälfte,122.0,nach Absprache,3.0,2.0,1.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}",12.388398368982115,Meißen,"Meißen, Stadt",908.15,Q4,städtisch,Meißen
Einfamilienhaus mit Unterkellerung und schönem Grundstück,295000.0,"01619 Zeithain, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,132.83,1061.0,2221.0,Einfamilienhaus (freistehend),77.72,nil,5.0,3.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.59473402514672,Meißen,"Meißen, Stadt",908.15,Q4,städtisch,Meißen
Familienidylle zum Renovieren,65000.0,"01683 Ketzerbachtal, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,90.0,450.0,722.0,Einfamilienhaus (freistehend),140.0,sofort,2.0,1.0,3.0,3.57,{},11.082157933374816,Meißen,"Meißen, Stadt",908.15,Q4,städtisch,Meißen
+WOHNTRAUM+ Ein-/Zweifamilienhaus in idyllischer Lage mit vielfältigen Nutzungsmöglichkeiten!,499990.0,"01744 Dippoldiswalde, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,194.59,1255.0,2569.0,Einfamilienhaus (freistehend),194.59,nach Vereinbarung,3.0,3.0,3.0,2.5,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",13.122345377242327,Lage,Lage,157.28,Q3,ländlich,Lage
+WOHNTRAUM+ Ein-/Zweifamilienhaus in idyllischer Lage mit vielfältigen Nutzungsmöglichkeiten!,499990.0,"01744 Dippoldiswalde, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,194.59,1255.0,2569.0,Einfamilienhaus (freistehend),194.59,nach Vereinbarung,3.0,3.0,3.0,2.5,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",13.122345377242327,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
